CONTEXTLINK,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,INSADDR.INSID,GROUP_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,CURR.INSID,DISC_TYPE_CHLNBR.LIST,DISC_TYPE_CHLNBR.ENTRY,MAPPING_TYPE,NAME,TYPE,
Global,,,,TWD,DiscType,FX,Instrument,TWD-FX,Yield Curve,
Global,USD,,,TWD,,,Instrument,TWD-FX,Yield Curve,
Global,,,,TWD,,,Instrument,TWD-SWAP,Yield Curve,
