PORTFOLIO,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
,FXT Specialist 1,,FXT Specialist 1,IDR,,,,,
,FXT Specialist 2,,FXT Specialist 2,IDR,,,,,
,FXT Specialist 3,,FXT Specialist 3,IDR,,,,,
Yes,FXT Spot Emerging,,FXT Spot Emerging,IDR,,,,,
,FXT Spot Emerging 1,,FXT Spot Emerging 1,IDR,,,,,
,FXT Spot Emerging 2,,FXT Spot Emerging 2,IDR,,,,,
,FXT Spot Emerging 3,,FXT Spot Emerging 3,IDR,,,,,
Yes,FXT Spot Major,,FXT Spot Major,IDR,,,,,
,FXT Spot Major 1,,FXT Spot Major 1,IDR,,,,,
,FXT Spot Major 2,,FXT Spot Major 2,IDR,,,,,
,FXT Spot Major 3,,FXT Spot Major 3,IDR,,,,,
,GVI 1,Amortised Cost,GVI 1,IDR,PortfolioType,FundPortfolio,No,,
,GVI 2,Amortised Cost,GVI 2,IDR,PortfolioType,FundPortfolio,No,,
,IBFI 1,Amortised Cost,IBFI 1,IDR,PortfolioType,FundPortfolio,No,,
Yes,IRT,,IRT,IDR,,,,,
Yes,IRT DCM,,IRT DCM,IDR,,,,,
,IRT DCM 1,FVTPL,IRT DCM 1,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 2,FVTPL,IRT DCM 2,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 3,FVTPL,IRT DCM 3,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 4,FVTPL,IRT DCM 4,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 5,FVTPL,IRT DCM 5,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 6,FVTPL,IRT DCM 6,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 7,FVTPL,IRT DCM 7,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM 8,FVTPL,IRT DCM 8,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM BI,FVTPL,IRT DCM BI,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM EX,FVTPL,IRT DCM EX,IDR,PortfolioType,FundPortfolio,No,,
,IRT DCM PPA,FVTPL,IRT DCM PPA,IDR,PortfolioType,FundPortfolio,No,,
Yes,IRT Dept Head,FVTPL,IRT Dept Head,IDR,PortfolioType,FundPortfolio,No,,
,IRT Dept Head Bond RDPU Der,FVTPL,IRT Dept Head Bond RDPU Der,IDR,PortfolioType,FundPortfolio,No,,
,IRT Dept Head Depo Loan Repo RR,,IRT Dept Head Depo Loan Repo RR,IDR,,,,,
Yes,IRT Derivative,,IRT Derivative,IDR,,,,,
,IRT Derivative 1,,IRT Derivative 1,IDR,,,,,
,IRT Derivative 2,,IRT Derivative 2,IDR,,,,,
,IRT Derivative 3,,IRT Derivative 3,IDR,,,,,
Yes,IRT MM,,IRT MM,IDR,,,,,
,IRT MM Bond RDPU 1,FVTPL,IRT MM Bond RDPU 1,IDR,PortfolioType,FundPortfolio,No,,
,IRT MM Bond RDPU 2,FVTPL,IRT MM Bond RDPU 2,IDR,PortfolioType,FundPortfolio,No,,
,IRT MM Bond RDPU 3,FVTPL,IRT MM Bond RDPU 3,IDR,PortfolioType,FundPortfolio,No,,
,IRT MM Bond RDPU 4,FVTPL,IRT MM Bond RDPU 4,IDR,PortfolioType,FundPortfolio,No,,
,IRT MM Depo Loan Repo RR 1,,IRT MM Depo Loan Repo RR 1,IDR,,,,,
,IRT MM Depo Loan Repo RR 2,,IRT MM Depo Loan Repo RR 2,IDR,,,,,
,IRT MM Depo Loan Repo RR 3,,IRT MM Depo Loan Repo RR 3,IDR,,,,,
Yes,IRT Specialist,,IRT Specialist,IDR,,,,,
