VOLATILITYSKEW,,,,,,,,,,,,,,,/VOLATILITYSKEW
A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,VOL_SEQNBR.VOL_NAME,
0.1113,0.0033,0.0123,0,-0.0247,-0.0454,0,-0.01,0.01,Yes,Spot,9m,7,None,FX-GBPUSD,
0.1175,0.0036,0.0138,0,-0.0255,-0.0476,0,-0.01,0.01,Yes,Spot,3y,7,None,FX-GBPUSD,
0.124975,0.0036,0.014,0,-0.0255,-0.0462,0,-0.01,0.01,Yes,Spot,5y,7,None,FX-GBPUSD,
0.13027,0.0047,0.0159,0,-0.02,-0.037,0,-0.01,0.01,Yes,Spot,7y,7,None,FX-GBPUSD,
0.133775,0.0047,0.0159,0,-0.02,-0.037,0,-0.01,0.01,Yes,Spot,10y,7,None,FX-GBPUSD,
