VOLATILITYSKEW,,,,,,,,,,,,,,,/VOLATILITYSKEW
A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,VOL_SEQNBR.VOL_NAME,
0.126075,0.0029,0.0151,0,-0.0237,-0.0463,0,-0.01,0.01,Yes,Spot,9m,7,None,FX-AUDUSD,
0.1283,0.003,0.0154,0,-0.0277,-0.0544,0,-0.01,0.01,Yes,Spot,3y,7,None,FX-AUDUSD,
0.1301,0.003,0.0156,0,-0.0292,-0.0569,0,-0.01,0.01,Yes,Spot,5y,7,None,FX-AUDUSD,
