VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,GBP,IDR,GBP/IDR,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-GBPIDR,Malz,Relative,0.1622,0.00167,0.0061,0,-0.00422,-0.00864,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.138,0.00222,0.00809,0,-0.00663,-0.01303,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.138,0.00276,0.01011,0,-0.00697,-0.01423,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1367,0.00331,0.0122,0,-0.00725,-0.01554,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1351,0.00415,0.01547,0,-0.00391,-0.01046,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1358,0.00448,0.01717,0,-0.00216,-0.00867,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1341,0.00457,0.0181,0,-0.0014,-0.00875,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1413,0.00407,0.01788,0,0.00053,-0.00374,0,-0.01,0.01,Yes,Spot,2y,7,None,,
