PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,,Commercial 4 BMSH - ACU,,,,Commercial 4 BMSH - ACU,USD,,FundPortfolio,No,,,
,,Commercial 5 BMSH - ACU,,,,Commercial 5 BMSH - ACU,USD,,FundPortfolio,No,,,
,,Commercial 6 BMSH - ACU,,,,Commercial 6 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,Bonds BU SAM BMSH - ACU,,,,Bonds BU SAM BMSH - ACU,USD,,FundPortfolio,No,,,
,,SAM 1 BMSH - ACU,,,,SAM 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,SAM 2 BMSH - ACU,,,,SAM 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,,SAM 3 BMSH - ACU,,,,SAM 3 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,LAL BMSH - ACU,,,,LAL BMSH - ACU,USD,,FundPortfolio,No,,,
,,LIQ IB BMSH - ACU,,,,LIQ IB BMSH - ACU,USD,,FundPortfolio,No,,,
,,LIQ MM BMSH - ACU,,,,LIQ MM BMSH - ACU,USD,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMSH - ACU,,,,ALM Bilateral Loans BMSH - ACU,USD,,FundPortfolio,No,,,
,,ALM Bonds Issued BMSH - ACU,,,,ALM Bonds Issued BMSH - ACU,USD,,FundPortfolio,No,,,
,,LIQ NOS BMSH - ACU,,,,LIQ NOS BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSH - ACU - Client,,,,BMSH - ACU - Client,USD,,FundPortfolio,No,,,
,,FX with Customer BMSH - ACU,,,,FX with Customer BMSH - ACU,USD,,FundPortfolio,No,,,
,,Bonds with Customer BMSH - ACU,,,,Bonds with Customer BMSH - ACU,USD,,FundPortfolio,No,,,
,,Derivative with Customer BMSH - ACU,,,,Derivative with Customer BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSH - DBU,,,,BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,BMSH - DBU - Trading,,,,BMSH - DBU - Trading,CNY,,FundPortfolio,No,,,
,Yes,FXT BMSH - DBU,,,,FXT BMSH - DBU,CNY,,FundPortfolio,No,,,
,,FX Spot 1 BMSH - DBU,,,,FX Spot 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,FX Spot 2 BMSH - DBU,,,,FX Spot 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,FX Derivatives 1 BMSH - DBU,,,,FX Derivatives 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,FX Derivatives 2 BMSH - DBU,,,,FX Derivatives 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,IRT BMSH - DBU,,,,IRT BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,IRT DCM BMSH - DBU,,,,IRT DCM BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT DCM 1 BMSH - DBU,,,,IRT DCM 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT DCM 2 BMSH - DBU,,,,IRT DCM 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,IRT MM BMSH - DBU,,,,IRT MM BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 1 BMSH - DBU,,,,IRT MM Depo Loan Repo RR 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 2 BMSH - DBU,,,,IRT MM Depo Loan Repo RR 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 1 BMSH - DBU,,,,IRT MM Bond RDPU 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 2 BMSH - DBU,,,,IRT MM Bond RDPU 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,IRT Derivative BMSH - DBU,,,,IRT Derivative BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT Derivative 1 BMSH - DBU,,,,IRT Derivative 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IRT Derivative 2 BMSH - DBU,,,,IRT Derivative 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,BMSH - DBU - Banking,,,,BMSH - DBU - Banking,CNY,,FundPortfolio,No,,,
,Yes,BBM BMSH - DBU,,,,BBM BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Banking Derivatives BMSH - DBU,,,,Banking Derivatives BMSH - DBU,CNY,,FundPortfolio,No,,,
,,BB Derivative BMSH - DBU,,,,BB Derivative BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Banking FX BMSH - DBU,,,,Banking FX BMSH - DBU,CNY,,FundPortfolio,No,,,
,,BB FX BMSH - DBU,,,,BB FX BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Banking IR BMSH - DBU,,,,Banking IR BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,BB Bond Treasury BMSH - DBU,,,,BB Bond Treasury BMSH - DBU,CNY,,FundPortfolio,No,,,
,,BB BOND PL BMSH - DBU,FVTPL,,,BB BOND PL BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,,BB BOND AC BMSH - DBU,Amortised Cost,,,BB BOND AC BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,,BB BOND OCI BMSH - DBU,FVOCI,,,BB BOND OCI BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond Treasury Sharia BMSH - DBU,,,,BB Bond Treasury Sharia BMSH - DBU,CNY,,FundPortfolio,No,,,
,,BB BOND SHARIA PL BMSH - DBU,FVTPL,,,BB BOND SHARIA PL BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA AC BMSH - DBU,Amortised Cost,,,BB BOND SHARIA AC BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA OCI BMSH - DBU,FVOCI,,,BB BOND SHARIA OCI BMSH - DBU,CNY,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond BU BMSH - DBU,,,,BB Bond BU BMSH - DBU,CNY,,FundPortfolio,No,,,
