CONTEXTLINK,,,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,CURR.EXTERN_ID1,CURR.INSID,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,GROUP_CHLNBR.LIST,INSADDR.EXTERN_ID1,INSADDR.INSID,MAPPING_TYPE,NAME,TYPE,
Global,,USD,,,,,,,Instrument,USD-SWAP,Yield Curve,
Global,,USD,ARR,DiscType,,,,,Instrument,USD-SOFR,Yield Curve,
Global,,USD,,,,,,USD/SOFR,Instrument,USD-SOFR,Yield Curve,
Global,,USD,IBOR,DiscType,,,,,Instrument,USD-SWAP,Yield Curve,
