CONTEXTLINK,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,INSADDR.INSID,GROUP_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,CURR.INSID,DISC_TYPE_CHLNBR.LIST,DISC_TYPE_CHLNBR.ENTRY,MAPPING_TYPE,NAME,TYPE,
Global,,,,NZD,DiscType,FX,Instrument,NZD-FX,Yield Curve,
Global,USD,,,NZD,,,Instrument,NZD-FX,Yield Curve,
Global,,,,NZD,,,Instrument,NZD-SWAP,Yield Curve,
