TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY_IDR,Treasury|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY_IDR,
Treasury,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_IDR,Treasury|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_IDR,
Treasury,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_IDR,Treasury|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_IDR,
Treasury,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_IDR,Treasury|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_IDR,
Treasury,Bond Issuance,Bond_MF_Pay Date Interest,Treasury|Bond Issuance|Bond_MF_Pay Date Interest,
Treasury,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury,Bond FVOCI,Bond_MF_Pay Date Principal,Treasury|Bond FVOCI|Bond_MF_Pay Date Principal,
Treasury,Bond Amortised Cost,Bond_MF_Pay Date Principal,Treasury|Bond Amortised Cost|Bond_MF_Pay Date Principal,
Treasury,Bond FVTPL,Bond_MF_Pay Date Principal,Treasury|Bond FVTPL|Bond_MF_Pay Date Principal,
Treasury,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury,Bond Amortised Cost,Bond_MF_Value Date Settlement,Treasury|Bond Amortised Cost|Bond_MF_Value Date Settlement,
Treasury,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury,Bond Issuance,Bond_MF_Value Date Settlement,Treasury|Bond Issuance|Bond_MF_Value Date Settlement,
Treasury,Bond Issuance,Bond_TD_Daily Attributable Fee Amortization,Treasury|Bond Issuance|Bond_TD_Daily Attributable Fee Amortization,
Treasury,Bond Amortised Cost,Bond_TD_Daily Attributable Fee Amortization,Treasury|Bond Amortised Cost|Bond_TD_Daily Attributable Fee Amortization,
Treasury,Bond FVOCI,Bond_TD_Daily Attributable Fee Amortization,Treasury|Bond FVOCI|Bond_TD_Daily Attributable Fee Amortization,
Treasury,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury,Bond Issuance,Bond_TD_Daily Attributable Fee Amortization_FCY (NI),Treasury|Bond Issuance|Bond_TD_Daily Attributable Fee Amortization_FCY (NI),
Treasury,Bond Amortised Cost,Bond_TD_Daily Attributable Fee Amortization_FCY (NI),Treasury|Bond Amortised Cost|Bond_TD_Daily Attributable Fee Amortization_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Daily Attributable Fee Amortization_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Daily Attributable Fee Amortization_FCY (NI),
Treasury,Bond Issuance,Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,Treasury|Bond Issuance|Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,
Treasury,Bond Amortised Cost,Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,Treasury|Bond Amortised Cost|Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,
Treasury,Bond FVOCI,Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,Treasury|Bond FVOCI|Bond_TD_Daily Attributable Fee Amortization_FCY_IDR,
Treasury,Bond Issuance,Bond_TD_Daily Interest Accrual,Treasury|Bond Issuance|Bond_TD_Daily Interest Accrual,
Treasury,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY_IDR,Treasury|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY_IDR,
Treasury,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_IDR,Treasury|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_IDR,
Treasury,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_IDR,Treasury|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_IDR,
Treasury,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY_IDR,Treasury|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY_IDR,
Treasury,Bond FVOCI,Bond_TD_Daily Modification Fee Amortization,Treasury|Bond FVOCI|Bond_TD_Daily Modification Fee Amortization,
Treasury,Bond FVOCI,Bond_TD_Daily Modification Fee Amortization_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Daily Modification Fee Amortization_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Daily Modification Fee Amortization_FCY_IDR,Treasury|Bond FVOCI|Bond_TD_Daily Modification Fee Amortization_FCY_IDR,
Treasury,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_IDR,Treasury|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_IDR,
Treasury,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization,Treasury|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization,
Treasury,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury,Placement(Discounted),Bond_TD_Daily Premium/Discount Amortization,Treasury|Placement(Discounted)|Bond_TD_Daily Premium/Discount Amortization,
Treasury,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,Treasury|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,
Treasury,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,Treasury|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,
Treasury,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,Treasury|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY_IDR,
Treasury,Bond FVTPL,Bond_TD_Maturity Date Remaining Premium Discount,Treasury|Bond FVTPL|Bond_TD_Maturity Date Remaining Premium Discount,
Treasury,Bond FVTPL,Bond_TD_Trade Date Sell Premium,Treasury|Bond FVTPL|Bond_TD_Trade Date Sell Premium,
Treasury,Bond FVOCI,Bond_TD_Trade Date Sell Premium,Treasury|Bond FVOCI|Bond_TD_Trade Date Sell Premium,
Treasury,Bond FVTPL,Bond_TD_Trade Date Sell RPL,Treasury|Bond FVTPL|Bond_TD_Trade Date Sell RPL,
Treasury,Bond FVOCI,Bond_TD_Trade Date Sell RPL,Treasury|Bond FVOCI|Bond_TD_Trade Date Sell RPL,
Treasury,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_IDR,Treasury|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_IDR,
Treasury,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_IDR,Treasury|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_IDR,
Treasury,Bond FVOCI,BondRepoCollateral_MF_Coupon payment (RTM),Treasury|Bond FVOCI|BondRepoCollateral_MF_Coupon payment (RTM),
Treasury,Bond Amortised Cost,BondRepoCollateral_MF_Coupon payment (RTM),Treasury|Bond Amortised Cost|BondRepoCollateral_MF_Coupon payment (RTM),
Treasury,Bond FVTPL,BondRepoCollateral_MF_Coupon payment (RTM),Treasury|Bond FVTPL|BondRepoCollateral_MF_Coupon payment (RTM),
Treasury,Bond Amortised Cost,BondRepoCollateral_TD_Daily Amortization Income (RTM),Treasury|Bond Amortised Cost|BondRepoCollateral_TD_Daily Amortization Income (RTM),
Treasury,Bond FVOCI,BondRepoCollateral_TD_Daily Amortization Income (RTM),Treasury|Bond FVOCI|BondRepoCollateral_TD_Daily Amortization Income (RTM),
Treasury,Bond Amortised Cost,BondRepoCollateral_TD_Daily Carrying Amount (NR),Treasury|Bond Amortised Cost|BondRepoCollateral_TD_Daily Carrying Amount (NR),
Treasury,Bond Amortised Cost,BondRepoCollateral_TD_Daily Carrying Amount (RTM),Treasury|Bond Amortised Cost|BondRepoCollateral_TD_Daily Carrying Amount (RTM),
Treasury,Bond Amortised Cost,BondRepoCollateral_TD_Daily Interest Accrued (RTM),Treasury|Bond Amortised Cost|BondRepoCollateral_TD_Daily Interest Accrued (RTM),
