TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|MMLD Rate,MMLD Rate,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|MMLD Rate,MMLD Rate,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|FXO,FXO,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|MMLD FXO,MMLD FXO,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|MMLD Rate,MMLD Rate,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond FVOCI,Bond FVOCI,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond FVOCI,Bond FVOCI,
