VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,USD,SGD,USD/SGD,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-USDSGD,Malz,Relative,0.016,0.012,0.015,0,0,0.003,0,-0.01,0.01,Yes,Spot,1d,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0694,0.0012,0.0043,0,0.004,0.0074,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0607,0.0012,0.0039,0,0.0059,0.0109,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0584,0.0017,0.0056,0,0.0069,0.0127,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0569,0.0019,0.0063,0,0.0075,0.0137,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0544,0.0023,0.0076,0,0.0084,0.0154,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0539,0.0025,0.008,0,0.0089,0.016,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0535,0.0026,0.0089,0,0.0095,0.0174,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0547,0.0033,0.0114,0,0.0097,0.0179,0,-0.01,0.01,Yes,Spot,2y,7,None,,
