ACCOUNTINGPARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ACCOUNTINGPARAMETERS
INTERNAL_FEE_ALLOC,ACC_METH,ZERO_ALLOC,ALLOCATION_FEE_ALLOC,EXTENSION_FEE_ALLOC,AEL_MODULE,PL_VERSION,CURR.INSID,YTM_METHOD,ACCRUED_INCL_WEEKENDS_ONLY,FRN_ALLOC,OUTRIGHT_PIPS_INTEREST_START,DEPOSIT_ALLOC,NO_INTEREST_UNTIL_ACQUIRE_DAY,BROKER_FEE_ALLOC,TERMINATION_FEE_ALLOC,FRA_ALLOC,NAME,CFD_RPL,CASH_ALLOC,ASSIGNMENT_FEE_ALLOC,FILL_FEE_ALLOC,FUTURE_RPL,USE_TAX_LOTS,ALLOC_START_DAY,INTR_DUE_ALLOC,SWAP_ALLOC,EXERCISE_CASH_ALLOC,SETTLE_ON_PAY_DAY,ACCRUED_INCLUSION_METHOD,BILL_ALLOC,RECOVERY_ALLOC,OPTION_ALLOC,MTM_PTYNBR.PTYID,MATCH_METH,LINEAR_ALLOC_START_DAY,MBS_ABS_ALLOC,DEFAULT_ALLOC,IRA_ALLOC,ALLOC_INSTR_DAYCOUNT,BOND_ALLOC,
As Fee on Trade Day,Mark-to-Market,Depr Prem Linear,As Fee Depr Linear,As Fee on Trade Day,FAdditionalPayments,2,USD,Simple Compound,No,Depr Prem YTM Period Linear Adj,Spot,Depr Prem YTM Period Linear Adj,1,As Fee on Trade Day,As Fee on Trade Day,As Interest Coupon,ACCOUNTING AC/OCI_HO,Daily,As Fee on Trade Day,In Cost as Premium,As Fee on Trade Day,Daily,1,Instrument Start/Acquire Day,As Interest Coupon,As Fee,As Fee on Trade Day,1,Incl holiday mod & Following,Depr Prem Linear,As Fee on Trade Day,Trade Day,EOD_MtM,FIFO,Instrument Start/Acquire Day,Depr Prem Linear,Depr Prem Linear,Trade Day,1,Depr Prem YTM Period Linear Adj,
As Fee on Trade Day,Mark-to-Market,Depr Prem Linear,As Fee Depr Linear,As Fee on Trade Day,FAdditionalPayments,2,USD,Simple Compound,No,Depr Prem YTM Periodic Linear,Spot,Depr Prem YTM Periodic Linear,1,As Fee on Trade Day,As Fee on Trade Day,As Interest Coupon,ACCOUNTING FX_HO,Daily,As Fee on Trade Day,In Cost as Premium,As Fee on Trade Day,Daily,1,Instrument Start/Acquire Day,As Interest Coupon,As Fee,As Fee on Trade Day,1,None,Depr Prem Linear,As Fee on Trade Day,Trade Day,EOD_MtM,FIFO,Instrument Start/Acquire Day,Depr Prem Linear,Depr Prem Linear,Trade Day,1,Depr Prem YTM Periodic Linear,
As Fee on Trade Day,Mark-to-Market,Depr Prem At Maturity,As Fee Depr Linear,As Fee on Trade Day,FAdditionalPayments,2,USD,Simple Compound,No,Depr Prem At Maturity,Spot,Depr Prem At Maturity,1,As Fee on Trade Day,As Fee on Trade Day,As Interest Coupon,ACCOUNTING PL_HO,Daily,As Fee on Trade Day,As Fee on Trade Day,As Fee on Trade Day,Daily,1,Instrument Start/Acquire Day,As Interest Coupon,As Fee,As Fee on Trade Day,1,Incl holiday mod & Following,Depr Prem At Maturity,As Fee on Trade Day,Trade Day,EOD_MtM,FIFO,Instrument Start/Acquire Day,Depr Prem At Maturity,Depr Prem Linear,Trade Day,1,Depr Prem At Maturity,
As Fee on Trade Day,Mark-to-Market,Depr Prem Linear,As Fee Depr Linear,As Fee on Trade Day,FAdditionalPayments,2,USD,,No,Depr Prem Linear,Spot,Depr Prem Linear,1,As Fee on Trade Day,As Fee on Trade Day,As Interest Coupon,ACCOUNTING_SHARIAH AC/OCI_HO,Daily,As Fee on Trade Day,In Cost as Premium,As Fee on Trade Day,Daily,1,Instrument Start/Acquire Day,As Interest Coupon,As Fee,As Fee on Trade Day,1,Incl holiday mod & Following,Depr Prem Linear,As Fee on Trade Day,Trade Day,EOD_MtM,FIFO,Instrument Start/Acquire Day,Depr Prem Linear,Depr Prem Linear,Trade Day,1,Depr Prem Linear,
As Fee on Trade Day,Mark-to-Market,Depr Prem At Maturity,As Fee Depr Linear,As Fee on Trade Day,FAdditionalPayments,2,USD,,No,Depr Prem At Maturity,Spot,Depr Prem At Maturity,1,As Fee on Trade Day,As Fee on Trade Day,As Interest Coupon,ACCOUNTING_SHARIAH PL_HO,Daily,As Fee on Trade Day,As Fee on Trade Day,As Fee on Trade Day,Daily,1,Instrument Start/Acquire Day,As Interest Coupon,As Fee,As Fee on Trade Day,1,Incl holiday mod & Following,Depr Prem At Maturity,As Fee on Trade Day,Trade Day,EOD_MtM,FIFO,Instrument Start/Acquire Day,Depr Prem At Maturity,Depr Prem Linear,Trade Day,1,Depr Prem At Maturity,
