PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,LAL BMSG - ACU,,,,LAL BMSG - ACU,USD,,FundPortfolio,No,,,
,,LIQ IB BMSG - ACU,,,,LIQ IB BMSG - ACU,USD,,FundPortfolio,No,,,
,,LIQ MM BMSG - ACU,,,,LIQ MM BMSG - ACU,USD,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMSG - ACU,,,,ALM Bilateral Loans BMSG - ACU,USD,,FundPortfolio,No,,,
,,ALM Bonds Issued BMSG - ACU,,,,ALM Bonds Issued BMSG - ACU,USD,,FundPortfolio,No,,,
,,LIQ NOS BMSG - ACU,,,,LIQ NOS BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSG - ACU - Client,,,,BMSG - ACU - Client,USD,,FundPortfolio,No,,,
,,FX with Customer BMSG - ACU,,,,FX with Customer BMSG - ACU,USD,,FundPortfolio,No,,,
,,Bonds with Customer BMSG - ACU,,,,Bonds with Customer BMSG - ACU,USD,,FundPortfolio,No,,,
,,Derivative with Customer BMSG - ACU,,,,Derivative with Customer BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSG - DBU,,,,BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,BMSG - DBU - Trading,,,,BMSG - DBU - Trading,SGD,,FundPortfolio,No,,,
,Yes,FXT BMSG - DBU,,,,FXT BMSG - DBU,SGD,,FundPortfolio,No,,,
,,FX Spot 1 BMSG - DBU,,,,FX Spot 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,FX Spot 2 BMSG - DBU,,,,FX Spot 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,FX Derivatives 1 BMSG - DBU,,,,FX Derivatives 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,FX Derivatives 2 BMSG - DBU,,,,FX Derivatives 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,IRT BMSG - DBU,,,,IRT BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,IRT DCM BMSG - DBU,,,,IRT DCM BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IRT DCM 1 BMSG - DBU,,,,IRT DCM 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
