CHOICELIST,,,/CHOICELIST
EmasProdCode,ZINR,NonCustValutAsingINR,
EmasProdCode,GJSKBDNUSD,GIRJAM SKBDN USD,
EmasProdCode,TABKAPEL,TAB KARYAWAN/PELAJAR,
EmasProdCode,TABTKI-RYD,Tab TKI Riyadh,
EmasProdCode,TABTKI-HKG,Tab TKI Hongkong,
EmasProdCode,TABTKI-MLY,Tab TKI Malaysia,
EmasProdCode,TABTKI-SNG,Tab TKI Singapura,
EmasProdCode,TABTKI-TWN,Tab TKI Taiwan,
EmasProdCode,GIRESC-EUR,Giro Escrow - EUR,
EmasProdCode,GJMNBG-AUD,Giro Jaminan BG-AUD,
EmasProdCode,PERTAMINA,PERTAMINA PREPAID,
EmasProdCode,PTMN-INDV,Pertamina Prepaid In,
EmasProdCode,PTMN-FLEET,Pertamina Prepaid Fl,
EmasProdCode,TABMIKRO,Mandiri TabunganMU,
EmasProdCode,TABBISNIS,TAB BISNIS MANDIRI,
EmasProdCode,BKLBI-IDR,BUNGA KLBI-IDR,
EmasProdCode,BPNM-IDR,BUNGA PNM-IDR,
EmasProdCode,BSOL-IDR,BUNGA SOL-IDR,
EmasProdCode,BTSL-IDR,BUNGA TSL-IDR,
EmasProdCode,BTSL-USD,BUNGA TSL-USD,
EmasProdCode,KLBI-IDR,KREDIT LIKUIDITAS BI,
EmasProdCode,PNM-IDR,RELENDING PNM,
EmasProdCode,BSOL-USD,BUNGA SOL USD,
EmasProdCode,SOL-IDR,SUB ORDINATED LOAN,
EmasProdCode,SOL-USD,SUB ORDINATED LOAN,
EmasProdCode,TSL-IDR,TWO STEP LOAN-IDR,
EmasProdCode,TSL-USD,TWO STEP LOAN-USD,
EmasProdCode,TABTKI-KOR,TAB TKI KoreaSelatan,
EmasProdCode,TABTKI-JPY,Tab TKI Jepang,
EmasProdCode,TABTKI-UAE,Tab TKI UAE,
EmasProdCode,TABTKI-QTR,Tab TKI Qatar,
EmasProdCode,TABTKI-YOR,Tab TKI Yordania,
EmasProdCode,TABTKI-MID,Tab TKI Timur Tengah,
EmasProdCode,TABTKI-EUR,Tab TKI Eropa,
EmasProdCode,TABTKI-USA,Tab TKI Amerika,
EmasProdCode,TABINS-REP,Tab TRM Replanting,
EmasProdCode,TABKAP-REP,Tab Kapel Replanting,
EmasProdCode,GIRKHS-IDR,GIRO KHUSUS DHN,
EmasProdCode,TABBIS-USD,Tabungan Bisnis USD,
EmasProdCode,TABINS_USD,TABUNGAN TRM - USD,
EmasProdCode,GIRV-USD-I,GIRO VOSTRO + BUNGA,
EmasProdCode,GIRV-IDR-I,GIRO VOSTRO + BUNGA,
EmasProdCode,GIRIDR-TNP,Giro Trsry Not Pol,
EmasProdCode,TRMMATURED,TRM JATUH TEMPO,
EmasProdCode,TRMUSD-JT,TRM USD JATUH TEMPO,
EmasProdCode,GIDR-PREM,MANDIRI GIRO PREMIER,
EmasProdCode,TRMIDR-T1,TRM TENOR 12-47_BLN,
EmasProdCode,TRMIDR-T2,TRM TENOR 48-119_BLN,
EmasProdCode,TRMIDR-T3,TRM TENOR 120-179_BL,
EmasProdCode,TRMIDR-T4,TRM TENOR 180-240_BL,
EmasProdCode,TABUNGANKU,TabunganKu,
EmasProdCode,TABRAOS,MANDIRI TAB KAPEL,
EmasProdCode,GESC-IDRTR,Giro Escrow IDR Tier,
EmasProdCode,GESC-USDTR,Giro Escrow USD Tier,
EmasProdCode,GESC-EURTR,Giro Escrow EUR Tier,
EmasProdCode,GESC-JPYTR,Giro Escrow JPY Tier,
EmasProdCode,GESC-SGDTR,Giro Escrow SGD Tier,
EmasProdCode,GIRESC-SGD,Giro Escrow - SGD,
EmasProdCode,GIRESC-JPY,Giro Escreow JPY-Cor,
EmasProdCode,MTBINV,MTB Investor,
EmasProdCode,TABMANDIRI,Tab Mandiri,
EmasProdCode,VOSTRUSD-1,VOSTRO USD TIERING,
EmasProdCode,ZSAR,NonCustValasSAR,
EmasProdCode,GIR-CNY-C,GIRO VALAS CNY-COR,
EmasProdCode,GIR-CNY-G,GIRO VALAS CNY-GOV,
EmasProdCode,GIR-CNY-P,GIRO VALAS CNY-PERS,
EmasProdCode,TABBIS-CNY,TABUNGAN BISNIS CNY,
EmasProdCode,GIRZRO-GBP,Giro GBP Zero Bal,
EmasProdCode,TABTKI-OMN,Tab TKI Oman,
EmasProdCode,FLPP-IDR,FLPP DARI KEMENPERA,
EmasProdCode,GUSD-PREM,GIRO PREMIER USD,
EmasProdCode,TRMIDR-ARO,TRM IDR ARO,
EmasProdCode,TRMUSD-ARO,TRM IDR ARO,
EmasProdCode,TABTKI-BRN,Tabungan TKI Brunei,
EmasProdCode,TABKAPELLN,TABKAPEL LAINNYA,
EmasProdCode,TABBIS-SGD,Tabungan Bisnis SGD,
EmasProdCode,GIR-IDR-BZ,Giro IDR Bisnis,
EmasProdCode,GIR-IDR-OP,Giro Corp Optima,
EmasProdCode,MTBINVRK,MTB INVESTOR RK,
EmasProdCode,GIR-NOK-C,Giro NOK Corp,
EmasProdCode,TABBIS-AUD,TABUNGAN BISNIS AUD,
EmasProdCode,TABAUD,TABUNGAN VALAS AUD,
EmasProdCode,TABGBP,TABUNGAN VALAS - GBP,
EmasProdCode,TABBIS-GBP,TABUNGAN BISNIS GBP,
EmasProdCode,TABHKD,Tabungan Valas - HKD,
EmasProdCode,TABBIS-HKD,TABUNGAN BISNIS HKD,
EmasProdCode,TABCHF,TABUNGAN VALAS CHF,
EmasProdCode,TABBIS-CHF,TABUNGAN BISNIA CHF,
EmasProdCode,TABEUR,TABUNGAN VALAS EUR,
EmasProdCode,TABBIS-EUR,TABUNGAN BISNIS EUR,
EmasProdCode,MTBINV-SGD,MTB INVESTOR RK SGD,
EmasProdCode,MTBINV-USD,MTB INVESTOR RK USD,
EmasProdCode,TABBB,Branchless Banking,
EmasProdCode,TABSIMPEL,TAB SIMPANAN PELAJAR,
EmasProdCode,ZCNY,NonCustValutaAsingCN,
EmasProdCode,GIDR-SPEC,Giro IDR Rate Khusus,
EmasProdCode,GUSD-SPEC,Giro USD Rate Khusus,
EmasProdCode,BEJ,Giro Rupiah IDR-Cor,
EmasProdCode,TABTANI,Tabungan Tani #Test#,
EmasProdCode,SIPRABA,TABUNGAN SI PRABA,
EmasProdCode,SIEKO,TABUNGAN SI EKO,
EmasProdCode,SIEVO,TABUNGAN SI EVO,
EmasProdCode,TABSTARTUP,Tabungan Start Up,
EmasProdCode,SIPRABA-RG,TABUNGAN SIPRABA REG,
EmasProdCode,TABJT,Branchless Banking,
EmasProdCode,TABNAS-B,TAB Nasional Badan,
EmasProdCode,TABNAS-P,TABNAS Perorangan,
EmasProdCode,TABUSD-VPM,TAB VALAS PREM - USD,
EmasProdCode,TABSGD-VPM,TAB VALAS PREM - SGD,
EmasProdCode,TABJPY-VPM,TAB VALAS PREM - JPY,
EmasProdCode,TABEUR-VPM,TAB VALAS PREM - EUR,
EmasProdCode,TABCHF-VPM,TAB VALAS PREM - CHF,
EmasProdCode,TABGBP-VPM,TAB VALAS PREM - GBP,
EmasProdCode,TABAUD-VPM,TAB VALAS PREM - AUD,
EmasProdCode,TABHKD-VPM,TAB VALAS PREM - HKD,
EmasProdCode,TABUSD-VPS,TAB VAL PREM S - USD,
EmasProdCode,TABSGD-VPS,TAB VAL PREM S - SGD,
EmasProdCode,TABEUR-VPS,TAB VAL PREM S - EUR,
EmasProdCode,TABAUD-VPS,TAB VAL PREM S - AUD,
EmasProdCode,TABHKD-VPS,TAB VAL PREM S - HKD,
EmasProdCode,TABGBP-VPS,TAB VAL PREM S - GBP,
EmasProdCode,TABJPY-VPS,TAB VAL PREM S - JPY,
EmasProdCode,TABCHF-VPS,TAB VAL PREM S - CHF,
EmasProdCode,TABINSMUDA,MTR SIMUDA RUMAHKU,
EmasProdCode,TRMMUDAARO,MTRSIMUDA ARO,
EmasProdCode,TRMMUDA1,MTRSIMUDA 12-47 BLN,
EmasProdCode,TRMMUDA2,MTRSIMUDA 48-119 BLN,
EmasProdCode,TRMMUDA3,MTRSIMUDA 120-179BLN,
EmasProdCode,TRMMUDA4,MTRSIMUDA 180-240BLN,
EmasProdCode,GIR-SEK-C,Giro Valas SEK-Cor,
EmasProdCode,GIRESC-SEK,Giro Escrow - SEK,
EmasProdCode,GESC-SEKTR,Giro Escrow SEK Tier,
EmasProdCode,TABMDR-OL,TABUNGAN MANDIRI OL,
EmasProdCode,TRMNONARO,TRM NON ARO,
EmasProdCode,TABINSNON,TAB RENCANA MDR NON,
EmasProdCode,TRMNON1,TRM NON 12-47 BLN,
EmasProdCode,TRMNON2,TRM NON 48-119 BLN,
EmasProdCode,TRMNON3,TRM NON 120-179 BLN,
EmasProdCode,TRMNON4,TRM NON 180-240 BLN,
EmasProdCode,TABSDA-USD,TAB BISNIS DHE - USD,
EmasProdCode,TABSDA-IDR,TAB BISNIS DHE - IDR,
EmasProdCode,TABKKP,TAB KREDIT KP,
EmasProdCode,TABMDR2-OL,Tabungan Mandiri Ol,
EmasProdCode,TABFP-1,TAB FLEXI PYRL 1,
EmasProdCode,TABFP-2,TAB FLEXI PYRL 2,
EmasProdCode,TABFP-3,TAB FLEXI PYRL 3,
EmasProdCode,TABFP-4,TAB FLEXI PYRL 4,
EmasProdCode,GIRIDR-NP,Giro NP Rupiah,
EmasProdCode,GIRUSD-NP,Giro NP USD,
EmasProdCode,GIRNPG-IDR,Giro NP Rupiah,
EmasProdCode,GIRNPG-USD,Giro NP USD,
EmasProdCode,GIRIDR-CTM,GIRO CUSTOMIZED,
EmasProdCode,GNPCTM-IDR,Giro NP CTM Rupiah,
EmasProdCode,TABPR-IN,TAB PREMIUM INDIVIDU,
EmasProdCode,TABPR-BU,TAB PREMIUM BDNUSAHA,
EmasProdCode,GIDR-DHE,Giro Reguler IDR DHE,
EmasProdCode,GUSD-DHE,Giro Reguler USD DHE,
EmasProdCode,TABNOW-OL,MANDIRI TABUNGAN NOW,
EmasProdCode,TABNOW2-OL,MANDIRI TABUNGAN NOW,
EmasProdCode,GIRMNP-IDR,Giro NP Rupiah,
EmasProdCode,GIRMNP-USD,Giro NP USD,
EmasProdCode,GIRODL-IDR,Giro Overdraft IDR,
EmasProdCode,TABPRO1,TABUNGAN ASURANSI 1,
EmasProdCode,TABPRO2,TABUNGAN ASURANSI 2,
EmasProdCode,TABPRO3,TABUNGAN ASURANSI 3,
EmasProdCode,TABPRO4,TABUNGAN ASURANSI 4,
EmasProdCode,MTBINVOL,MTB INVESTOR ONLINE,
EmasProdCode,MTBINV-OL,MTB INVESTOR ONLINE,
EmasProdCode,GJPY-LCS,Giro Valas JPY LCS,
EmasProdCode,GIR-MYR-P,Giro Valas MYR-Pers,
EmasProdCode,GIR-MYR-C,Giro Valas MYR-Cor,
EmasProdCode,GIR-MYR-G,Giro Valas MYR-Gov,
EmasProdCode,GIR-THB-G,Giro Valas THB-Gov,
EmasProdCode,GIR-THB-P,Giro Valas THB-Pers,
EmasProdCode,GIR-THB-C,Giro Valas THB-Corp,
EmasProdCode,GJMNLC-MYR,Giro jaminan LC -MYR,
EmasProdCode,GMYR-LCS,Giro Valas MYR LCS,
EmasProdCode,GTHB-LCS,Giro Valas THB LCS,
EmasProdCode,TABBIS-OL,TAB BISNIS MANDIRI,
EmasProdCode,TABMU-OL,MANDIRI TABUNGANMU,
EmasProdCode,TABSIMPELP,TABSIMPEL PEMERINTAH,
EmasProdCode,TABSIMPLP2,TABSIMPL PEMERINTAH2,
EmasProdCode,GIRVOS-GBP,Giro Vostro GBP,
EmasProdCode,GIRIDR-LEN,GIRO ESCROW - IDR,
EmasProdCode,GIRESC-IDR,Giro Escrow - IDR,
EmasProdCode,GIRIDR-INV,GIRO ESCROW - IDR,
EmasProdCode,GIR-OD-IDR,Giro Baki Debit IDR,
EmasProdCode,GIR-OD-USD,Giro Baki Debit USD,
EmasProdCode,GIRTRU-IDR,Giro Trust IDR,
EmasProdCode,GIRTRU-USD,GIro Trust USD,
EmasProdCode,GESC-CNYTR,Giro Escrow TR - CNY,
EmasProdCode,GIRESC-CNY,Giro Escrow - CNY,
EmasProdCode,GJMNBG-CNY,Giro Jaminan BG-CNY,
EmasProdCode,GJMNLC-CNY,giro Jaminan LC-CNY,
EmasProdCode,GJSKBDNCNY,Giro JMN SKBDN CNY,
EmasProdCode,GIRESC-GBP,GIRO ESCROW - GBP,
EmasProdCode,GESC-GBPTR,Giro Escrow GBP Tier,
EmasProdCode,GIR-SAR-G,GIRO VALAS SAR-GOV,
EmasProdCode,GIR-SAR-P,GIRO VALAS SAR-PORG,
EmasProdCode,GIR-SAR-C,GIRO VALAS SAR-COM,
EmasProdCode,GIRZRO-EUR,Giro EUR Zero Bal,
EmasProdCode,GIRZRO-CHF,Giro CHF Zero Bal,
EmasProdCode,GIRZRO-AUD,Giro AUD Zero Bal,
EmasProdCode,GIRDR-CTM2,GIRO CUSTOMIZED,
EmasProdCode,GIRUSD-TNP,Giro Trsry Not Pol,
EmasProdCode,TABFELLAS,Tabungan Fellas,
EmasProdCode,GIRIDR-FIN,Giro Rupiah Fintech,
EmasProdCode,GIDRPR-DHE,MANDIRI PREM IDR IDR,
EmasProdCode,GUSDPR-DHE,GIRO PREM USD DHE,
EmasProdCode,MTBINVZERO,MTB INVESTOR RK ZERO,
EmasProdCode,TABFNP-1,TAB FLEXI NON PYRL 1,
EmasProdCode,TABFNP-2,TAB FLEXI NON PYRL 2,
EmasProdCode,TABFNP-3,TAB FLEXI NON PYRL 3,
EmasProdCode,TABFNP-4,TAB FLEXI NON PYRL 4,
EmasProdCode,GIDR-360,Giro Rupiah Rate 360,
EmasProdCode,TP2PRDL-OL,MDR TAB P2P-RDL,
EmasProdCode,TP2PRDB-OL,MDR TAB P2P-RDB,
EmasProdCode,TABP2P-RDL,MDR TAB P2P-RDL,
EmasProdCode,TABP2P-RDB,MDR TAB P2P-RDB,
EmasProdCode,TABNAS-P2,TABNAS PERORANGAN,
EmasProdCode,DANATUNAI,DANATUNAI,DANA TUNAI MANDIRI
EmasProdCode,DANATUNAI,DANATUNAI,DANA TUNAI USD
EmasProdCode,GRAHAAN,GRAHAAN,GRAHA MANDIRI AN
EmasProdCode,GRAHADEV,GRAHADEV,GRAHA MANDIRI DEV
EmasProdCode,GRAHAFL,GRAHAFL,GRAHA MANDIRI FL
EmasProdCode,I-BUNBUMD,I-BUNBUMD,KI PERKEBUN AN BUMD
EmasProdCode,I-BUNBUMN,I-BUNBUMN,KI PERKEBUN AN BUMN
EmasProdCode,I-BUNKIK,I-BUNKIK,KIK PERKEBUNAN
EmasProdCode,I-BUNKKPA,I-BUNKKPA,KI KKPA PERKEBUNAN
EmasProdCode,I-BUNKUK,I-BUNKUK,KI KUK PERKEBUNAN
EmasProdCode,I-BUNPBSN,I-BUNPBSN,KI PERKEBUNAN PBSN
EmasProdCode,I-CASHCOL,I-CASHCOL,KI COL A/N USH KI
EmasProdCode,I-EKSPOR,I-EKSPOR,KI EKSPOR
EmasProdCode,I-EXIMKU,I-EXIMKU,EXIM KREDIT UMUM
EmasProdCode,I-KKPA,I-KKPA,KI KKPA
EmasProdCode,I-KKUUMUM,I-KKUUMUM,KI KKU UMUM
EmasProdCode,I-KOPERASI,I-KOPERASI,KI KOPERASI
EmasProdCode,I-KUK,I-KUK,KI KUK
EmasProdCode,I-KUKA,I-KUKA,KI KUK ANNUITY
EmasProdCode,I-KUKF,I-KUKF,KI KUK FLAT
EmasProdCode,I-NBUNKIK,I-NBUNKIK,KIK NON PERKEBUNAN
EmasProdCode,I-NONKUKBK,I-NONKUKBK,KT LGSG NKUK - BNK
EmasProdCode,I-PIRBUN,I-PIRBUN,KI PRKBN POLA PIRBUN
EmasProdCode,I-PIRTRANS,I-PIRTRANS,KI PRKBN POLA PIRTRA
EmasProdCode,I-PUKK,I-PUKK,KI PUKK
EmasProdCode,I-SINDI,I-SINDI,KI SINDIKASI
EmasProdCode,I-SINDIVA,I-SINDIVA,KI VA DIKASI - USD
EmasProdCode,I-UMUM,I-UMUM,KI UMUM - IDR
EmasProdCode,I-UMUM,I-UMUM,KI UMUM - USD
EmasProdCode,I-VALAS,I-VALAS,KI VALAS - EUR
EmasProdCode,I-VALAS,I-VALAS,KI VALAS - JPY
EmasProdCode,I-VALAS,I-VALAS,KI VALAS - USD
EmasProdCode,I-VIABANK,I-VIABANK,KI KR DISALURKAN BNK
EmasProdCode,I-75JUTA,I-75JUTA,KI S/D Rp 75 JUTA
EmasProdCode,KENDARAAN,KENDARAAN,KENDARA IN ARREAR
EmasProdCode,KENDARAFL,KENDARAFL,KENDARA MANDIRI FL
EmasProdCode,M-ABLKUKNB,M-ABLKUKBK,KMK PKR KUK - N.BANK
EmasProdCode,M-BRIDGING,M-BRIDGING,KMK BRIDGING LOAN
EmasProdCode,M-BUNBUMD,M-BUNBUMD,KMK PERKEBUNAN BUMD
EmasProdCode,M-BUNKKU,M-BUNKKU,KMK KKU PERKEBUNAN N
EmasProdCode,M-BUNKUK,M-BUNKUK,KMK KUK PERKEBUNAN
EmasProdCode,M-CASHCOL,M-CASHCOL,KMK COL A/N USH KMK
EmasProdCode,M-EKSPOR,M-EKSPOR,KMK EKSPOR
EmasProdCode,M-EKSPORVA,M-EKSPORVA,KMK EKSPOR VA - EUR
EmasProdCode,M-EKSPORVA,M-EKSPORVA,KMK EKSPOR VA - JPY
EmasProdCode,M-EKSPORVA,M-EKSPORVA,KMK EKSPOR VA - USD
EmasProdCode,M-IMPOR,M-IMPOR,KMK IMPOR
EmasProdCode,M-IMPORVA,M-IMPORVA,KMK IMPOR VA - EUR
EmasProdCode,M-IMPORVA,M-IMPORVA,KMK IMPOR VA - JPY
EmasProdCode,M-IMPORVA,M-IMPORVA,KMK IMPOR VA - USD
EmasProdCode,M-KDNBUMN,M-KDNBUMN,KMK KUK DANA BUMN
EmasProdCode,M-KKPA,M-KKPA,KMK KKPA
EmasProdCode,M-KKPNKUT,M-KKPNKUT,KMK KKP NON-KUT
