CHOICELIST,,,/CHOICELIST
EmasProdCode,PKUK-NB,PKUK-NB,PNERUS KR KUK-NBNK
EmasProdCode,S-ANTARKTR,S-ANTARKTR,KARYAWAN SEN. KREDIT
EmasProdCode,S-HRAYAA,S-HRAYAA,KKS LEBARAN/NATAL AN
EmasProdCode,S-HRAYAF,S-HRAYAF,KKS LEBARAN/NATAL FL
EmasProdCode,S-JPDA,S-JPDA,KKS JANGKA PENDEK AN
EmasProdCode,S-JPDF,S-JPDF,KKS JANGKA PENDEK FL
EmasProdCode,S-JPJA,S-JPJA,KKS JANGKA PANJANG A
EmasProdCode,S-JPJF,S-JPJF,KKS JANGKA PANJANG F
EmasProdCode,S-JPJKUKA,S-JPJKUKA,KKS JANGKA P-KUK AN
EmasProdCode,S-JPJKUKF,S-JPJKUKF,KKS JANGKA P-KUK FL
EmasProdCode,S-KARBA,S-KARBA,KKS KARYAWAN B AN
EmasProdCode,S-KARBF,S-KARBF,KKS KARYAWAN B FL
EmasProdCode,S-KHUSUSA,S-KHUSUSA,KKS KHUSUS AN
EmasProdCode,S-KHUSUSF,S-KHUSUSF,KKS KHUSUS FL
EmasProdCode,S-KPKSA,S-KPKSA,KR PERUMAHAN KS AN
EmasProdCode,S-KPKSF,S-KPKSF,KR PERUMAHAN KS FL
EmasProdCode,S-KPKSKUKA,S-KPKSKUKA,PERUMAHAN KS-KUK AN
EmasProdCode,S-KPKSKUKF,S-KPKSKUKF,PERUMAHAN KS-KUK FL
EmasProdCode,DANATUNAIA,DANATUNAIA,DANA TUNAI MANDIRI A
EmasProdCode,DANATUNAIF,DANATUNAIF,DANA TUNAI MANDIRI F
EmasProdCode,I-CASHCOLA,I-CASHCOLA,KI COL A/N USH KI AN
EmasProdCode,I-CASHCOLF,I-CASHCOLF,KI COL A/N USH KI FL
EmasProdCode,I-UMUMAN,I-UMUMAN,KI UMUM AN-IDR
EmasProdCode,I-75JUTAAN,I-75JUTAAN,KI S/D RP 75 JUTA AN
EmasProdCode,M-KUKAN,M-KUKAN,KMK KUK AN
EmasProdCode,MITRA,MITRA,MITRAKAYA MANDIRI D
EmasProdCode,M-UMUM,M-UMUM,KMK UMUM - HKD
EmasProdCode,I-KOPRAN,I-KOPRAN,KI KOPERASI ANNUITY
EmasProdCode,M-KKUAN,M-KKUAN,KMK KKU ANNUITY
EmasProdCode,DANATUNAI,DANATUNAI,DANA TUNAI EUR
EmasProdCode,I-KKUUMUMA,I-KKUUMUMA,KI KKU UMUM ANNUITY
EmasProdCode,I-KKUUMUMF,I-KKUUMUMF,KI KKU UMUM FLAT
EmasProdCode,M-UMUM,M-UMUM,KMK UMUM - SGD
EmasProdCode,TLGHAJI,TLGHAJI,Kredit Talangan Haji
EmasProdCode,KTAAN,KTAAN,KRD TANPA AGUNAN AN
EmasProdCode,KTAFL,KTAFL,KRD TANPA AGUNAN FL
EmasProdCode,TLG-BPIHK,TLG-BPIHK,Talangan Haji BPIHK
EmasProdCode,BPR-MITRA,BPR-MITRA,BPR Mitra Mandiri
EmasProdCode,DANATUNAIK,DANATUNAIK,DANA TUNAI KHUSUS A
EmasProdCode,MULTIKOPAA,MULTIKOPAA,MULTIGUNA KOPERASI A
EmasProdCode,KBAAN-PAP,KBAAN-PAP,KBA-AN PA PRIORITY
EmasProdCode,M-SUP,M-SUP,KMK USAHA SUP
EmasProdCode,I-SUP,I-SUP,KI USAHA SUP
EmasProdCode,GRAHAAN-01,GRAHAAN-01,GRAHA MANDIRI AN 01
EmasProdCode,GRAHAAN-02,GRAHAAN-02,GRAHA MANDIRI AN 02
EmasProdCode,I-KUKA-SBM,I-KUKA-SBM,KI KUK SUBS MITRA AN
EmasProdCode,KENDARAAV,KENDARAAV,KENDARA IN ADVANCE
EmasProdCode,M-KKPNKUT2,M-KKPNKUT2,KMK KKP NON-KUT 2
EmasProdCode,I-KUMLTAFL,I-KUMLTAFL,KRD USH MIKRO-LTA FL
EmasProdCode,M-KUMLTAFL,M-KUMLTAFL,KRD USH MIKRO-LTA FL
EmasProdCode,M-BPR-PKMD,M-BPR-PKMD,BPR KMK PKM Daily
EmasProdCode,M-BPR-PKMA,M-BPR-PKMA,BPR KMK PKM Annuity
EmasProdCode,I-BPR-PKMD,I-BPR-PKMD,BPR KI PKM Daily
EmasProdCode,I-BPR-PKMA,I-BPR-PKMA,BPR KI PKM Annuity
EmasProdCode,M-REFINBEI,M-REFINBEI,KMK REFINANCE IDR
EmasProdCode,M-REFINBEI,M-REFINBEI,KMK REFINANCE USD
EmasProdCode,GRAHAAN-TO,GRAHAAN-TO,GRAHA MANDIRI AN-TO
EmasProdCode,BPR-I-EXEC,BPR-I-EXEC,BPR KI Mitra Execute
EmasProdCode,BPR-M-EXEC,BPR-M-EXEC,BPR KMK Mitra Execut
EmasProdCode,M-KUMLTAAN,M-KUMLTAAN,KUM LTAAN CHANNELING
EmasProdCode,GRAHAGPRAN,GRAHAAN,GRAHA MANDIRI GPR AN
EmasProdCode,M-EBIZ,M-EBIZ,KMK EBIZ DAILY
EmasProdCode,M-JOINTF,M-JOINTF,KMK JOINT FINANCE
EmasProdCode,MHOP,MHOP,MITRA PLUS PLUS HOP
EmasProdCode,MVPAC,MVPAC,MITRA PLUS PLUS VPAC
EmasProdCode,MVPAM,MVPAM,MITRA PLUS PLUS VPAM
EmasProdCode,I-UM-KELFL,I-UM-KELFL,KI KUM KELOMPOK FL
EmasProdCode,I-UM-MANFL,I-UM-MANFL,KI KUM MANDIRI FL
EmasProdCode,I-UM-MAPFL,I-UM-MAPFL,KI KUM MAPAN FL
EmasProdCode,I-UM-PRIFL,I-UM-PRIFL,KI KUM PRIMA FL
EmasProdCode,M-UM-KARFL,M-UM-KARFL,KMK KUM KARYA FL
EmasProdCode,M-UM-KELFL,M-UM-KELFL,KMK KUM KELOMPOK FL
EmasProdCode,M-UM-MANFL,M-UM-MANFL,KMK KUM MANDIRI FL
EmasProdCode,M-UM-MAPFL,M-UM-MAPFL,KMK KUM MAPAN FL
EmasProdCode,M-UM-PRIFL,M-UM-PRIFL,KMK KUM PRIMA FL
EmasProdCode,GRAHAAN-AB,GRAHAAN-AB,GRAHA MANDIRI AB
EmasProdCode,KMK-WIKA,KMK-WIKA,K MODAL KERJA WIKA
EmasProdCode,KMK-PP,KMK-PP,K MODAL KERJA PP
EmasProdCode,KPR-KPM,KPR-KPM,KPR DUO
EmasProdCode,I-SUP-AN,I-SUP-AN,KI SUP-005 ANNUITY
EmasProdCode,M-CASHCOLL,M-CASHCALL,KMK CASHCOLL USD
EmasProdCode,I-CASHCOLL,I-CASHCOLL,KI CASHCOLL USD
EmasProdCode,I-UMUM,I-UMUM,KI Umum SGD
EmasProdCode,KMK-JK-PDK,M-UMUM,KMK JANGKA PENDEK
EmasProdCode,P-KMKM-AN,P-KMKM-AN,KR MULTIGUNA KOP AN
EmasProdCode,P-KMKM-FL,P-KMKM-FL,KR MULTIGUNA KOP FL
EmasProdCode,P-KMKM-DL,P-KMKM-DL,KR MULTIGUNA KOP DL
EmasProdCode,KSM-ORG-FL,KSM-ORG-FL,KSM-PERORANGAN-FLAT
EmasProdCode,GRAHFLX-NR,GRAHFLX-NR,FLEXIBLE PYMT - NR
EmasProdCode,GRAHFLX-R,GRAHFLX-R,FLEXIBLE PYMT - REV
EmasProdCode,KSM-KEL-FL,KSM-ORG-FL,KSM-KELOMPOK-FLAT
EmasProdCode,MITRAGUNA,MITRAGUNA,MITRAKARYA MULTIGUNA
EmasProdCode,GRAHASOLHC,GRAHASOLHC,GRAHA SOLUSIRMH HLCM
EmasProdCode,KMK-JK-PDK,M-UMUM,KMK JANGKA PENDEK
EmasProdCode,GRAHA-CONS,GRAHA-CONS,CONSTRUCTION LOAN
EmasProdCode,M-FIXEDLN,M-FIXEDLN,KMK FIXED LOAN IDR
EmasProdCode,M-FIXEDLN,M-FIXEDLN,KMK FIXED LOAN USD
EmasProdCode,M-WR,M-WR,KMK WAREHOUSE RCPT
EmasProdCode,M-WR,M-WR,KMK WAREHOUSE RC-USD
EmasProdCode,M-POSTNCL,M-POSTNCL,TAGIHAN EKS PAST DUE
EmasProdCode,M-UM-UNSEC,M-UM-UNSEC,KUM TANPA AGUNAN
EmasProdCode,M-UM-SEC,M-UM-SEC,KUM BERAGUNAN KMK
EmasProdCode,I-UM-SEC,I-UM-SEC,KUM BERAGUNAN KI
EmasProdCode,KSM-UNSEC,KSM-UNSEC,KSM TANPA AGUNAN
EmasProdCode,KSM-SECURE,KSM-SECURE,KSM BERAGUNAN
EmasProdCode,DANATUNAI,DANATUNAI,DANA TUNAI SGD
EmasProdCode,I-CASHCOLL,I-CASHCOLL,KI COL A/N USH EUR
EmasProdCode,I-CASHCOLL,I-CASHCOLL,KI COL A/N USH SGD
EmasProdCode,M-CASHCOLL,M-CASHCALL,KMK COL A/N USH EUR
EmasProdCode,M-CASHCOLL,M-CASHCALL,KMK COL A/N USH SGD
EmasProdCode,M-UM-TANI,M-UM-TANI,KUM TANI SEMUSIM
EmasProdCode,M-MULACCT,M-MULACCT,KMK MULTIACCOUNT IDR
EmasProdCode,M-MULACCT,M-MULACCT,KMK MULTIACCOUNT USD
EmasProdCode,M-SUPCHAIN,M-SUPCHAIN,KMK SUPPLIER_FIN IDR
EmasProdCode,M-UM-TANI2,M-UM-TANI2,KUM TANI TAHAP UNSEC
EmasProdCode,M-UM-TANI3,M-UM-TANI3,KUM TANI TAHAP SEC
EmasProdCode,M-PKM-D1,M-PKM-D1,BPR KMK PKM Bulanan
EmasProdCode,KSM-HAJI,KSM-HAJI,KSM TALANGAN HAJI
EmasProdCode,KTAGPH6,KTAAN,KTA FLEXI 6 BLN P-NP
EmasProdCode,KTAGPH3,KTAAN,KTA FLEXI 3 BLN P-NP
EmasProdCode,MKMFLXSEA3,MITRAAN,MKM FLEXI SEASON 3 M
EmasProdCode,MKMFLXSEA6,MITRAAN,MKM FLEXI SEASON 6 M
EmasProdCode,KTAFLXH-P,KTAAN,KTA FLX HOLIDAY PAY
EmasProdCode,KTAFLXH-NP,KTAAN,KTA FLX HOLIDAY NPAY
EmasProdCode,MITRAFLXH,MITRAAN,MITRAKARYA HOLIDAY
EmasProdCode,KPR-FLEXI,GRAHAAN,KPR FLEXIBLE
EmasProdCode,M-UM-TRANS,M-UM-TRANS,KUM TRANSAKSIONAL 7D
EmasProdCode,M-UM-TR14D,M-UM-TR14D,KUM TRANSAKSIONAL14D
EmasProdCode,M-UM-TRN1M,M-UM-TRN1M,KUM TRANSAKSIONAL 1M
EmasProdCode,P-KOP-AN,P-KOP-AN,KR CHANNELING KOP AN
EmasProdCode,P-KOP-DL,P-KOP-DL,KR CHANNELING KOP DL
EmasProdCode,P-KOP-FL,P-KOP-FL,KR CHANNELING KOP FL
EmasProdCode,KMK-AN,KMK-AN,KMK UMUM AN
EmasProdCode,KPR-FLPP,KPR-FLPP,KPR FLPP TAPAK
EmasProdCode,S-KKP-RMH,S-KKP-RMH,KKP PERUMAHAN KARY
EmasProdCode,S-KKP-DRRT,S-KKP-DRRT,KKP DARURAT KARY
EmasProdCode,S-KKP-KEND,S-KKP-KEND,KKP KENDARAAN KARY
EmasProdCode,M-EXEC-NR,M-EXEC-NR,BPR KMK Exec Non Rev
EmasProdCode,KPR-GRACE,GRAHAAN,KPR GRACE PERIOD
EmasProdCode,KMK-PK-FL,KMK-PK-FL,KMK-PROG MITRA-FLAT
EmasProdCode,KI-PK-FL,KI-PK-FL,KI-PROG MITRA-FLAT
EmasProdCode,S-UPP-RMH,S-UPP-RMH,UPP PERUMAHAN KARY
EmasProdCode,S-UPP-KEND,S-UPP-KEND,UPP KENDARAAN KARY
EmasProdCode,BB FLEX FL,BB FLEX FL,KRD BB FLEXIBLE FL
EmasProdCode,BB FLEX AN,BB FLEX AN,KRD BB FLEXIBLE AN
EmasProdCode,W-KMK,W-KMK,KMK IDR
EmasProdCode,W-KMK,W-KMK,KMK USD
EmasProdCode,W-KMK,W-KMK,KMK SGD
EmasProdCode,W-KMK,W-KMK,KMK EUR
EmasProdCode,KTAGT,KTAGT,KTA GAJAH TUNGGAL
EmasProdCode,KPR-AN-EBA,KPR-AN-EBA,KPR REKAP - AN
EmasProdCode,KPR-FL-EBA,KPR-FL-EBA,KPR REKAP - FL
EmasProdCode,KPR-DL-EBA,KPR-DL-EBA,KPR REKAP - DL
EmasProdCode,KPR-GRFLX,KPR-GRFLX,KPR GRACE FLEXIBLE
EmasProdCode,S-KKP-TA,S-KKP-TA,KKP TANPA AGUNAN
EmasProdCode,KMK-BB7,KMK-BB7,KMK BILL TGL 7
EmasProdCode,KMK-BB14,KMK-BB14,KMK BILL TGL 14
EmasProdCode,KMK-BB23,KMK-BB23,KMK BILL TGL 23
EmasProdCode,KMK-BB14,KMK-BB14,KMK BILL TGL 14
EmasProdCode,KMK-BB7,KMK-BB7,KMK BILL TGL 7
EmasProdCode,KMK-BB23,KMK-BB23,KMK BILL TGL 23
EmasProdCode,I-UMUM,I-UMUM,KI UMUM - CNY
EmasProdCode,M-UMUM,M-UMUM,KMK UMUM - CNY
EmasProdCode,KMK-M-EBIZ,KMK-M-EBIZ,KMK M eBIZ FINANCING
EmasProdCode,I-CHANNELG,I-CHANNELG,KI CHANNELING - IDR
EmasProdCode,KUM-USAN-I,KUM-USAN-I,KUM UNSEC ANNUITY KI
EmasProdCode,KUR-USAN-M,KUR-USAN-M,KUR UNSEC AN KMK
EmasProdCode,KSM-USAN,KSM-USAN,KSM UNSEC AN
EmasProdCode,KUM-USAN-M,KUM-USAN-M,KUM UNSEC AN_KMK
EmasProdCode,KMK-MKUKBB,KMK-MKUKBB,KMK MANDIRI KUK BB
EmasProdCode,KI-MKUKBB,KI-MKUKBB,KI MANDIRI KUK BB
EmasProdCode,KMK-BL1,KMK-BL1,KMK BANK LOAN IDR
EmasProdCode,GRAHAANPTL,GRAHAANPTL,GRAHAAN PYMT TOLRNCE
EmasProdCode,KBAANPTL,KBAAN-PAP,KBA-AN PYMNT TOLRNCE
EmasProdCode,KTAANPTL,KTAANPTL,KRD TANPA AGUNAN PTL
EmasProdCode,M-KPBASME,KMK-MKUKBB,MANDIRI KPBA
EmasProdCode,KURTANIUAN,KURTANIUAN,KBA-BULLET UNSEC AN
EmasProdCode,M-UM-JAMIN,M-UM-JAMIN,KUM PENJAMINAN SEC
EmasProdCode,KUR-SF-I,KUR-SF-I,KUR SEC FLAT KI
EmasProdCode,KUR-SF-M,KUR-SF-M,KUR SEC FLAT KMK
EmasProdCode,KUR-USF-M,KUR-USF-M,KUR UNSEC FLAT KMK
EmasProdCode,M-UM-J-UMK,M-UM-J-UMK,KUM PJAMINAN US KMK
EmasProdCode,M-UM-J-SKI,M-UM-J-SKI,KUM PJAMINAN SEC KI
EmasProdCode,M-UM-J-SMK,M-UM-J-SMK,KUM PJAMINAN SEC KMK
EmasProdCode,I-KPBA-D,I-KPBA-D,KPBA INVESTASI DAILY
EmasProdCode,I-KPBA-AN,I-KPBA-AN,KPBA INVESTASI AN
EmasProdCode,M-UM-TRCD,M-UM-TRCD,KUM TRX CARD
EmasProdCode,M-ESME1,M-ESME1,KMK MERCHANT 1
EmasProdCode,M-ESME15,M-ESME15,KMK MERCHANT 15
EmasProdCode,KMK-SL,KMK-SL,KMK SUB LOAN
EmasProdCode,KPR-BOD-FL,GRAHAAN,KPR-BOD-FLEXI
EmasProdCode,KPR-AB-5TH,KPR-AB-5TH,KPR AB 5 TAHUN
EmasProdCode,M-UM-UECOM,M-UM-UECOM,KUM UNSEC ECOMMERCE
EmasProdCode,MSMECOM,MSMECOM,KMK UNSEC MERCHANT
EmasProdCode,KKP-RMH,S-KKP-RMH,KKP PERUMAHAN KARY 2
EmasProdCode,KKP-KEND,S-KKP-KEND,KKP KENDARAAN KARY 2
EmasProdCode,KKP-MULTI,S-KKP-RMH,KKP MULTIGUNA
EmasProdCode,M-UM-UNCHW,M-UM-UNCHW,KUM UNSEC CH weekly
EmasProdCode,M-UM-EBIZ,M-UM-EBIZ,KUM TRX eBIZ
EmasProdCode,M-UM-UNCHA,M-UM-UNCHW,KUM UNSEC CH anuitas
EmasProdCode,AR-FIN-BL,AR-FIN-BL,AR FINTECH BULLET
EmasProdCode,W-FIN-BL,W-FIN-BL,KMK FINTECH BULLET
EmasProdCode,W-FIN-INS,M-UMUM,KMK FINTECH INSTALMT
EmasProdCode,W-FIN-MI,W-FIN-MI,KMK FINTECH
EmasProdCode,UAT1,,TEST UAT 1 KASB
EmasProdCode,UAT3,,TEST UAT 3 KASB
EmasProdCode,I-TRANS,I-TRANS,KI TRANSAKSIONAL
EmasProdCode,M-UM-KW,M-UM-KW,KUMKOINWORKS
EmasProdCode,M-UM-UNCH,M-UM-UNSEC,KUM UNSEC CHANNELING
EmasProdCode,KUR-K-PSR,KUR-K-PSR,KUR KHUSUS PSR
EmasProdCode,M-UM-ECOMF,M-UM-SEC,KUM UNSEC ECOM FLAT
EmasProdCode,KURTANICHN,KURTANICHN,KUR-BULLET UNSEC AN
EmasProdCode,P-KOPNUS-A,P-KOPNUS-A,KR MULTIGUNA KOPNUS
EmasProdCode,KI-UMUM-GP,KI-UMUM-GP,KI UMUM GCP IDR
EmasProdCode,KUR-SAN-I,KUR-SAN-I,KUR SEC ANNUITY KI
EmasProdCode,KUR-SAN-M,KUR-SAN-M,KUR SEC ANNUITY KMK
EmasProdCode,KUR-USAN-I,KUR-USAN-I,KUR UNSEC ANNUITY KI
EmasProdCode,KURTANISAN,KURTANISAN,KUR BULLET SECURE AN
EmasProdCode,KUR-KEC-UI,KUR-KEC-UI,KUR KECIL UNSEC KIKI
EmasProdCode,KUR-KEC-UM,KUR-KEC-UM,KUR_KECIL UNSEC KMK
EmasProdCode,P14,M-UMUM,KR MULTIGUNA KOPNUS
EmasProdCode,M-UM-BP-EF,M-UM-BP-EF,KUM TANI SEMUSIM EFF
EmasProdCode,M-UM-PB-EF,M-UM-PB-EF,KUM TANI SEMUSIM EFF
EmasProdCode,M-OTD-IDR,M-OTD-IDR,KMK UMUM OTD
EmasProdCode,M-OTD-USD,M-OTD-USD,KMK UMUM -OTD USD
EmasProdCode,I-OTD-IDR,I-OTD-IDR,KI UMUM - OTD IDR
EmasProdCode,I-OTD-USD,I-OTD-USD,KI UMUM - OTD USD
EmasProdCode,KSM-B2C,KSM-B2C,KSM_Business to Cust
EmasProdCode,AP-FIN-BL,AP-FIN-BL,AP FINTECH BULLET
EmasProdCode,KUM-SAN-M,KUM-SAN-M,KUM SEC ANNUITY KMK
EmasProdCode,KPR-GP2TH,KPR-GP2TH,KPR Grace Period
EmasProdCode,KSM-CHNL,KSM-USAN,KSM CHANNELING B2C
EmasProdCode,M-UM-TONI,M-UM-TONI,M UM TONI CROWDE
EmasProdCode,M-UM-INV,M-UM-INV,KUM INVOICE FINANCIN
EmasProdCode,KSM-CHNP2P,KSM-USAN,KSM_UNSEC AN
EmasProdCode,KUM-SAN-I,KUM-SAN-I,KUM SEC ANNUITY KI
EmasProdCode,M-KPBA,M-KPBA,M-KPBA
EmasProdCode,M-UM-EFIS,M-UM-EFIS,KMK Revolving EFISH
EmasProdCode,M-UM-FISH,M-UM-FISH,KMK MULTIACCOUNT IDR
EmasProdCode,M-KT-PDUE,M-POSTNCL,TAGIHAN EKS PAST DUE
EmasProdCode,KUMUNSPALU,M-UM-UNSEC,KUM UNSECURE PALU
EmasProdCode,M-UM-A-UMK,M-UM-A-UMK,KUM PJAMINAN AN UKMK
EmasProdCode,M-UM-A-UKI,M-UM-A-UKI,KUM PJAMINAN AN UKI
EmasProdCode,M-UM-A-SKI,M-UM-A-SKI,KUM PJAMINAN AN SKI
EmasProdCode,M-UM-A-SMK,M-UM-A-SMK,KUM PJAMINAN AN SKMK
EmasProdCode,K-KASB-ORI,K-KASB-ORI,KONSUMTIF KASB ORI
EmasProdCode,K-KASB-ORI,K-KASB-ORI,KONSUMTIF KASB ORI
EmasProdCode,K-KASB-ORI,K-KASB-ORI,KONSUMTIF KASB ORI
EmasProdCode,K-KASB-ORI,K-KASB-ORI,KONSUMTIF KASB ORI
EmasProdCode,M-KASB-ORI,M-KASB-ORI,MODAL KERJA KASB ORI
EmasProdCode,M-KASB-ORI,M-KASB-ORI,MODAL KERJA KASB ORI
EmasProdCode,M-KASB-ORI,M-KASB-ORI,MODAL KERJA KASB ORI
EmasProdCode,M-KASB-ORI,M-KASB-ORI,MODAL KERJA KASB ORI
EmasProdCode,I-KASB-ORI,I-KASB-ORI,INVESTASI KASB ORI
EmasProdCode,I-KASB-ORI,I-KASB-ORI,INVESTASI KASB ORI
EmasProdCode,I-KASB-ORI,I-KASB-ORI,INVESTASI KASB ORI
EmasProdCode,I-KASB-ORI,I-KASB-ORI,INVESTASI KASB ORI
EmasProdCode,K-KASB-SUK,K-KASB-SUK,KONSUMTIF KASB SUKUK
EmasProdCode,K-KASB-SUK,K-KASB-SUK,KONSUMTIF KASB SUKUK
EmasProdCode,K-KASB-SUK,K-KASB-SUK,KONSUMTIF KASB SUKUK
EmasProdCode,K-KASB-SUK,K-KASB-SUK,KONSUMTIF KASB SUKUK
EmasProdCode,M-KASB-SUK,M-KASB-SUK,MODALKRJA KASB SUKUK
EmasProdCode,M-KASB-SUK,M-KASB-SUK,MODALKRJA KASB SUKUK
EmasProdCode,M-KASB-SUK,M-KASB-SUK,MODALKRJA KASB SUKUK
EmasProdCode,M-KASB-SUK,M-KASB-SUK,MODALKRJA KASB SUKUK
EmasProdCode,I-KASB-SUK,I-KASB-SUK,INVESTASI KASB SUKUK
EmasProdCode,I-KASB-SUK,I-KASB-SUK,INVESTASI KASB SUKUK
EmasProdCode,I-KASB-SUK,I-KASB-SUK,INVESTASI KASB SUKUK
EmasProdCode,I-KASB-SUK,I-KASB-SUK,INVESTASI KASB SUKUK
EmasProdCode,M-KPBASMEF,M-KPBASMEF,MANDIRI KPBA EFEKTIF
EmasProdCode,GCNY-DHE,GCNY-DHE Giro Regular CNY,
