CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
MASTER,LBUT_KOLEKTIBILITAS,LBUT_KOLEKTIBILITAS,
LBUT_KOLEKTIBILITAS,1,KOLEKTABILITAS 1,
LBUT_KOLEKTIBILITAS,2,KOLEKTABILITAS 2,
LBUT_KOLEKTIBILITAS,3,KOLEKTABILITAS 3,
LBUT_KOLEKTIBILITAS,4,KOLEKTABILITAS 4,
LBUT_KOLEKTIBILITAS,5,KOLEKTABILITAS 5,
