CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,117,"Kab. Ponorogo, Jawa Timur",1225,
Location,118,"Kab. Pacitan, Jawa Timur",1226,
Location,119,"Kab. Bojonegoro, Jawa Timur",1227,
Location,120,"Kab. Tuban, Jawa Timur",1228,
Location,121,"Kab. Lamongan, Jawa Timur",1229,
Location,122,"Kab. Situbondo, Jawa Timur",1230,
Location,123,Kota Batu,1271,
Location,124,"XXXProv.Jawa Timur,Kab/Kota Lainnya",1288,
Location,125,"Kod. Surabaya, Jawa Timur",1291,
Location,126,"Kod. Mojokerto, Jawa Timur",1292,
Location,127,"Kod. Malang, Jawa Timur",1293,
Location,128,"Kod. Pasuruan, Jawa Timur",1294,
Location,129,"Kod. Probolinggo, Jawa Timur",1295,
Location,130,"Kod. Blitar, Jawa Timur",1296,
Location,131,"Kod. Kediri, Jawa Timur",1297,
Location,132,"Kod. Madiun, Jawa Timur",1298,
Location,133,"Kotif Jember, Jawa Timur",1299,
Location,134,XXXPROVINSI BENGKULU,2300,
Location,135,"Kab. Bengkulu Selatan, Bengkulu",2301,
Location,136,"Kab. Bengkulu Utara, Bengkulu",2302,
Location,137,"Kab. Rejang Lebong, Bengkulu",2303,
Location,138,Kab. Lebong,2304,
Location,139,Kab. Kepahiang,2305,
Location,140,Kab. Mukomuko,2306,
Location,141,Kab. Seluma,2307,
Location,142,Kab. Kaur,2308,
Location,143,Kab. Bengkulu Tengah,2309,
Location,144,"Prov.Bengkulu,Kab/Kota Lainnya",2388,
Location,145,"Kod. Bengkulu, Bengkulu",2391,
Location,146,Kab. BENGKULU TENGAH 2392,2392,
Location,147,XXXProvinsi Jambi,3100,
Location,148,"Kab. Batanghari, Jambi",3101,
Location,149,"Kab. Sarolangun / Bang, Jambi",3104,
Location,150,"Kab. Kerinci, Jambi",3105,
Location,151,"Kab. Muara Jambi, Jambi",3106,
Location,152,"Kab. Tanjung Jabung Barat, Jambi",3107,
Location,153,"Kab. Tanjung Jabung Timur, Jambi",3108,
Location,154,"Kab. Tebo, Jambi",3109,
Location,155,"Kab. Bungo, Jambi",3110,
Location,156,"Kab. Merangin, Jambi",3111,
Location,157,Kab. Bungo,3112,
Location,158,"Prov.Jambi,Kab/Kota Lainnya",3188,
Location,159,"Kod. Jambi, Jambi",3191,
Location,160,Kab. MUARO JAMBI,3192,
Location,161,Kab. SUNGAI PENUH,3193,
Location,162,XXXProvinsi Aceh,3200,
Location,163,"Kab. Aceh Besar, Aceh",3201,
Location,164,"Kab. Pidie, Aceh",3202,
Location,165,"Kab. Aceh Utara, Aceh",3203,
Location,166,"Kab. Aceh Timur, Aceh",3204,
Location,167,"Kab. Aceh Selatan, Aceh",3205,
Location,168,"Kab. Aceh Barat, Aceh",3206,
Location,169,"Kab. Aceh Tengah, Aceh",3207,
Location,170,"Kab. Aceh Tenggara, Aceh",3208,
Location,171,"Kab. Aceh Singkil, Aceh",3209,
Location,172,"Kab. Aceh Jeumpa, Aceh",3210,
Location,173,Kab.Aceh Tamiang,3211,
Location,174,Kab.Gayo Lues,3212,
Location,175,Kab.Aceh Barat Daya,3213,
Location,176,Kab.Aceh Jaya,3214,
Location,177,Kab.Nagan Raya,3215,
Location,178,Kab.Aceh Simeuleu,3216,
Location,179,Kab. Bener Meriah,3217,
Location,180,Kabupaten Pidie Jaya,3218,
Location,181,Kabupaten Subulussalam,3219,
Location,182,Kab. Bireun,3220,
Location,183,"Prov.NAD,Kab/Kota Lainnya",3288,
Location,184,"Kod. Banda Aceh, Aceh",3291,
Location,185,"Kod. Sabang, Aceh",3292,
Location,186,"Kotif Lhokseumawe, Aceh",3293,
Location,187,"Kotif Langsa, Aceh",3294,
Location,188,"Kotif Simeulue, Aceh",3295,
Location,189,Kab. GAYO LUES,3296,
Location,190,XXXProvinsi Sumatera Utara,3300,
Location,191,"Kab. Deli Serdang, Sumatera Utara",3301,
Location,192,"Kab. Langkat, Sumatera Utara",3302,
Location,193,"Kab. Karo, Sumatera Utara",3303,
Location,194,"Kab. Simalungun, Sumatera Utara",3304,
Location,195,"Kab. Labuhan Batu, Sumatera Utara",3305,
Location,196,"Kab. Asahan, Sumatera Utara",3306,
Location,197,"Kab. Dairi, Sumatera Utara",3307,
Location,198,"Kab. Tapanuli Utara, Sumatera Utara",3308,
Location,199,"Kab. Tapanuli Tengah, Sumatera Utara",3309,
Location,200,"Kab. Tapanuli Selatan, Sumatera Utara",3310,
Location,201,"Kab. Nias, Sumatera Utara",3311,
Location,202,"Kotif. Rantau Prapat, Sumatera Utara",3312,
Location,203,"Kab. Toba Samosir, Sumatera Utara",3313,
Location,204,"Kab. Mandailing Natal, Sumatera Utara",3314,
Location,205,Kab. Nias Selatan,3315,
Location,206,Kab. Humbang Hasundutan,3316,
