CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,515,Kab. MUNA BARAT,6917,
Location,516,"Prov.Sulawesi Tenggara,Kab/Kota Lainnya",6988,
Location,517,"Kotif Bau-Bau, Sulawesi Tenggara",6990,
Location,518,"Kotif Kendari, Sulawesi Tenggara",6991,
Location,520,"Kab. Lombok Barat, NTB",7101,
Location,521,"Kab. Lombok Tengah, NTB",7102,
Location,522,"Kab. Lombok Timur, NTB",7103,
Location,523,"Kab. Sumbawa, NTB",7104,
Location,524,"Kab. Bima, NTB",7105,
Location,525,"Kab. Dompu, NTB",7106,
Location,526,Kab. Sumbawa Barat,7107,
Location,527,Kab. LOMBOK UTARA,7108,
Location,528,Kab. MALAKA,7109,
Location,529,"Prov.NTB,Kab/Kota Lainnya",7188,
Location,530,"Kotif Mataram, NTB",7191,
Location,531,Kota Bima,7192,
Location,532,Provinsi Bali,7200,
Location,533,"Kab. Buleleng, Bali",7201,
Location,534,"Kab. Jembrana, Bali",7202,
Location,535,"Kab. Tabanan, Bali",7203,
Location,536,"Kab. Badung, Bali",7204,
Location,537,"Kab. Gianyar, Bali",7205,
Location,538,"Kab. Klungkung, Bali",7206,
Location,539,"Kab. Bangli, Bali",7207,
Location,540,"Kab. Karangasem, Bali",7208,
Location,541,"Prov.Bali,Kab/Kota Lainnya",7288,
Location,542,"Kotif Denpasar, Bali",7291,
Location,543,Provinsi Nusa Tenggara Timur,7400,
Location,544,"Kab. Kupang, NTT",7401,
Location,545,"Kab. Timor Tengah Sela, NTT",7402,
Location,546,"Kab. Timor Tengah Utar, NTT",7403,
Location,547,"Kab. Belu, NTT",7404,
Location,548,"Kab. Alor, NTT",7405,
Location,549,"Kab. Flores Timur, NTT",7406,
Location,550,"Kab. Sikka, NTT",7407,
Location,551,"Kab. Ende, NTT",7408,
Location,552,"Kab. Ngada, NTT",7409,
Location,553,"Kab. Manggarai, NTT",7410,
Location,554,"Kab. Sumba Timur, NTT",7411,
Location,555,"Kab. Sumba Barat, NTT",7412,
Location,556,"Kab. Lembata, NTT",7413,
Location,557,Kab.Rote,7414,
Location,558,Kab. Manggarai Barat,7415,
Location,559,Kabupaten Sumba Tengah,7416,
Location,560,Kabupaten Sumba Barat Daya,7417,
Location,561,Kabupaten Manggarai Timur,7418,
Location,562,Kabupaten Nagekeo,7419,
Location,564,Kab. SABU RAIJUA,7421,
Location,565,Kab. ROTE NDAO,7422,
Location,566,"Prov.NTT,Kab/Kota Lainnya",7488,
Location,567,"Kotif Kupang, NTT",7491,
Location,568,Provinsi Maluku,8100,
Location,569,Kab.Maluku Tengah,8101,
Location,570,"Kab. Maluku Tenggara, Maluku",8102,
Location,571,Kab.Maluku Tenggara Barat,8103,
Location,572,Kab.Buru,8104,
Location,573,Kabupaten Seram Bagian Barat,8105,
Location,574,Kabupaten Seram Bagian Timur,8106,
Location,575,Kabupaten Kepulauan Aru,8107,
Location,576,Kab. BURU SELATAN,8108,
Location,577,Kab. Buru Selatan 8109,8109,
Location,578,Kab. Maluku Utara,8110,
Location,579,"Prov.Maluku,Kab/Kota Lainnya",8188,
Location,580,"Kod. Ambon, Maluku",8191,
Location,581,Kota Tual,8192,
Location,582,Kab. MALUKU BARAT DAYA,8193,
Location,583,Provinsi Papua,8200,
Location,584,"Kab. Jayapura, Irian Jaya",8201,
Location,585,Kab. Teluk Cendrawasih/Biak Numfor,8202,
Location,586,Kab. PEGUNUNGAN BINTANG,8203,
Location,587,"Kab. Sorong, Irian Jaya",8204,
Location,588,"Kab. Fak-Fak, Irian Jaya",8205,
Location,589,"Kab. Manokwari, Irian Jaya",8209,
Location,590,Kab. Kep. YAPEN,8210,
Location,591,"Kab. Merauke, Irian Jaya",8211,
Location,592,"Kab. Paniai, Irian Jaya",8212,
Location,593,"Kab. Jayawijaya, Irian Jaya",8213,
Location,594,Kab. Nabire,8214,
Location,595,Kab. Mimika,8215,
Location,596,Kab. Puncak Jaya,8216,
Location,597,Kab.Sarmi,8217,
Location,598,Kab.Keerom,8218,
Location,599,Kab.Sorong Selatan,8219,
Location,600,Kab.Raja Ampat,8220,
Location,601,Kab.Pegunungan Bintang,8221,
Location,602,Kab. Yahukimo,8222,
Location,603,Kab.Tolikara,8223,
Location,604,Kab.Waropen,8224,
Location,605,Kab.Kaimana,8225,
Location,606,Kab.Boven Digoel,8226,
Location,607,Kab.Mappi,8227,
Location,608,Kab.Asmat,8228,
Location,609,Kab.Teluk Bintumi,8229,
Location,610,Kab.Wondama,8230,
Location,611,Kab. Supiori,8231,
Location,612,Kabupaten Mamberamo Tengah,8232,
Location,613,Kabupaten Dogiyai,8233,
Location,614,Kabupaten Lanny Jaya,8234,
Location,615,Kabupaten Mamberamo Tengah B,8235,
Location,616,Kabupaten Nduga Tengah,8236,
Location,617,Kabupaten Yalimo,8237,
Location,618,Kabupaten Puncak,8238,
Location,619,Kab. BIAK NUMFOR,8239,
Location,620,KAB. DEIYAI,8240,
Location,621,Kab. INTAN JAYA,8241,
Location,623,Kab. NDUGA,8243,
Location,625,Kab. MAMBERAMO RAYA,8245,
Location,626,Kab. KEPULAUAN YAPEN,8249,
Location,627,"Prov.Papua,Kab/Kota Lainnya",8288,
Location,628,"Kotif Jayapura, Irian Jaya",8291,
Location,629,"Kodya Sorong, Irian Jaya",8292,
Location,630,Provinsi Maluku Utara,8300,
Location,631,"Kab. Maluku Utara, Irian Jaya",8301,
Location,632,"Kab. Halmahera Tengah, Irian Jaya",8302,
Location,633,Kab. Halmahera Utara,8303,
Location,634,Kab. Halmahera Timur,8304,
Location,635,Kab. Halmahera Barat,8305,
Location,636,Kab. Halmahera Selatan,8306,
Location,637,Kab. Kepulauan Sula,8307,
Location,638,Kab. Morotai,8308,
Location,640,"Prov.Maluku Utara,Kab.Kota Lainnya",8388,
Location,641,"Kotif Ternate, Irian Jaya",8390,
Location,642,Kota Tidore Kepulauan,8391,
Location,643,Kab. PULAU MOROTAI,8392,
Location,644,Kab. PULAU TALIABU,8393,
Location,645,Provinsi Papua Barat,8400,
Location,646,Kab. Sorong,8401,
Location,647,Kab. Fak-Fak,8402,
Location,648,Kab. Manokwari,8403,
Location,649,Kab. Sorong Selatan,8404,
Location,650,Kab. Raja Ampat,8405,
Location,651,Kab. Kaimana,8406,
Location,652,Kab. Teluk Bintuni,8407,
Location,653,Kab. Teluk Wondama,8408,
Location,654,Kab. Tembrauw,8409,
Location,655,Kab. MAYBRAT,8410,
Location,656,Kab. MANOKWARI SELATAN,8411,
Location,658,Kab. TAMBRAUW,8413,
Location,659,Kab. PEGUNUNGAN ARFAK,8414,
Location,660,Kota Sorong,8491,
Location,661,DI LUAR INDONESIA ( LUAR NEGERI ),9999,
