TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|19811105,19811105,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|19811105|DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit|Placement,Placement,
Treasury_CI|41021102,41021102,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|41021102|DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit|Placement,Placement,
Treasury_CI|19811105,19811105,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit,Treasury_CI,Treasury_CI|19811105|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit|Placement,Placement,
Treasury_CI|41021102,41021102,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit,Treasury_CI,Treasury_CI|41021102|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit|Placement,Placement,
Treasury_CI|Cash Accounts Nostro,Cash Accounts Nostro,Value Day (EOD)|Amount|Debit,Treasury_CI,Treasury_CI|Cash Accounts Nostro|Value Day (EOD)|Amount|Debit|Settlement,Settlement,
Treasury_CI|19511633,19511633,Value Day (EOD)|Amount|Credit,Treasury_CI,Treasury_CI|19511633|Value Day (EOD)|Amount|Credit|Settlement,Settlement,
Treasury_CI|92511201,92511201,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|92511201|DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_CI|72511201,72511201,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|72511201|DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury_CI|92511201,92511201,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|92511201|DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury_CI|72511201,72511201,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|72511201|DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_CI|19511633,19511633,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_CI|22015101,22015101,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|22015101|DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury_CI|27513501,27513501,DepoLoan_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Debit,Treasury_CI,Treasury_CI|27513501|DepoLoan_TD_Daily Interest Accrual|Accounting Accrued Interest FI|Debit|Borrowing,Borrowing,
Treasury_CI|19811105,19811105,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Debit,Treasury_CI,Treasury_CI|19811105|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Debit|Borrowing,Borrowing,
Treasury_CI|51021101,51021101,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Credit,Treasury_CI,Treasury_CI|51021101|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Credit|Borrowing,Borrowing,
Treasury_CI|19511633,19511633,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_CI|22015101,22015101,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|22015101|DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury_CI|19511633,19511633,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Debit,Treasury_CI,Treasury_CI|19511633|DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Debit|Borrowing,Borrowing,
Treasury_CI|19811105,19811105,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|19811105|DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit|Borrowing,Borrowing,
Treasury_CI|51021101,51021101,DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|51021101|DepoLoan_MF_Pay Date Interest PL|PSAK FI Interest Income|Credit|Borrowing,Borrowing,
Treasury_CI|19811105,19811105,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit,Treasury_CI,Treasury_CI|19811105|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit|Borrowing,Borrowing,
