YIELDCURVE,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,KRW,,Simple Bootstrap,Default,Default,Linear,Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Annual Comp,300,1,KRW-SWAP,Benchmark,KRW/KORIBOR/1W,0.007527652,,Up,KRW/KORIBOR/1W,No,,
,,,,,,,,,,,,,,,,,KRW/KORIBOR/1M,0.00863392,,Up,KRW/KORIBOR/1M,No,,
,,,,,,,,,,,,,,,,,KRW/KORIBOR/2M,0.009336092,,Up,KRW/KORIBOR/2M,No,,
,,,,,,,,,,,,,,,,,KRW/KORIBOR/3M,0.010642248,,Up,KRW/KORIBOR/3M,No,,
,,,,,,,,,,,,,,,,,KRW/KORIBOR/6M,0.010828759,,Up,KRW/KORIBOR/6M,No,,
,,,,,,,,,,,,,,,,,KRW/KORIBOR/1Y,0.011599633,,Up,KRW/KORIBOR/1Y,No,,
