PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,DISNBR.DISID,STOP_TIME,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,LOG_PRICE,CURR.INSID,UPDATE_INTERVAL,START_TIME,INSADDR.INSID,SERVICE.ENTRY,MULTIPLICATION_FACTOR,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,BND=,,BND,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,CNY=,,CNY,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,HKD=,,HKD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,DKK=,Yes,DKK,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,JOD=,,JOD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,IDR=,,IDR,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,INR=,,INR,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,KRW=,,KRW,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,KWD=,,KWD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,MYR=,,MYR,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,NOK=,,NOK,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,PGK=,,PGK,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,PHP=,,PHP,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,SAR=,,SAR,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,SEK=,,SEK,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,SGD=,,SGD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,THB=,,THB,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,TWD=,,TWD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,VND=,,VND,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,CAD=,,CAD,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,CHF=,,CHF,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,JPY=,,JPY,-1,360,USD,IDN_SELECTFEED,1,
RSFFX,,APH_REFINITIV,960,REFINITIV_SPOT,-1,PriceServices,VNDIDR=R,,IDR,-1,360,VND,IDN_SELECTFEED,1,
