PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
INSADDR.EXTERN_ID1,PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,FORCE_UPDATE,DISNBR.DISID,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,STOP_TIME,UPDATE_INTERVAL,SERVICE.ENTRY,INSADDR.INSID,CURR.INSID,MULTIPLICATION_FACTOR,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD5MD=,960,-1,IDN_SELECTFEED,AUD/DEP/5M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD6MD=,960,-1,IDN_SELECTFEED,AUD/DEP/6M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD7MD=,960,-1,IDN_SELECTFEED,AUD/DEP/7M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD8MD=,960,-1,IDN_SELECTFEED,AUD/DEP/8M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD9MD=,960,-1,IDN_SELECTFEED,AUD/DEP/9M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD1YD=,960,-1,IDN_SELECTFEED,AUD/DEP/1Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSWD=,960,-1,IDN_SELECTFEED,AUD/DEP/1W,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB2Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/2Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB3Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/3Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB4Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/4Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB5Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/5Y,AUD,1,
