TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_HK,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_HK|Placement|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_HK,Borrowing,DepoLoan_TD_Daily Interest Accrual,Treasury_HK|Borrowing|DepoLoan_TD_Daily Interest Accrual,
Treasury_HK,Placement,DepoLoan_TD_Daily Interest Accrual,Treasury_HK|Placement|DepoLoan_TD_Daily Interest Accrual,
Treasury_HK,Repo,Repo_MF_Value Date Principal,Treasury_HK|Repo|Repo_MF_Value Date Principal,
Treasury_HK,Repo,Repo_MF_Maturity Date Principal,Treasury_HK|Repo|Repo_MF_Maturity Date Principal,
Treasury_HK,Repo,Repo_MF_Pay Date Interest PL,Treasury_HK|Repo|Repo_MF_Pay Date Interest PL,
Treasury_HK,Reverse Repo,Repo_MF_Maturity Date Principal,Treasury_HK|Reverse Repo|Repo_MF_Maturity Date Principal,
Treasury_HK,Reverse Repo,Repo_TD_Daily Interest Accrual,Treasury_HK|Reverse Repo|Repo_TD_Daily Interest Accrual,
Treasury_HK,Repo,Repo_TD_Daily Interest Accrual,Treasury_HK|Repo|Repo_TD_Daily Interest Accrual,
Treasury_HK,Reverse Repo,Repo_MF_Pay Date Interest PL,Treasury_HK|Reverse Repo|Repo_MF_Pay Date Interest PL,
Treasury_HK,Reverse Repo,Repo_MF_Value Date Principal,Treasury_HK|Reverse Repo|Repo_MF_Value Date Principal,
Treasury_HK,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury_HK|Bond Forward|Bond Forward_TD_Daily MtM Contract,
Treasury_HK,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury_HK|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury_HK,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury_HK|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury_HK,Cash_Payment Autoinvest,CP_Interest income,Treasury_HK|Cash_Payment Autoinvest|CP_Interest income,
Treasury_HK,Settlement,Value Day (Real-Time),Treasury_HK|Settlement|Value Day (Real-Time),
Treasury_HK,Placement,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Placement,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_HK|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_HK,Settlement,Value Day (EOD),Treasury_HK|Settlement|Value Day (EOD),
Treasury_HK,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_HK|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_HK,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Placement,PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Placement|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,FX Forward,FX_MF_Trade Date OffBalance Principal,Treasury_HK|FX Forward|FX_MF_Trade Date OffBalance Principal,
Treasury_HK,FX Forward,FX_MF_Value Date OffBalance Principal,Treasury_HK|FX Forward|FX_MF_Value Date OffBalance Principal,
Treasury_HK,FX Forward,FX_MF_Value Date Principal,Treasury_HK|FX Forward|FX_MF_Value Date Principal,
Treasury_HK,FX Forward,FX_TD_Daily Mark-to-Market,Treasury_HK|FX Forward|FX_TD_Daily Mark-to-Market,
Treasury_HK,FX Swap,FX_MF_Trade Date OffBalance Principal,Treasury_HK|FX Swap|FX_MF_Trade Date OffBalance Principal,
Treasury_HK,FX Swap,FX_MF_Value Date OffBalance Principal,Treasury_HK|FX Swap|FX_MF_Value Date OffBalance Principal,
Treasury_HK,FX Swap,FX_MF_Value Date Principal,Treasury_HK|FX Swap|FX_MF_Value Date Principal,
Treasury_HK,FX Swap,FX_TD_Daily Mark-to-Market,Treasury_HK|FX Swap|FX_TD_Daily Mark-to-Market,
Treasury_HK,Placement,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Placement,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_HK|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_HK,Borrowing,PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Borrowing|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_HK|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_HK,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,FX NDF,FX_MF_Settle Date Payout_FCY (NI),Treasury_HK|FX NDF|FX_MF_Settle Date Payout_FCY (NI),
Treasury_HK,FX NDF,FX_MF_Settle Date Payout_FCY_ACCY,Treasury_HK|FX NDF|FX_MF_Settle Date Payout_FCY_ACCY,
Treasury_HK,Reverse Repo,Repo_MF_Trade Date Principal,Treasury_HK|Reverse Repo|Repo_MF_Trade Date Principal,
Treasury_HK,Borrowing,PSAK_MF_Pay Date WIthholding Tax,Treasury_HK|Borrowing|PSAK_MF_Pay Date WIthholding Tax,
Treasury_HK,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Treasury_HK|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,
Treasury_HK,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Treasury_HK|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),
