TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_HK|Cash Accounts Nostro,Cash Accounts Nostro,CP_AutoInvest_Premium|Amount|Debit,Treasury_HK,Treasury_HK|Cash Accounts Nostro|CP_AutoInvest_Premium|Amount|Debit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|03-021 LoanDepo Principal Liabilities,03-021 LoanDepo Principal Liabilities,CP_AutoInvest_Premium|Amount|Credit,Treasury_HK,Treasury_HK|03-021 LoanDepo Principal Liabilities|CP_AutoInvest_Premium|Amount|Credit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|Cash Accounts Nostro,Cash Accounts Nostro,CP_Interest Accrued|Amount|Debit,Treasury_HK,Treasury_HK|Cash Accounts Nostro|CP_Interest Accrued|Amount|Debit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|05-018 LoanDepo Interest Income,05-018 LoanDepo Interest Income,CP_Interest Accrued|Amount|Credit,Treasury_HK,Treasury_HK|05-018 LoanDepo Interest Income|CP_Interest Accrued|Amount|Credit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|01-031 LoanDepo Accrual Assets,01-031 LoanDepo Accrual Assets,CP_Interest income|Amount|Debit,Treasury_HK,Treasury_HK|01-031 LoanDepo Accrual Assets|CP_Interest income|Amount|Debit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|05-018 LoanDepo Interest Income,05-018 LoanDepo Interest Income,CP_Interest income|Amount|Credit,Treasury_HK,Treasury_HK|05-018 LoanDepo Interest Income|CP_Interest income|Amount|Credit|Cash_Payment Autoinvest,Cash_Payment Autoinvest,
Treasury_HK|86012801,86012801,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Debit,Treasury_HK,Treasury_HK|86012801|DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Debit|Placement,Placement,
Treasury_HK|66012801,66012801,DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Credit,Treasury_HK,Treasury_HK|66012801|DepoLoan_MF_Trade Date Offbalance Principal|Cash Analysis Projected|Credit|Placement,Placement,
Treasury_HK|66012801,66012801,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Debit,Treasury_HK,Treasury_HK|66012801|DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Debit|Placement,Placement,
Treasury_HK|86012801,86012801,DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Credit,Treasury_HK,Treasury_HK|86012801|DepoLoan_MF_Value Date Offbalance Principal|Cash Analysis Projected|Credit|Placement,Placement,
