YIELDCURVE,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,THB,,Simple Bootstrap,Default,Default,Linear,Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Annual Comp,300,1,THB-SWAP,Benchmark,THB/BOT BIBOR/ON,0.014992791,,Up,THB/BOT BIBOR/ON,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/SW,0.010164132,,Up,THB/BOT BIBOR/SW,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/1M,0.008751496,,Up,THB/BOT BIBOR/1M,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/2M,0.008689548,,Up,THB/BOT BIBOR/2M,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/3M,0.009015317,,Up,THB/BOT BIBOR/3M,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/6M,0.010014048,,Up,THB/BOT BIBOR/6M,No,,
,,,,,,,,,,,,,,,,,THB/BOT BIBOR/1Y,0.012126419,,Up,THB/BOT BIBOR/1Y,No,,
