YIELDCURVE,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,MYR,,Simple Bootstrap,Default,Default,Linear,Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Annual Comp,300,1,MYR-SWAP,Benchmark,MYR/KLIBOR/1M,0.027233553,,Up,MYR/KLIBOR/1M,No,,
,,,,,,,,,,,,,,,,,MYR/KLIBOR/2M,0.0280215,,Up,MYR/KLIBOR/2M,No,,
,,,,,,,,,,,,,,,,,MYR/KLIBOR/3M,0.028193535,,Up,MYR/KLIBOR/3M,No,,
,,,,,,,,,,,,,,,,,MYR/KLIBOR/6M,0.029714553,,Up,MYR/KLIBOR/6M,No,,
,,,,,,,,,,,,,,,,,MYR/KLIBOR/1Y,0.030497477,,Up,MYR/KLIBOR/1Y,No,,
