TASKSCHEDULE,,,,,,/TASKSCHEDULE
SEQNBR,ENABLED,CALNBR.CALID,TASKNBR.NAME,RIB,SCHEDULE,
527,Yes,Jakarta,BO40 - Streamline Settlement H-0.xls,,"1:W:1,Mo,Tu,We,Th,Fr:E,119,1100,1300:20240101",
528,Yes,Jakarta,BO41 - Streamline Settlement H+1.pdf,,"1:W:1,Mo,Tu,We,Th,Fr:O,1400:20231013",
529,Yes,Jakarta,BO41 - Streamline Settlement H+1.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,1400:20240101",
530,Yes,Jakarta,BO42 - List of Coupon Payment.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231231",
531,Yes,Jakarta,BO43 - Report Underlying Domestic Customer.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0100:20240101",
532,Yes,Jakarta,BO44 - List of Amendment & Cancelation Transaction.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
533,Yes,Jakarta,BO45 - Report for All Approval for nominal eqv IDR 500Bio.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0000:20240101",
534,Yes,Jakarta,BO46 - Nominal Above 1000bio IDR - BEA.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0000:20240101",
535,Yes,Jakarta,BO46 - Report for All Approval for nominal eqv IDR 1000Bio.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0000:20240101",
536,Yes,Jakarta,BO47 - Laporan Saldo Nostro.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0330:20231013",
537,Yes,Jakarta,BO48 - Trade Detail Buy.txt,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
538,Yes,Jakarta,BO49 - Trade Confirmation Buy.txt,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
539,Yes,Jakarta,BO50 - Trade Detail Sell.txt,,"1:W:1,Mo,Tu,We,Th,Fr:O,0100:20231013",
540,Yes,Jakarta,BO51 - Trade Confirmation Sell.txt,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
541,Yes,Jakarta,BO52 - Rekonsiliasi Pajak - Detail of Tax Non-Bonds.xls,,"1:M:30,1:O,0000:20240101",
542,Yes,,BO54 - Monthly Report.xls,,"1:M:30,1:O,1600:20231013",
543,Yes,,BO55 - Yearly Report.xls,,"1:M:30,12:O,1600:20231013",
544,Yes,,BO56 - Profit & loss (fee-based income & net interest incom.xls,,"1:M:30,1:O,1600:20231013",
545,Yes,,BO57 - Detail charges TMPG.xls,,"1:M:30,1:O,1600:20231013",
546,Yes,Jakarta,BO58 - TMPG Claim Invoice,,"1:M:30,1:O,1600:20240101",
547,Yes,,BO58 - TMPG Claim Invoice.pdf,,"1:M:30,1:O,1600:20231013",
548,Yes,,BO59 - Bonds Data Rating.xls,,"1:M:1,1:O,1600:20231013",
549,Yes,Jakarta,BO60 - Matching Confirmation.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
550,Yes,Jakarta,BO61 - Interest Rate MtM Report - CIBOR.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231231",
551,Yes,Jakarta,BO61 - Interest Rate MtM Report - JIBOR.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231231",
552,Yes,Jakarta,BO61 - Interest Rate MtM Report - LIBOR.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231231",
553,Yes,Jakarta,BO61 - Interest Rate MtM Report - SBI1M.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231231",
554,Yes,Jakarta,BO61 - Interest Rate MtM Report.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,2000:20231012",
555,Yes,,BO62 - PPAP.xls,,"1:M:30,1:O,2000:20231012",
556,Yes,,BO63 - Macam-macam posisi debet (MMPD).xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,1600:20231013",
557,Yes,Jakarta,BO64 - Macam-macam posisi kredit (MMPK).xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,1600:20240101",
558,Yes,Jakarta,BO65 - LLD Report.xls,Yes,"1:M:30,1:O,1600:20231010",
559,Yes,Jakarta,BO66 - Detail Data Systematic Internalizer.xls,Yes,"1:M:30,1:O,1600:20231010",
560,Yes,Jakarta,BO67 - Rekap Bulan Systematic Internalizer.xls,,"1:M:30,1:O,1600:20240101",
561,Yes,Jakarta,BO68 - Rincian Nasabah Jual Sistematic Internalizer.xls,Yes,"1:M:30,1:O,1600:20231010",
562,Yes,Jakarta,BO69 - Rincian Nasabah Beli Sistematic Internalizer.xls,Yes,"1:M:30,1:O,1600:20231010",
563,Yes,Jakarta,BO70 - PPE EBUS Sebagai Pedagang & Perantara.xls,,"1:M:30,1:O,1600:20240101",
564,Yes,Jakarta,BO71 - APOLO,Yes,"1:M:30,1:O,1600:20231010",
565,Yes,,BO71 - APOLO.xls,,"1:M:30,1:O,1600:20240101",
566,Yes,Jakarta,BO72 - Laporan Kontrak Option - Outstanding Option.xls,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1600:20231010",
567,Yes,Jakarta,BO73 - Outstanding Money Market.xls,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1600:20231010",
568,Yes,Jakarta,BO74 - Data Rating,Yes,"1:M:30,1:O,1600:20231010",
