TASKSCHEDULE,,,,,/TASKSCHEDULE
ENABLED,CALNBR.CALID,TASKNBR.NAME,RIB,SCHEDULE,
Yes,Jakarta,MO12 - Credit Risk - FX_FXNTL GRP IN USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,0506:20240101",
Yes,Jakarta,MO12 - Credit Risk - FX_FXNTL GRP IN USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1207:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP GR IDR,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,0506:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP GR IDR,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1207:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP GR USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,0505:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP GR USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1205:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP IN IDR,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,0506:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP IN IDR,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1205:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP IN USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,0504:20240101",
Yes,Jakarta,MO12 - Credit Risk - FXDV_FXDVNTL GRP IN USD,Yes,"1:W:1,Mo,Tu,We,Th,Fr:O,1201:20240101",
Yes,Jakarta,MO12 - FComplianceCheck,Yes,"1:D:1:O,0500:20240101",
Yes,Jakarta,MO12 - FComplianceCheck,Yes,"1:D:1:O,1200:20240101",
Yes,Jakarta,MO13 - Credit Risk - Issuer Limit - FI_GRP_IDR,Yes,"1:D:1:O,0501:20240101",
Yes,Jakarta,MO13 - Credit Risk - Issuer Limit - FI_GRP_IDR,Yes,"1:D:1:O,1201:20240101",
Yes,Jakarta,MO13 - Credit Risk - Issuer Limit - FI_GRP_USD,Yes,"1:D:1:O,0501:20240101",
Yes,Jakarta,MO13 - Credit Risk - Issuer Limit - FI_GRP_USD,Yes,"1:D:1:O,1201:20240101",
Yes,Jakarta,MO13 - FComplianceCheck,Yes,"1:D:1:O,0500:20240101",
Yes,Jakarta,MO13 - FComplianceCheck,Yes,"1:D:1:O,1200:20240101",
Yes,Jakarta,MO14 - Credit Risk - Country Limit Utilization,Yes,"1:D:1:O,0501:20240101",
Yes,Jakarta,MO14 - Credit Risk - Country Limit Utilization,Yes,"1:D:1:O,1201:20240101",
Yes,Jakarta,MO14 - FComplianceCheck,Yes,"1:D:1:O,0500:20240101",
Yes,Jakarta,MO14 - FComplianceCheck,Yes,"1:D:1:O,1200:20240101",
Yes,,MO15 - SA CCR.pdf,,"1:W:1,Mo,Tu,We,Th,Fr:O,0500:20231013",
Yes,,MO15 - SA CCR.xls,,"1:W:1,Mo,Tu,We,Th,Fr:O,0500:20231013",
