YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,EUR,,EUR-6M,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,EUR0012M,EUR/EURIBOR/12M,Interest Rate,Spot Rate,Act/360,Continuous,60,1,EUR-12M,Benchmark,EUR0012M,EUR/EURIBOR/12M,-0.00495850431976,,Up,End Date,EUR0012M,EUR/EURIBOR/12M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/50Y,0.001942006275,,Up,End Date,,EUR/IRS/EU6M-EU12M/50Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/40Y,0.00253076668802,,Up,End Date,,EUR/IRS/EU6M-EU12M/40Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/30Y,0.00332547809348,,Up,End Date,,EUR/IRS/EU6M-EU12M/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/20Y,0.00404818598989,,Up,End Date,,EUR/IRS/EU6M-EU12M/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/15Y,0.00353667471656,,Up,End Date,,EUR/IRS/EU6M-EU12M/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/12Y,0.00258940759392,,Up,End Date,,EUR/IRS/EU6M-EU12M/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/11Y,0.00213066380635,,Up,End Date,,EUR/IRS/EU6M-EU12M/11Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/10Y,0.00161913147682,,Up,End Date,,EUR/IRS/EU6M-EU12M/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/9Y,0.0010642624847,,Up,End Date,,EUR/IRS/EU6M-EU12M/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/8Y,0.000461585242943,,Up,End Date,,EUR/IRS/EU6M-EU12M/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/7Y,-0.000130036540831,,Up,End Date,,EUR/IRS/EU6M-EU12M/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/6Y,-0.000706504613432,,Up,End Date,,EUR/IRS/EU6M-EU12M/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/5Y,-0.00127789548658,,Up,End Date,,EUR/IRS/EU6M-EU12M/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/4Y,-0.0018692450517,,Up,End Date,,EUR/IRS/EU6M-EU12M/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/3Y,-0.0026276496352,,Up,End Date,,EUR/IRS/EU6M-EU12M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/2Y,-0.00369938062558,,Up,End Date,,EUR/IRS/EU6M-EU12M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU12M/25Y,0.0038139980642,,Up,End Date,,EUR/IRS/EU6M-EU12M/25Y,No,,
