INSTRUMENT,,,,,,,,,,,,,,,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXP_DAY,EXP_TIME,INSID,INSTYPE,OTC,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,UND_INSADDR.INSID,UND_INSTYPE,
1,IDR,5/3/2022,5/3/2022 0:00,DNDF/USD/IDR/20220503,Future/Forward,Yes,Forward,2,Calendar Days,Per Unit,Cash,2,USD,Curr,
