VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/20Y/ATM,0.00793,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/25Y/ATM,0.00788,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/2Y/ATM,0.00827,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/30Y/ATM,0.00783,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/3Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/4Y/ATM,0.00831,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/5Y/ATM,0.00834,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/6Y/ATM,0.00828,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/7Y/ATM,0.00823,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/8Y/ATM,0.0082,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/1Y/9Y/ATM,0.00818,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/10Y/ATM,0.00545,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/15Y/ATM,0.00519,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/1Y/ATM,0.00599,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/20Y/ATM,0.00505,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/25Y/ATM,0.00497,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/2Y/ATM,0.00576,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/30Y/ATM,0.00493,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/3Y/ATM,0.0057,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/4Y/ATM,0.00566,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/5Y/ATM,0.00563,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/6Y/ATM,0.00559,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/7Y/ATM,0.00555,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/8Y/ATM,0.00552,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/20Y/9Y/ATM,0.00548,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/10Y/ATM,0.00512,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/15Y/ATM,0.0049,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/1Y/ATM,0.00563,,
