VOLATILITY,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/5Y/ATM,0.00757,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/6Y/ATM,0.00748,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/7Y/ATM,0.00739,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/8Y/ATM,0.00732,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/9Y/ATM,0.00725,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/10Y/ATM,0.007,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/15Y/ATM,0.00671,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/1Y/ATM,0.00776,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/20Y/ATM,0.00645,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/25Y/ATM,0.00632,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/2Y/ATM,0.00755,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/30Y/ATM,0.00625,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/3Y/ATM,0.0075,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/4Y/ATM,0.00744,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/5Y/ATM,0.00739,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/6Y/ATM,0.00731,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/7Y/ATM,0.00722,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/8Y/ATM,0.00715,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/7Y/9Y/ATM,0.00707,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/10Y/ATM,0.00682,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/15Y/ATM,0.00653,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/1Y/ATM,0.00753,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/20Y/ATM,0.00627,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/25Y/ATM,0.00614,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/2Y/ATM,0.00736,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/30Y/ATM,0.00608,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/3Y/ATM,0.00731,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/4Y/ATM,0.00725,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/5Y/ATM,0.00718,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/6Y/ATM,0.0071,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/7Y/ATM,0.00702,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/8Y/ATM,0.00695,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/8Y/9Y/ATM,0.00688,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/10Y/ATM,0.00822,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/15Y/ATM,0.00812,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/20Y/ATM,0.00805,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/25Y/ATM,0.00801,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/2Y/ATM,0.00812,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/30Y/ATM,0.00797,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/3Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/4Y/ATM,0.00829,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/5Y/ATM,0.00831,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/6Y/ATM,0.00829,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/7Y/ATM,0.00826,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/8Y/ATM,0.00825,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/9Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/10Y/ATM,0.00663,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/15Y/ATM,0.00634,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/1Y/ATM,0.00731,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/20Y/ATM,0.00609,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/25Y/ATM,0.00596,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/2Y/ATM,0.00717,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/30Y/ATM,0.00591,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/3Y/ATM,0.00711,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/4Y/ATM,0.00704,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/5Y/ATM,0.00697,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/6Y/ATM,0.00689,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/7Y/ATM,0.00682,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/8Y/ATM,0.00676,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9Y/9Y/ATM,0.00669,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/9M/1Y/ATM,0.00715,,
