VOLATILITY,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/25Y/ATM,0.00916,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/2Y/ATM,0.00868,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/30Y/ATM,0.00918,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/3Y/ATM,0.00894,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/4Y/ATM,0.00905,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/5Y/ATM,0.00934,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/6Y/ATM,0.00923,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/7Y/ATM,0.00912,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/8Y/ATM,0.0091,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1M/9Y/ATM,0.00907,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/10Y/ATM,0.0081,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/15Y/ATM,0.00797,,
