CURRENCYPAIR,,,,,,,,,/CURRENCYPAIR
CURR1.INSID,CURR2.INSID,NAME,POINT_VALUE,POINT_VALUE_INVERSE,SPOT_BANKING_DAYS_OFFSET,SPOT_HOLIDAY_OBSERVANCE,VALUE_DAY_ROLLOVER_CUTOFF,VALUE_DAY_ROLLOVER_TIME_ZONE,
AUD,JPY,AUD/JPY,0.01,1.00E-06,2,Split Via Base,1700,America/New_York,
EUR,AUD,EUR/AUD,0.0001,0.0001,2,Split Via Base,1700,America/New_York,
EUR,CAD,EUR/CAD,0.0001,0.0001,2,Split Via Base,1700,America/New_York,
EUR,CHF,EUR/CHF,0.0001,0.0001,2,Split Via Base,1700,America/New_York,
EUR,GBP,EUR/GBP,0.0001,0.0001,2,Split Via Base,1700,America/New_York,
EUR,JPY,EUR/JPY,0.01,1.00E-06,2,Split Via Base,1700,America/New_York,
EUR,NZD,EUR/NZD,0.0001,0.0001,2,Split Via Base,1700,America/New_York,
GBP,JPY,GBP/JPY,0.01,1.00E-06,2,Split Via Base,1700,America/New_York,
