TASKSCHEDULE,,,,/TASKSCHEDULE
ENABLED,CALNBR.CALID,TASKNBR.NAME,SCHEDULE,
Yes,Jakarta,DATALOADER_BOND_PRICE_BGN,"1:W:1,Mo,Tu,We,Th,Fr:O,0900:20221129",
Yes,Jakarta,DATALOADER_BOND_PRICE_BVAL,"1:D:1:O,1030:20230317",
Yes,Jakarta,DATALOADER_BOND_PRICE_EXCH,"1:D:1:O,0915:20230317",
Yes,Jakarta,DATALOADER_BOND_PRICE_IBPA,"1:W:1,Mo,Tu,We,Th,Fr:O,0945:20221129",
Yes,Jakarta,DATALOADER_BOND_RATINGS,"1:W:1,Mo,Tu,We,Th,Fr:O,0900:20221129",
Yes,Jakarta,DATALOADER_RATEINDEX_SOFR,"1:W:1,Mo,Tu,We,Th,Fr:O,0500:20221223",
