PRICE,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,DAY,CURR.INSID,SETTLE,HISTORICAL,BITS,
AUD,internal,2021-11-26,USD,0.75,Yes,256,
EUR,internal,2021-11-26,USD,1.18,Yes,256,
GBP,internal,2021-11-26,USD,1.4195,Yes,256,
NZD,internal,2021-11-26,USD,0.7,Yes,256,
USD,internal,2021-11-26,CAD,1.24,Yes,256,
USD,internal,2021-11-26,CHF,0.93,Yes,256,
USD,internal,2021-11-26,JPY,111.58,Yes,256,
