PRICE,,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,CURR.INSID,SETTLE,BID,LAST,HISTORICAL,BITS,
AUD,SPOT,USD,,,0.75,No,16,
EUR,SPOT,USD,,,1.18,No,16,
GBP,SPOT,USD,,,1.4195,No,16,
NZD,SPOT,USD,,,0.7,No,16,
USD,SPOT,CAD,,,1.24,No,16,
USD,SPOT,CHF,,,0.93,No,16,
USD,SPOT,JPY,,,111.58,No,16,
