CONTEXT,CONTEXTLINK,,,,,,,,,,,,,,/CONTEXTLINK,/CONTEXT
NAME,DISC_TYPE_CHLNBR.ENTRY,INSADDR.INSID,GROUP_CHLNBR.ENTRY,PRFNBR.ASSINF,ATTRIBUTE0,DISC_TYPE_CHLNBR.LIST,PRFNBR.PRFID,GROUP_CHLNBR.LIST,NAME,INSADDR.ISIN,CURR.INSID,ATTRIBUTE_TYPE0,MAPPING_TYPE,TYPE,,
,FX,,,,,DiscType,,,IDR-FX,,IDR,,Instrument,Yield Curve,,
,,USD,,,,,,,IDR-FX,,IDR,,Instrument,Yield Curve,,
,IBOR,,,,,DiscType,,,IDR-SWAP,,IDR,,Instrument,Yield Curve,,
,ARR,,,,,DiscType,,,IDR-OIS,,IDR,,Instrument,Yield Curve,,
,,,,,,,,,IDR-SWAP,,IDR,,Instrument,Yield Curve,,
,CCS-BASIS,,,,,DiscType,,,IDR-FX-CCSBasis,,IDR,,Instrument,Yield Curve,,
,CCS-BASIS,USD,,,,DiscType,,,IDR-FX-CCSBasis,,IDR,,Instrument,Yield Curve,,
,,,,,,,,,USD-SOFR,,USD,,Instrument,Yield Curve,,
,ARR,,,,,DiscType,,,USD-SOFR,,USD,,Instrument,Yield Curve,,
,,USD/SOFR,,,,,,,USD-SOFR,,USD,,Instrument,Yield Curve,,
,IBOR,,,,,DiscType,,,USD-SOFR,,USD,,Instrument,Yield Curve,,
,,EUR,,,,,,,FX-EURUSD,,USD,,Instrument,Volatility,,
,,USD,,,,,,,FX-USDJPY,,JPY,,Instrument,Volatility,,
,,USD,,,,,,,FX-USDCHF,,CHF,,Instrument,Volatility,,
,,USD,,,,,,,FX-USDCAD,,CAD,,Instrument,Volatility,,
,,GBP,,,,,,,FX-GBPUSD,,USD,,Instrument,Volatility,,
,,AUD,,,,,,,FX-AUDUSD,,USD,,Instrument,Volatility,,
,,,SynthBenchResetEst,,,,,ValGroup,Current Rate,,,,Val Group,Reset Estimation Method,,
,,EUR/EURIBOR/12M,,,,,,,Float Ref,,,,Instrument,Reset Estimation Method,,
,,EUR/EURIBOR/1M,,,,,,,Float Ref,,,,Instrument,Reset Estimation Method,,
,,EUR/EURIBOR/3M,,,,,,,Float Ref,,,,Instrument,Reset Estimation Method,,
,,AUD,,,,,,,FX-AUDCAD,,CAD,,Instrument,Volatility,,
,,AUD,,,,,,,FX-AUDJPY,,JPY,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURAUD,,AUD,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURCAD,,CAD,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURCHF,,CHF,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURGBP,,GBP,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURJPY,,JPY,,Instrument,Volatility,,
,,EUR,,,,,,,FX-EURNZD,,NZD,,Instrument,Volatility,,
,,GBP,,,,,,,FX-GBPAUD,,AUD,,Instrument,Volatility,,
,,GBP,,,,,,,FX-GBPCAD,,CAD,,Instrument,Volatility,,
,,GBP,,,,,,,FX-GBPJPY,,JPY,,Instrument,Volatility,,
,,GBP,,,,,,,FX-GBPNZD,,NZD,,Instrument,Volatility,,
,,,RateIndex,,,,,ValGroup,EUR-CAP-B&S-DISP,,EUR,,Val Group,Volatility,,
,,,,,,,,,EUR-SWTN-B&S-DISP,,EUR,,Instrument,Volatility,,
,,GBP/LIBOR/3M,,,,,,,GBP-3M,,GBP,,Instrument,Yield Curve,,
,,GBP/LIBOR/6M,,,,,,,GBP-6M,,GBP,,Instrument,Yield Curve,,
,FX,,,,,DiscType,,,GBP-FX,,GBP,,Instrument,Yield Curve,,
,,USD,,,,,,,GBP-FX,,GBP,,Instrument,Yield Curve,,
,,,,,,,,,GBP-SONIA,,GBP,,Instrument,Yield Curve,,
,,GBP/SONIA,,,,,,,GBP-SONIA,,GBP,,Instrument,Yield Curve,,
,IBOR,,,,,DiscType,,,GBP-SWAP,,GBP,,Instrument,Yield Curve,,
,,,RateIndex,,,,,ValGroup,GBP-SWAP,,GBP,,Val Group,Yield Curve,,
,COLL-USD,,,,,DiscType,,,GBP-COLL-USD,,GBP,,Instrument,Yield Curve,,
,,,CCS-Basis,,,,,ValGroup,GBP-COLL-USD,,GBP,,Val Group,Yield Curve,,
,COLL-USD,USD,,,,DiscType,,,GBP-COLL-USD,,GBP,,Instrument,Yield Curve,,
,,GBP/SONIA,,,,,,,GBP-CAP-SONIA,,GBP,,Instrument,Volatility,,
,,USD,,,,,,,JPY-FX,,JPY,,Instrument,Yield Curve,,
,FX,,,,,DiscType,,,JPY-FX,,JPY,,Instrument,Yield Curve,,
,,JPY/LIBOR/3M,,,,,,,JPY-LI-3M,,JPY,,Instrument,Yield Curve,,
,,JPY/LIBOR/6M,,,,,,,JPY-LI-6M,,JPY,,Instrument,Yield Curve,,
,IBOR,,,,,DiscType,,,JPY-SWAP,,JPY,,Instrument,Yield Curve,,
,,,RateIndex,,,,,ValGroup,JPY-SWAP,,JPY,,Val Group,Yield Curve,,
,,JPY/TIBOR/6M,,,,,,,JPY-TI-6M,,JPY,,Instrument,Yield Curve,,
,,,,,,,,,JPY-SWAP,,JPY,,Instrument,Yield Curve,,
,,JPY/TONA,,,,,,,JPY-TONA,,JPY,,Instrument,Yield Curve,,
,COLL-USD,,,,,DiscType,,,JPY-COLL-USD,,JPY,,Instrument,Yield Curve,,
,,,CCS-Basis,,,,,ValGroup,JPY-COLL-USD,,JPY,,Val Group,Yield Curve,,
,COLL-USD,USD,,,,DiscType,,,JPY-COLL-USD,,JPY,,Instrument,Yield Curve,,
,,,RateIndex,,,,,ValGroup,EUR-SWAP,,EUR,,Val Group,Yield Curve,,
,IBOR,,,,,DiscType,,,EUR-SWAP,,EUR,,Instrument,Yield Curve,,
,,EUR/EURIBOR/12M,,,,,,,EUR-12M,,EUR,,Instrument,Yield Curve,,
,,EUR/EURIBOR/1M,,,,,,,EUR-1M,,EUR,,Instrument,Yield Curve,,
,,EUR/EONIA,,,,,,,EUR-EONIA,,EUR,,Instrument,Yield Curve,,
,,EUR/EURIBOR/6M,,,,,,,EUR-6M,,EUR,,Instrument,Yield Curve,,
,,EUR/EURIBOR/3M,,,,,,,EUR-3M,,EUR,,Instrument,Yield Curve,,
,,,,,,,,,EUR-EURIB,,EUR,,Instrument,Yield Curve,,
,,EUR/ESTR,,,,,,,EUR-ESTR,,EUR,,Instrument,Yield Curve,,
,,USD,,,,,,,EUR-FX,,EUR,,Instrument,Yield Curve,,
,FX,,,,,DiscType,,,EUR-FX,,EUR,,Instrument,Yield Curve,,
