TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
BEBAN OPERASIONAL LAINNYA (BOL) SURAT BERHARGA,TAccount Category,Yes,58011305,BOL SURAT BERHARGA,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) LAINNYA - EARLY TERMINATION,TAccount Category,Yes,58011370,BOL LAINNYA-EARLY TERMINATION,TAccount,Revenue Sheet,Expense,
BEBAN NON OPERASIONAL (BNO) BUNGA KANTOR SENDIRI (KS) - DEPOSIT TAKEN,TAccount Category,Yes,59011404,BNO BUNGA KS-DEPOSIT TAKEN,TAccount,Revenue Sheet,Expense,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT TRADING,TAccount Category,Yes,61512101,KONT PEMB TDNT SPOT TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING,TAccount Category,Yes,61512201,KONT PEMB TDNT FORWARD TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING NON-DELIVERABLE KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT),TAccount Category,Yes,61512202,KONT PEMB TDNT NDF,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP TRADING,TAccount Category,Yes,61512601,KONT PEMB TDNT SWAP TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) TRADING,TAccount Category,Yes,61522201,KONT PEMB TDSB FORWARD RATE AGREMENT,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) TRADING,TAccount Category,Yes,61522601,KONT PEMB TDSB INTEREST RATE SWAP,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
PENEMPATAN PADA BANK LAIN (PPBL) INTERBANK CALL MONEY,TAccount Category,Yes,66012801,PPBL INTERBANK CALL MONEY,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT TRADING,TAccount Category,Yes,71512101,KONT PENJ TDNT SPOT TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING,TAccount Category,Yes,71512201,KONT PENJ TDNT FORWARD TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING NON-DELIVERABLE,TAccount Category,Yes,71512202,KONT PENJ TDNT NDF,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP TRADING,TAccount Category,Yes,71512601,KONT PENJ TDNT SWAP TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB)  FORWARD RATE AGREEMENT TRADING,TAccount Category,Yes,71522201,KONT PENJ TDSB FRA TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) TRADING,TAccount Category,Yes,71522601,KONT PENJ TDSB INTEREST RATE SWAP TRA,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
SDBL INTERBANK CALL MONEY,TAccount Category,Yes,72511201,SDBL INTERBANK CALL MONEY,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT TRADING - KONTRA,TAccount Category,Yes,81512101,KONT PEMB TDNT SPOT TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING - KONTRA,TAccount Category,Yes,81512201,KONT PEMB TDNT FORWARD TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING NON-DELIVERABLE KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT),TAccount Category,Yes,81512202,KONT PEMB TDNT NDF - KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP TRADING - KONTRA,TAccount Category,Yes,81512601,KONT PEMB TDNT SWAP TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) TRADING - KONTRA,TAccount Category,Yes,81522201,KONT PEMB TDSB FORWARD RATE AGREMENT,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) TRADING -  KONTRA,TAccount Category,Yes,81522601,KONT PEMB TDSB INTEREST RATE SWAP,TAccount,Off Balance Sheet,Contra Asset,
PENEMPATAN PADA BANK LAIN (PPBL) INTERBANK CALL MONEY - KONTRA,TAccount Category,Yes,86012801,PPBL INTERBANK CALL MONEY KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT TRADING - KONTRA,TAccount Category,Yes,91512101,KONT PENJ TDNT SPOT TRADING KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING - KONTRA,TAccount Category,Yes,91512201,KONT PENJ TDNT FORWARD TRADING KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD TRADING NON-DELIVERABLE - KONTRA,TAccount Category,Yes,91512202,KONT PENJ TDNT NDF - KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP TRADING - KONTRA,TAccount Category,Yes,91512601,KONT PENJ TDNT SWAP TRADING KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB)  FORWARD RATE AGREEMENT TRADING - KONTRA,TAccount Category,Yes,91522201,KONT PENJ TDSB FRA TRA KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) TRADING - KONTRA,TAccount Category,Yes,91522601,KONT PENJ TDSB IRS TRADING KONT,TAccount,Off Balance Sheet,Contra Liability,
SDBL INTERBANK CALL MONEY - KONTRA,TAccount Category,Yes,92511201,SDBL INTERBANK CALL MONEY KONTRA,TAccount,Off Balance Sheet,Contra Liability,
P/L DUMMY,TAccount Category,Yes,P/L DUMMY,P/L DUMMY,TAccount,Balance Sheet,Asset,
PENDAPATAN BUNGA PENEMPATAN PADA BANK INDONESIA SERTIFIKAT BANK INDONESIA (SBI) INTERVENSI,TAccount Category,Yes,41021103,PEND BNG PPBI SBI INTERVENSI,TAccount,Revenue Sheet,Revenue,
ASET KS-REVERSE REPO,TAccount Category,Yes,19611216,ASET KS-REVERSE REPO,TAccount,Balance Sheet,Asset,
BEBAN BUNGA LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR UANG (SBPU) - PROMES/AKSEPTASI - DISKONTO,TAccount Category,Yes,51031201,BBN BNG LIA EFEK2 REPO SBPU PRM/AKS-DISK,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR UANG (SBPU) - PROMES/AKSEPTASI - NON DISKONTO,TAccount Category,Yes,51031202,BBN BNG LIA EFEK2 REPO SBPU PRM/AKS-NDIS,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA SERTIFIKAT BANK INDONESIA (SBI) REPO,TAccount Category,Yes,51031101,BEBAN BUNGA SBI REPO,TAccount,Revenue Sheet,Expense,
BNO KS - REPO,TAccount Category,Yes,59011418,BNO KS - REPO,TAccount,Revenue Sheet,Expense,
LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR UANG (SBPU) -  PROMES/AKSEPTASI - NON DISKONTO,TAccount Category,Yes,22511104,LIAB EFEK2 REPO SBPU PROMES/AKSEP NDISK,TAccount,Balance Sheet,Liability,
LIABILITAS EFEK-EFEK REPO SURAT BERHARGA PASAR UANG (SBPU) - PROMES/AKSEPTASI - DISKONTO,TAccount Category,Yes,22511103,LIAB EFEK2 REPO SBPU PROMES/AKSEP DISK,TAccount,Balance Sheet,Liability,
LIABILITAS KS - REPO,TAccount Category,Yes,29611216,LIABILITAS KS - REPO,TAccount,Balance Sheet,Liability,
PENDAPATAN BUNGA EFEK-EFEK  REVERSE REPO SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,41041101,PEND BNG EFEK2 REV.REPO SBI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK  REVERSE REPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,41041102,PEND BNG EFEK2 REV.REPO SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK REVERSE REPO - OBLIGASI,TAccount Category,Yes,16531102,PYMAD BUNGA EFEK2 REVERSE REPO OBLIGASI,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK REVERSE REPO - SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,16531101,PYMAD BUNGA EFEK-EFEK REVERSE REPO SBI,TAccount,Balance Sheet,Asset,
PNO PENDAPATAN BUNGA KANTOR SENDIRI (KS) - REVERSE REPO,TAccount Category,Yes,49011418,PNO PENDAPATAN BUNGA KANTOR SENDIRI (KS) - REVERSE REPO,TAccount,Revenue Sheet,Revenue,
TAGIHAN EFEK-EFEK REVERSE REPO SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI,TAccount Category,Yes,13511102,TAG EFEK2 REV. REPO SBPM OBLIGASI,TAccount,Balance Sheet,Asset,
TAGIHAN EFEK-EFEK REVERSE REPO SURAT BERHARGA PASAR UANG (SBPU),TAccount Category,Yes,13511101,TAG EFEK2 REV REPO SBI,TAccount,Balance Sheet,Asset,
LIABILITAS EFEK-EFEK REPO SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,22511101,LIAB EFEK2 REPO SBI,TAccount,Balance Sheet,Liability,
PYMAD BNG PPBL SBI (INTERVENSI),TAccount Category,Yes,16511103,PYMAD BNG PPBL SBI (INTERVENSI),TAccount,Balance Sheet,Asset,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) -  REKSADANA,TAccount Category,Yes,45013201,PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) -  REKSADANA,TAccount,Revenue Sheet,Revenue,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount Category,Yes,13032301,EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount Category,Yes,13012301,EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount,Balance Sheet,Asset,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount Category,Yes,45012301,PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount,Revenue Sheet,Revenue,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) - SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,16528801,PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) - SURAT BERH,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) - LAINNYA DISKONTO,TAccount Category,Yes,13022301,EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) - LAINNYA DISKONTO,TAccount,Balance Sheet,Asset,
PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) - SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,16525801,PENDAPATAN YANG MASIH AKAN DITERIMA (PYMAD) BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR UANG (SBPU) - SURA,TAccount,Balance Sheet,Asset,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO  SURAT BERHARGA PASAR UANG (SBPU) LAINNYA -  DISKONTO,TAccount Category,Yes,41032204,PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO  SURAT BERHARGA PASAR UANG (SBPU) LAINNYA -  DISKONTO,TAccount,Revenue Sheet,Revenue,
KAS UTAMA,TAccount Category,Yes,11011101,KAS UTAMA,TAccount,Balance Sheet,Asset,
PENYISIHAN PENGHAPUSAN AKTIVA PRODUKTIF (PPAP) GIRO PADA BANK LAIN (GPBL) UMUM PENAMBAHAN/PENGURANGAN,TAccount Category,Yes,12091102,PPAP-CKPN GPBL UMUM PNAMBAHAN/PNGURANGAN,TAccount,Balance Sheet,Asset,
AGIO/DISAGIO SURAT BERHARGA YANG DITERBITKAN SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,24014101,AGIO/DISAGIO SB YG DITERBITKAN SBPM OBL,TAccount,Balance Sheet,Liability,
ASET LAIN-LAIN (ALL) AKUN INTERSYSTEM SUSPEND OPICS - DOMESTIC INTERNATIONAL PAYMENT (DIP),TAccount Category,Yes,19511649,ALL AKUN INTERSYSTEM SUSPEND OPICS-DIP,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) AKUN INTERSYSTEM SUSPEND OPICS - TRADE SERVICES OPERATION (TSO),TAccount Category,Yes,19511650,ALL AKUN INTERSYSTEM SUSPEND OPICS-TSO,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) AKUN SUSPEND INTERNAL SUSPENSE OPICS,TAccount Category,Yes,19511646,ALL AKUN SUSP INTERNAL SUSPENSE OPICS,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) AKUN SUSPEND PERANTARA IBT,TAccount Category,Yes,19511607,ALL AKUN SUSPEND PERANTARA IBT,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL)  BEBAN DITANGGUHKAN LAINNYA PRODUK DEPOSITO,TAccount Category,Yes,19511114,ALL BEBAN DITANG LAINNYA PRODUK DEPOSITO,TAccount,Balance Sheet,Asset,
ASET LAIN-LAIN (ALL) UANG MUKA PAJAK PPH PASAL 23,TAccount Category,Yes,19511303,ALL UANG MUKA PAJAK PPH PASAL 23,TAccount,Balance Sheet,Asset,
ASET KANTOR SENDIRI,TAccount Category,Yes,19611106,ASET KANTOR SENDIRI,TAccount,Balance Sheet,Asset,
ASET KANTOR SENDIRI (KS) - NOSTRO,TAccount Category,Yes,19611201,ASET KS-NOSTRO KS,TAccount,Balance Sheet,Asset,
ASET PRODUKTIF HAPUS BUKU YANG DIPULIHKAN/BERHASIL DITAGIH SURAT BERHARGA - KONTRA,TAccount Category,Yes,85612101,ASET PHB DIPULIHKAN/BRHSL DTGH SB KONT,TAccount,Off Balance Sheet,Contra Asset,
ASET PRODUKTIF HAPUS BUKU YANG DIPULIHKAN/BERHASIL DITAGIH SURAT BERHARGA,TAccount Category,Yes,65612101,ASET PROD HB DIPULIHKAN/BRHSL TAGIH SB,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
ASET PRODUKTIF HAPUS BUKU PENYERTAAN,TAccount Category,Yes,65541001,ASET PROD HB PENYERTAAN,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
ASET PRODUKTIF HAPUS BUKU SURAT BERHARGA,TAccount Category,Yes,65512701,ASET PROD HB SURAT BERHARGA,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
ASET PRODUKTIF HAPUS BUKU SURAT BERHARGA - KONTRA,TAccount Category,Yes,85512701,ASET PROD HB SURAT BERHARGA KONTRA,TAccount,Off Balance Sheet,Contra Asset,
ASET PRODUKTIF HAPUS BUKU PENYERTAAN - KONTRA,TAccount Category,Yes,85541001,ASET PROD HPS BK PENYERTAAN KONTRA,TAccount,Off Balance Sheet,Contra Asset,
BEBAN PPAP/CKPN PENEMPATAN PADA BANK LAIN,TAccount Category,Yes,55011301,BBN PPAP/CKPN PENEMPATAN PADA BANK LAIN,TAccount,Revenue Sheet,Expense,
BUNGA DITERIMA DIMUKA (BDD) EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SERTIFIKAT BANK INDONESIA (SBI) -DISKONTO,TAccount Category,Yes,13051101,BDD EFEK2 DHGJT SBI (DISKONTO),TAccount,Balance Sheet,Asset,
BUNGA DITERIMA DIMUKA (BDD) EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI,TAccount Category,Yes,13053101,BDD EFEK2 DHGJT SBPM OBLIGASI,TAccount,Balance Sheet,Asset,
BUNGA DITERIMA DIMUKA (BDD) EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO  SURAT BERHARGA PASAR UANG (SBPU) LAINNYA - DISKONTO,TAccount Category,Yes,13052201,BDD EFEK2 DHGJT SBPU (DISKONTO),TAccount,Balance Sheet,Asset,
BIAYA DIBAYAR DI MUKA (BDD) TRANSAKSI FOREX DAN DERIVATIF,TAccount Category,Yes,17011401,BDD TRANSAKSI FOREX DAN DERIVATIVE,TAccount,Balance Sheet,Asset,
BEBAN ALAT TULIS KANTOR,TAccount Category,Yes,53011208,BEBAN ALAT TULIS KANTOR,TAccount,Revenue Sheet,Expense,
BEBAN BARANG PIHAK KETIGA,TAccount Category,Yes,53011207,BEBAN BARANG PIHAK KETIGA,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA DEPOSITO,TAccount Category,Yes,51011301,BEBAN BUNGA DEPOSITO,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA GIRO,TAccount Category,Yes,51011101,BEBAN BUNGA GIRO,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA PINJAMAN DITERIMA FASILITAS BI,TAccount Category,Yes,51051601,BEBAN BUNGA PINJ DTRM FASILITAS BI,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA PINJAMAN SUBORDINASI,TAccount Category,Yes,51061101,BEBAN BUNGA PINJAMAN SUBORDINASI,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA SWAP,TAccount Category,Yes,51099004,BEBAN BUNGA PREMI SWAP,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA SURAT BERHARGA PASAR UANG (SBPU) - MEDIUM TERM NOTES (MTN),TAccount Category,Yes,51041101,BEBAN BUNGA SBPU MTN,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA SURAT BERHARGA PRODUK TREASURY,TAccount Category,Yes,51042301,BEBAN BUNGA SURAT BERHARGA PRD TREASURY,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA TRANSAKSI DERIVATIF FORWARD RATE AGREEMENT (FRA),TAccount Category,Yes,51099005,BEBAN BUNGA TRANSAKSI DERIVATIF FRA,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA TRANSAKSI DERIVATIF - INTEREST RATE SWAP (IRS),TAccount Category,Yes,51099003,BEBAN BUNGA TRN DERIVATIF-IRS,TAccount,Revenue Sheet,Expense,
BEBAN BUNGA TRANSAKSI TREASURY,TAccount Category,Yes,51099002,BEBAN BUNGA TRN TREASURY,TAccount,Revenue Sheet,Expense,
BEBAN HUMAS PENGEMBANGAN USAHA,TAccount Category,Yes,53011601,BEBAN HUMAS PENGEMBANGAN USAHA,TAccount,Revenue Sheet,Expense,
BEBAN JASA GIRO TRUST,TAccount Category,Yes,51099010,BEBAN JASA GIRO TRUST,TAccount,Revenue Sheet,Expense,
BEBAN JASA PROFESIONAL,TAccount Category,Yes,53013111,BEBAN JASA PROFESIONAL,TAccount,Revenue Sheet,Expense,
BEBAN KOMUNIKASI DATA,TAccount Category,Yes,53011103,BEBAN KOMUNIKASI DATA,TAccount,Revenue Sheet,Expense,
BEBAN MATERAI,TAccount Category,Yes,53011206,BEBAN MATERAI,TAccount,Revenue Sheet,Expense,
BEBAN PAJAK SELAIN PAJAK PENGHASILAN,TAccount Category,Yes,53011701,BEBAN PAJAK SELAIN PAJAK PENGHASILAN,TAccount,Revenue Sheet,Expense,
BEBAN PENYISIHAN KERUGIAN ASET LAIN-LAIN,TAccount Category,Yes,55011601,BEBAN PENYISIHAN KERUGIAN ASET,TAccount,Revenue Sheet,Expense,
BEBAN PPAP/CKPN SURAT BERHARGA,TAccount Category,Yes,55011201,BEBAN PPAP/CKPN SURAT BERHARGA,TAccount,Revenue Sheet,Expense,
BEBAN PPAP/CKPN  TAGIHAN TRANSAKSI DERIVATIF,TAccount Category,Yes,55011501,BEBAN PPAP/CKPN TAG TRANSAKSI DERIVATIF,TAccount,Revenue Sheet,Expense,
BEBAN PPh FINAL - SPN,TAccount Category,Yes,53011705,BEBAN PPh FINAL - SPN,TAccount,Revenue Sheet,Expense,
BEBAN PROVISI & KOMISI LAINNYA,TAccount Category,Yes,52021101,BEBAN PROV&KOM LAINNYA,TAccount,Revenue Sheet,Expense,
BEBAN PROVISI & KOMISI TRANSAKSI TREASURY,TAccount Category,Yes,52021102,BEBAN PROV&KOM TRN TREASURY,TAccount,Revenue Sheet,Expense,
BEBAN TELPON DAN FAX,TAccount Category,Yes,53011101,BEBAN TELPON DAN FAX,TAccount,Revenue Sheet,Expense,
BEBAN NON OPERASIONAL (BNO) BUNGA KANTOR SENDIRI (KS),TAccount Category,Yes,59011508,BNO BUNGA KANTOR SENDIRI,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) BROKER,TAccount Category,Yes,58011320,BOL BROKER,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) CUSTODIAN,TAccount Category,Yes,58011304,BOL CUSTODIAN,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) DENDA/SANKSI,TAccount Category,Yes,59011301,BOL DENDA/SANKSI,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) KERUGIAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,TAccount Category,Yes,58011401,BOL KERUGIAN TRN DER NILAI WAJAR KURS,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) LAINNYA,TAccount Category,Yes,58011399,BOL LAINNYA,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) MANAGEMENT FEE,TAccount Category,Yes,58011312,BOL MANAGEMENT FEE,TAccount,Revenue Sheet,Expense,
BOL OPTION PREMI,TAccount Category,Yes,58011306,BOL OPTION PREMI,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) PICK UP KAS,TAccount Category,Yes,58011321,BOL PICK UP KAS,TAccount,Revenue Sheet,Expense,
BEBAN OPERASIONAL LAINNYA (BOL) RUGI KURS FOREIGN EXCHANGE (FX) DEVISA UMUM (DU),TAccount Category,Yes,58011302,BOL RUGI KURS FX DU,TAccount,Revenue Sheet,Expense,
BOL TRANSAKSI DERIVATIF,TAccount Category,Yes,58011342,BOL TRANSAKSI DERIVATIF,TAccount,Revenue Sheet,Expense,
BY PREMI DD TRN DER TDNT DIGITAL OPTION TRADING,TAccount Category,Yes,17072701,BY PREMI DD TRN DER TDNT DGTL OPT TRDNG,TAccount,Balance Sheet,Asset,
BIAYA PREMI DIBAYAR DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - OPTION PURCHASED TRADING,TAccount Category,Yes,17072301,BY PREMI DD TRN DER TDNT OPT PURCH TRD,TAccount,Balance Sheet,Asset,
BY PREMI DD TRN DER TDSB DIGITAL OPTION TRADING,TAccount Category,Yes,17076701,BY PREMI DD TRN DER TDSB DGTL OPT TRDNG,TAccount,Balance Sheet,Asset,
BIAYA PREMI DIBAYAR DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) -   FORWARD RATE AGREEMENT (FRA) HEDGING,TAccount Category,Yes,17075201,BY PREMI DD TRN DER TDSB FRA HEDGING,TAccount,Balance Sheet,Asset,
BIAYA PREMI DIBAYAR DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) -  FORWARD RATE AGREEMENT (FRA) TRADING,TAccount Category,Yes,17076201,BY PREMI DD TRN DER TDSB FRA TRADING,TAccount,Balance Sheet,Asset,
CADANGAN KERUGIAN PENURUNAN NILAI (CKPN) EFEK-EFEK INDIVIDUAL,TAccount Category,Yes,13091210,CKPN EFEK-EFEK INDIVIDUAL,TAccount,Balance Sheet,Asset,
CONVERTIBLE BOND/NOTES,TAccount Category,Yes,13034004,CONVERTIBLE BOND,TAccount,Balance Sheet,Asset,
DEPOSITO BANK LAIN,TAccount Category,Yes,22013101,DEPOSITO BANK LAIN,TAccount,Balance Sheet,Liability,
DISKONTO SURAT BERHARGA YANG DITERBITKAN SURAT BERHARGA PASAR UANG (SBPU) - NEGOTIABLE CERTIFICATES OF DEPOSIT,TAccount Category,Yes,24013301,DISKONTO SB YG DITERBITKAN SBPU NCD,TAccount,Balance Sheet,Liability,
EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) SAHAM,TAccount Category,Yes,13033301,EFEK2  TSD  U/DJL  SBPM SAHAM,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO PRODUK TREASURY,TAccount Category,Yes,13023401,EFEK2 DHGJT PRODUK TREASURY,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) SAHAM,TAccount Category,Yes,13023301,EFEK2 DHGJT SBPM SAHAM,TAccount,Balance Sheet,Asset,
