TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SG_ACU,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury_SG_ACU|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury_SG_ACU,Placement,DepoLoan_MF_Value Date Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Value Date Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_SG_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual,Treasury_SG_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual,
Treasury_SG_ACU,Placement,DepoLoan_TD_Daily Interest Accrual,Treasury_SG_ACU|Placement|DepoLoan_TD_Daily Interest Accrual,
Treasury_SG_ACU,Repo,Repo_MF_Value Date Principal,Treasury_SG_ACU|Repo|Repo_MF_Value Date Principal,
Treasury_SG_ACU,Repo,Repo_MF_Maturity Date Principal,Treasury_SG_ACU|Repo|Repo_MF_Maturity Date Principal,
Treasury_SG_ACU,Repo,Repo_MF_Pay Date Interest PL,Treasury_SG_ACU|Repo|Repo_MF_Pay Date Interest PL,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Maturity Date Principal,Treasury_SG_ACU|Reverse Repo|Repo_MF_Maturity Date Principal,
Treasury_SG_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual,Treasury_SG_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual,
Treasury_SG_ACU,Repo,Repo_TD_Daily Interest Accrual,Treasury_SG_ACU|Repo|Repo_TD_Daily Interest Accrual,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL,Treasury_SG_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Value Date Principal,Treasury_SG_ACU|Reverse Repo|Repo_MF_Value Date Principal,
Treasury_SG_ACU,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury_SG_ACU|Bond Forward|Bond Forward_TD_Daily MtM Contract,
Treasury_SG_ACU,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury_SG_ACU|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury_SG_ACU,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury_SG_ACU|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury_SG_ACU,Cash_Payment Autoinvest,CP_Interest income,Treasury_SG_ACU|Cash_Payment Autoinvest|CP_Interest income,
Treasury_SG_ACU,Settlement,Value Day (Real-Time),Treasury_SG_ACU|Settlement|Value Day (Real-Time),
Treasury_SG_ACU,Placement,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Placement,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SG_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SG_ACU,Settlement,Value Day (EOD),Treasury_SG_ACU|Settlement|Value Day (EOD),
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SG_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Placement,PSAK_MF_Pay Date Attributable Fee,Treasury_SG_ACU|Placement|PSAK_MF_Pay Date Attributable Fee,
Treasury_SG_ACU,FX Forward,FX_MF_Trade Date OffBalance Principal,Treasury_SG_ACU|FX Forward|FX_MF_Trade Date OffBalance Principal,
Treasury_SG_ACU,FX Forward,FX_MF_Value Date OffBalance Principal,Treasury_SG_ACU|FX Forward|FX_MF_Value Date OffBalance Principal,
Treasury_SG_ACU,FX Forward,FX_MF_Value Date Principal,Treasury_SG_ACU|FX Forward|FX_MF_Value Date Principal,
Treasury_SG_ACU,FX Forward,FX_TD_Daily Mark-to-Market,Treasury_SG_ACU|FX Forward|FX_TD_Daily Mark-to-Market,
Treasury_SG_ACU,FX Swap,FX_MF_Trade Date OffBalance Principal,Treasury_SG_ACU|FX Swap|FX_MF_Trade Date OffBalance Principal,
Treasury_SG_ACU,FX Swap,FX_MF_Value Date OffBalance Principal,Treasury_SG_ACU|FX Swap|FX_MF_Value Date OffBalance Principal,
Treasury_SG_ACU,FX Swap,FX_MF_Value Date Principal,Treasury_SG_ACU|FX Swap|FX_MF_Value Date Principal,
Treasury_SG_ACU,FX Swap,FX_TD_Daily Mark-to-Market,Treasury_SG_ACU|FX Swap|FX_TD_Daily Mark-to-Market,
Treasury_SG_ACU,Placement,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Placement,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_SG_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_SG_ACU,Borrowing,PSAK_MF_Pay Date Attributable Fee,Treasury_SG_ACU|Borrowing|PSAK_MF_Pay Date Attributable Fee,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_SG_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_SG_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,FX NDF,FX_MF_Settle Date Payout_FCY (NI),Treasury_SG_ACU|FX NDF|FX_MF_Settle Date Payout_FCY (NI),
Treasury_SG_ACU,FX NDF,FX_MF_Settle Date Payout_FCY_ACCY,Treasury_SG_ACU|FX NDF|FX_MF_Settle Date Payout_FCY_ACCY,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Trade Date Principal,Treasury_SG_ACU|Reverse Repo|Repo_MF_Trade Date Principal,
Treasury_SG_ACU,Borrowing,PSAK_MF_Pay Date WIthholding Tax,Treasury_SG_ACU|Borrowing|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Treasury_SG_ACU|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),
Treasury_SG_ACU,Placement(Discounted),DepoLoan Discounted_MF_Maturity Pay Date,Treasury_SG_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Pay Date,
Treasury_SG_ACU,Repo,Repo_MF_Trade Date Principal,Treasury_SG_ACU|Repo|Repo_MF_Trade Date Principal,
Treasury_SG_ACU,Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SG_ACU|Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SG_ACU,Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_SG_ACU|Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_SG_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SG_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SG_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_SG_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_SG_ACU,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury_SG_ACU|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury_SG_ACU,Placement(Discounted),PSAK_MF_Pay Date Attributable Fee,Treasury_SG_ACU|Placement(Discounted)|PSAK_MF_Pay Date Attributable Fee,
Treasury_SG_ACU,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury_SG_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury_SG_ACU,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury_SG_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury_SG_ACU|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SG_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_SG_ACU|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SG_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization,Treasury_SG_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization,
Treasury_SG_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Treasury_SG_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),
Treasury_SG_ACU,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax,Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_SG_ACU,Borrowing,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_SG_ACU|Borrowing|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury_SG_ACU|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury_SG_ACU|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date WIthholding Tax,Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SG_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SG_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_SG_ACU|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date Attributable Fee,Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date Attributable Fee,
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL,Treasury_SG_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Premium/Discount FVTPL Maturity Date,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Premium/Discount FVTPL Maturity Date,
Treasury_SG_ACU,Placement,DepoLoan_MF_Trade Date Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Trade Date Principal,
Treasury_SG_ACU,Bond Amortised Cost,Bond OCI/AC_TD_Trade Date Buy,Treasury_SG_ACU|Bond Amortised Cost|Bond OCI/AC_TD_Trade Date Buy,
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Attributable Fee,Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Attributable Fee,
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date WIthholding Tax,Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Value Date Settlement,Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Value Date Settlement,
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SG_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SG_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_SG_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SG_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_SG_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SG_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL,Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL,
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL,Treasury_SG_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Trade Date Principal,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Trade Date Principal,
Treasury_SG_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL,Treasury_SG_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL,
Treasury_SG_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SG_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SG_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SG_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SG_ACU,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury_SG_ACU|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury_SG_ACU,Bond Issuance,Bond_MF_Pay Date Interest,Treasury_SG_ACU|Bond Issuance|Bond_MF_Pay Date Interest,
Treasury_SG_ACU,Bond Issuance,Bond_MF_Value Date Settlement,Treasury_SG_ACU|Bond Issuance|Bond_MF_Value Date Settlement,
Treasury_SG_ACU,Bond Issuance,Bond_TD_Daily Interest Accrual,Treasury_SG_ACU|Bond Issuance|Bond_TD_Daily Interest Accrual,
Treasury_SG_ACU,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SG_ACU|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SG_ACU,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SG_ACU|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SG_ACU,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization,Treasury_SG_ACU|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization,
