VOLATILITY,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/6.50,0.0210760848933,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/7.00,0.02213507959,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/7.50,0.0231789990559,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/8.00,0.024208838847,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/8.50,0.0252256471721,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/9.00,0.026230321893,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/2Y/9.50,0.0272235748796,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/-0.25,0.00816939487673,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/-0.50,0.0083649822086,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/-2.00,0.0100160738902,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/0.00,0.00802507280816,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/0.25,0.00795199750836,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/0.50,0.00796490125901,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/0.75,0.00807725200624,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/1.00,0.00828864206919,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/1.25,0.00858644364489,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/1.50,0.00895313770984,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/2.00,0.00981765739186,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/2.50,0.0107698258462,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/3.00,0.0117521827447,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/3.50,0.0127380018222,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/4.00,0.0137162885287,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/4.50,0.0146817231598,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/5.00,0.0156328644775,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/5.50,0.0165693873871,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/6.00,0.0174914833681,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/6.50,0.0183997940126,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/7.00,0.0192955524738,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/7.50,0.0201789851192,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/8.00,0.0210509858671,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/8.50,0.0219120586507,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/9.00,0.0227630054,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/3Y/9.50,0.0236054283331,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/-0.25,0.00823160942975,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/-0.50,0.00839153644053,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/-2.00,0.0098255492368,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/0.00,0.00812076839724,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/0.25,0.00807104470287,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/0.50,0.0080954995487,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/0.75,0.00820323019633,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/1.00,0.00839084005811,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/1.25,0.00865358351335,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/1.50,0.00897642245605,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/2.00,0.00974728248245,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/2.50,0.0106077829816,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/3.00,0.0115050551048,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/3.50,0.0124126477663,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/4.00,0.0133193030122,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/4.50,0.0142169140959,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/5.00,0.0151030689137,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/5.50,0.0159774678035,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/6.00,0.0168395197348,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/6.50,0.0176895150978,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/7.00,0.018527620161,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/7.50,0.0193561668865,,
,,,,,,,,,,,,,,,,,,,,,,USD/CAP/SOFR/NORM-VOL/4Y/8.00,0.0201736927579,,
