CHOICELIST,,,/CHOICELIST
LBUT_GOL PIHAKLAWAN,BUM Desa-Perusahaan Penunjang Fin. ,S126013L,
LBUT_GOL PIHAKLAWAN,Otoritas Jasa Keuangan (OJK),S126014L,
LBUT_GOL PIHAKLAWAN,Penyelenggara Teknologi Finansial,S1260202L,
LBUT_GOL PIHAKLAWAN,Penerbit Uang Elektronik,S1260203L,
LBUT_GOL PIHAKLAWAN,SN-Lainnya-Penunjang Keuangan,S1260299L,
LBUT_GOL PIHAKLAWAN,SPA - Penunjang Keuangan ,S1260302L,
LBUT_GOL PIHAKLAWAN,SPA - Penyelenggara Teknologi Finansial,S1260303L,
LBUT_GOL PIHAKLAWAN,SPA - Penerbit Uang Elektronik,S1260399L,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan Asuransi,S128011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan Asuransi,S128012L,
LBUT_GOL PIHAKLAWAN,BUM Desa - Perusahaan Asuransi,S128013L,
LBUT_GOL PIHAKLAWAN,Lembaga Penjamin Simpanan (LPS),S128014L,
LBUT_GOL PIHAKLAWAN,SN - Asuransi,S12802,
LBUT_GOL PIHAKLAWAN,SPA Asuransi,S12803,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan Dana Pensiun,S129011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan Dana Pensiun,S129012L,
LBUT_GOL PIHAKLAWAN,BUM Desa - Perusahaan Dana Pensiun,S129013L,
LBUT_GOL PIHAKLAWAN,SN - Dana Pensiun,S12902,
LBUT_GOL PIHAKLAWAN,SPA Dana Pensiun,S12903,
LBUT_GOL PIHAKLAWAN,Kantor Pelayanan Perbendaharaan Negara,S131101L,
LBUT_GOL PIHAKLAWAN,Kementerian Keuangan,S131102L,
LBUT_GOL PIHAKLAWAN,Kementerian Pertahanan,S131103L,
LBUT_GOL PIHAKLAWAN,Kementerian Lingk. Hidup dan Kehutanan,S131104L,
LBUT_GOL PIHAKLAWAN,Kementerian Pertanian,S131105L,
LBUT_GOL PIHAKLAWAN,Kementerian Energi & SD. Mineral,S131106L,
LBUT_GOL PIHAKLAWAN,Kementerian Agama,S131107L,
LBUT_GOL PIHAKLAWAN,Kementerian BUMN,S131108L,
LBUT_GOL PIHAKLAWAN,"Kementerian Bud.,Dik Dasar, & Menengah",S131109L,
LBUT_GOL PIHAKLAWAN,Kementerian Pekerjaan Um&Perumahan Rkyt,S131110L,
LBUT_GOL PIHAKLAWAN,Kementerian Kesehatan,S131111L,
LBUT_GOL PIHAKLAWAN,Kementerian Perhubungan,S131112L,
LBUT_GOL PIHAKLAWAN,Badan dan Lembaga Pemerintah,S131197L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Kesehatan,S1311981L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Pendidikan,S1311982L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Lainnya,S1311989L,
LBUT_GOL PIHAKLAWAN,Kementerian Lainnya,S131199L,
LBUT_GOL PIHAKLAWAN,Pemerintah Provinsi,S131301L,
LBUT_GOL PIHAKLAWAN,Pemerintah Kota,S131302L,
LBUT_GOL PIHAKLAWAN,Pemerintah Kabupaten,S131303L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Daerah Provinsi,S1313981L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Daerah Kota/Kab.,S1313982L,
LBUT_GOL PIHAKLAWAN,Perorangan - Penduduk ,S14,
LBUT_GOL PIHAKLAWAN,SN - BAZIS,S1500201L,
LBUT_GOL PIHAKLAWAN,SN - Lembaga Pendidikan ,S1500202L,
LBUT_GOL PIHAKLAWAN,SN - Lembaga Wakaf ,S1500203L,
LBUT_GOL PIHAKLAWAN,SN -Lainnya-Lmbg. NonProfit Rmh Tngga,S1500299L,
LBUT_GOL PIHAKLAWAN,SPA - BAZIS,S1500301L,
LBUT_GOL PIHAKLAWAN,SPA - Lembaga Pendidikan ,S1500302L,
LBUT_GOL PIHAKLAWAN,SPA - Lembaga Wakaf ,S1500303L,
LBUT_GOL PIHAKLAWAN,SPA -Lainnya-Lmbg. NonProfit Rmh Tngga,S1500399L,
LBUT_GOL PIHAKLAWAN,Lainnya,S199L,
LBUT_GOL PIHAKLAWAN,BUMN Milik Negara Asing,S21AL,
LBUT_GOL PIHAKLAWAN,Swasta Patungan Indo. & Negara Asing,S21BL,
LBUT_GOL PIHAKLAWAN,Bank Sentral Negara Lain,S221L,
LBUT_GOL PIHAKLAWAN,Terkait Dengan Bank - Prime Bank,S222B11L,
LBUT_GOL PIHAKLAWAN,Tidak Terkait Dengan Bank - Prime Bank,S222B12L,
LBUT_GOL PIHAKLAWAN,Terkait Dengan Bank  - Non Prime Bank,S222B21L,
LBUT_GOL PIHAKLAWAN,Tidak Terkait dgn Bank-Non Prime Bank,S222B22L,
LBUT_GOL PIHAKLAWAN,Bank Negara Lain,S222L,
LBUT_GOL PIHAKLAWAN,Lembaga Keu. NonBank Berops diLuar Indo,S225AL,
LBUT_GOL PIHAKLAWAN,Lembaga Keu. nonBank Milik Ngr Asing,S225BL,
LBUT_GOL PIHAKLAWAN,Swasta Milik Indonesia,S22CL,
LBUT_GOL PIHAKLAWAN,Lainnya - Perusahaan Non Finansial,S22XL,
LBUT_GOL PIHAKLAWAN,Pemerintah Pusat,S23AL,
LBUT_GOL PIHAKLAWAN,Pemerintah Daerah,S23BL,
LBUT_GOL PIHAKLAWAN,Perwakilan Negara Asing dan Stafnya,S24AL,
LBUT_GOL PIHAKLAWAN,Perorangan  - Bukan Penduduk,S24BL,
LBUT_GOL PIHAKLAWAN,Bukan Penduduk  - Lainnya,S299L,
LBUT_GOL PIHAKLAWAN,Islamic Development Bank (IDB),S2LA01L,
LBUT_GOL PIHAKLAWAN,Asian Development Bank (ADB),S2LA02L,
LBUT_GOL PIHAKLAWAN,World Bank Group (WBG),S2LA03L,
LBUT_GOL PIHAKLAWAN,African Development Bank Group (AfDB),S2LA04L,
LBUT_GOL PIHAKLAWAN,European Bank for Reconstr.&Dev. (EBRD),S2LA05L,
LBUT_GOL PIHAKLAWAN,Inter-American Dev. Bank Group (IADB),S2LA06L,
LBUT_GOL PIHAKLAWAN,European Investment Bank (EIB),S2LA07L,
LBUT_GOL PIHAKLAWAN,European Investment Fund (EIF),S2LA08L,
LBUT_GOL PIHAKLAWAN,Nordic Investment Bank (NIB),S2LA09L,
LBUT_GOL PIHAKLAWAN,Caribbean Development Bank (CDB),S2LA10L,
LBUT_GOL PIHAKLAWAN,Council of Europe Dev. Bank (CEDB),S2LA11L,
LBUT_GOL PIHAKLAWAN,Bank Pembangunan Multilateral Lainnya,S2LA99L,
LBUT_GOL PIHAKLAWAN,Lembaga Internasional Lainnya,S2LXL,
