CHOICELIST,,,,/CHOICELIST
EmasProdCode,91,GIRESC-USD,Giro Escrow - USD,
EmasProdCode,92,GIRIDR-CTM,GIRO CUSTOMIZED,
EmasProdCode,93,GIRIDR-FIN,Giro Rupiah Fintech,
EmasProdCode,94,GIRIDR-INV,GIRO ESCROW - IDR,
EmasProdCode,95,GIRIDR-LEN,GIRO ESCROW - IDR,
EmasProdCode,96,GIRIDR-NP,Giro NP Rupiah,
EmasProdCode,97,GIRIDR-TNP,Giro Trsry Not Pol,
EmasProdCode,98,GIRJMN-IDR,Giro Jaminan - IDR,
EmasProdCode,99,GIRJMN-USD,Giro Jaminan - USD,
EmasProdCode,100,GIRKHS-IDR,GIRO KHUSUS DHN,
EmasProdCode,101,GIRMNP-IDR,Giro NP Rupiah,
EmasProdCode,102,GIRMNP-USD,Giro NP USD,
EmasProdCode,103,GIRNPG-IDR,Giro NP Rupiah,
EmasProdCode,104,GIRNPG-USD,Giro NP USD,
EmasProdCode,105,GIRODL-IDR,Giro Overdraft IDR,
EmasProdCode,106,GIRTRU-IDR,Giro Trust IDR,
EmasProdCode,107,GIRTRU-USD,GIro Trust USD,
EmasProdCode,108,GIRUSD-NP,Giro NP USD,
EmasProdCode,109,GIRUSD-TNP,Giro Trsry Not Pol,
EmasProdCode,110,GIRV-IDR-I,GIRO VOSTRO + BUNGA,
EmasProdCode,111,GIRV-USD-I,GIRO VOSTRO + BUNGA,
EmasProdCode,112,GIRVOS-AUD,GiroVostro-valas AUD,
EmasProdCode,113,GIRVOS-EUR,GiroVostro-valas EUR,
EmasProdCode,114,GIRVOS-GBP,Giro Vostro GBP,
EmasProdCode,115,GIRVOS-IDR,Giro Vostro - IDR,
EmasProdCode,116,GIRVOS-JPY,GiroVostro-valas JPY,
EmasProdCode,117,GIRVOS-SGD,GiroVostro-valas SGD,
EmasProdCode,118,GIRVOS-USD,Girovostro valas-USD,
EmasProdCode,119,GIRZRO-AUD,Giro AUD Zero Bal,
EmasProdCode,120,GIRZRO-CHF,Giro CHF Zero Bal,
EmasProdCode,121,GIRZRO-EUR,Giro EUR Zero Bal,
EmasProdCode,122,GIRZRO-GBP,Giro GBP Zero Bal,
EmasProdCode,123,GIRZRO-IDR,Giro Rupiah zero bal,
EmasProdCode,124,GIRZRO-SGD,Giro SGD Zero Bal,
EmasProdCode,125,GIRZRO-USD,Giro USD Zero Bal,
EmasProdCode,126,GJMNBG-AUD,Giro Jaminan BG-AUD,
EmasProdCode,127,GJMNBG-CAD,Giro Jaminan BG-CAD,
EmasProdCode,128,GJMNBG-CHF,Giro Jaminan BG-CHF,
EmasProdCode,129,GJMNBG-CNY,Giro Jaminan BG-CNY,
EmasProdCode,130,GJMNBG-DKK,Giro jaminan BG-DKK,
EmasProdCode,131,GJMNBG-EUR,Giro jaminan BG-EUR,
EmasProdCode,132,GJMNBG-GBP,Giro jaminan BG-GBP,
EmasProdCode,133,GJMNBG-HKD,Giro Jaminan BG-HKD,
EmasProdCode,134,GJMNBG-IDR,Giro jaminan BG-IDR,
EmasProdCode,135,GJMNBG-JPY,Giro jaminan BG-JPY,
EmasProdCode,136,GJMNBG-NZD,Giro jaminan NZD,
EmasProdCode,137,GJMNBG-SAR,Giro Jaminan BG-SAR,
EmasProdCode,138,GJMNBG-SEK,Giro Jaminan BG-SEK,
EmasProdCode,139,GJMNBG-SGD,Giro jaminan BG-SGD,
EmasProdCode,140,GJMNBG-USD,Giro jaminan BG-USD,
EmasProdCode,141,GJMNLC-AUD,Giro Jaminan LC-AUD,
EmasProdCode,142,GJMNLC-CAD,Giro Jaminan LC-CAD,
EmasProdCode,143,GJMNLC-CHF,Giro jaminan LC-CHF,
EmasProdCode,144,GJMNLC-CNY,giro Jaminan LC-CNY,
EmasProdCode,145,GJMNLC-DKK,Giro Jaminan LC-DKK,
EmasProdCode,146,GJMNLC-EUR,Giro jaminan LC-EUR,
EmasProdCode,147,GJMNLC-GBP,Giro jaminan LC-GBP,
EmasProdCode,148,GJMNLC-HKD,Giro Jaminan LC-HKD,
EmasProdCode,149,GJMNLC-IDR,Giro jaminan LC -IDR,
EmasProdCode,150,GJMNLC-JPY,Giro jaminan LC-JPY,
EmasProdCode,151,GJMNLC-MYR,Giro jaminan LC -MYR,
EmasProdCode,152,GJMNLC-NZD,Giro Jaminan LC-NZD,
EmasProdCode,153,GJMNLC-SEK,Giro Jaminan LC-SEK,
