CHOICELIST,,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,SORT_ORDER,
MASTER,LBUT_SANDI BANK,LBUT_SANDI BANK,,
LBUT_SANDI BANK,BANK MASPION INDONESIA,157,94,
LBUT_SANDI BANK,BANK INDUSTRI,160,95,
LBUT_SANDI BANK,BANK GANESHA,161,96,
LBUT_SANDI BANK,BANK PUTERA SURYA PERKASA,163,97,
LBUT_SANDI BANK,BANK ICBC INDONESIA,164,98,
LBUT_SANDI BANK,BANK BAJA INTERNASIONAL,165,99,
LBUT_SANDI BANK,BANK QNB INDONESIA,167,100,
LBUT_SANDI BANK,BANK TABUNGAN NEGARA,200,101,
LBUT_SANDI BANK,BANK WOORI SAUDARA INDONESIA 1906,212,102,
LBUT_SANDI BANK,BANK TABUNGAN PENSIUNAN NASIONAL,213,103,
LBUT_SANDI BANK,BANK ANRICO,310,104,
LBUT_SANDI BANK,BANK DEWA RUTJI,329,105,
LBUT_SANDI BANK,BANK JAKARTA,332,106,
LBUT_SANDI BANK,BANK INTAN,367,107,
LBUT_SANDI BANK,BANK ARYA PANDUARTA,388,108,
LBUT_SANDI BANK,SOUTH EAST ASIA BANK,399,109,
LBUT_SANDI BANK,BANK VICTORIA SYARIAH,405,110,
LBUT_SANDI BANK,BANK UMUM MAJAPAHIT JAYA,413,111,
LBUT_SANDI BANK,BANK BRI SYARIAH,422,112,
LBUT_SANDI BANK,BANK JABAR BANTEN SYARIAH,425,113,
LBUT_SANDI BANK,BANK MEGA,426,114,
LBUT_SANDI BANK,BANK BNI SYARIAH,427,115,
LBUT_SANDI BANK,BANK BUKOPIN,441,116,
LBUT_SANDI BANK,BANK SYARIAH MANDIRI,451,117,
LBUT_SANDI BANK,BANK DANA ASIA,455,118,
LBUT_SANDI BANK,BANK BISNIS INTERNATIONAL,459,119,
LBUT_SANDI BANK,BANK JASA JAKARTA,472,120,
LBUT_SANDI BANK,BANK AKEN,476,121,
LBUT_SANDI BANK,BANK KEB HANA INDONESIA,484,122,
LBUT_SANDI BANK,BANK MNC INTERNASIONAL,485,123,
LBUT_SANDI BANK,BANK SINO,486,124,
LBUT_SANDI BANK,BANK YUDHA BAKTI,490,125,
LBUT_SANDI BANK,BANK MITRA NIAGA,491,126,
LBUT_SANDI BANK,BANK BRI AGRONIAGA,494,127,
LBUT_SANDI BANK,BANK SBI,498,128,
LBUT_SANDI BANK,BANK DANA HUTAMA,500,129,
LBUT_SANDI BANK,BANK ROYAL INDONESIA,501,130,
LBUT_SANDI BANK,BANK NATIONALNOBU,503,131,
LBUT_SANDI BANK,BANK HOKINDO,505,132,
LBUT_SANDI BANK,BANK MEGA SYARIAH,506,133,
LBUT_SANDI BANK,BANK ALFA,510,134,
LBUT_SANDI BANK,BANK INA PERDANA,513,135,
LBUT_SANDI BANK,BANK SEWU INTERNASIONAL,514,136,
LBUT_SANDI BANK,BANK PANIN DUBAI SYARIAH,517,137,
LBUT_SANDI BANK,BANK DWIPA SEMESTA,519,138,
LBUT_SANDI BANK,PRIMA MASTER BANK VETERAN,520,139,
LBUT_SANDI BANK,BANK SYARIAH BUKOPIN,521,140,
LBUT_SANDI BANK,BANK KREDIT ASIA (ISTIMARAT),522,141,
LBUT_SANDI BANK,BANK SAHABAT SAMPOERNA,523,142,
LBUT_SANDI BANK,BANK OKE INDONESIA,526,143,
LBUT_SANDI BANK,BANK DEKA,528,144,
LBUT_SANDI BANK,BANK AMAR INDONESIA,531,145,
LBUT_SANDI BANK,BANK KOSAGRAHA SEMESTA,534,146,
