ADDITIONALINFOSPEC,,,,,,/ADDITIONALINFOSPEC
DATA_TYPE.GRP,DATA_TYPE.TYPE,DEFAULT_VALUE,DESCRIPTION,FIELD_NAME,REC_TYPE,
RecordRef,ChoiceList,,LBUT_JENIS SB,LBUT_JENIS SB,Instrument,
RecordRef,ChoiceList,,LBUT_STATUS REGIST.,LBUT_STATUS REGIST.,Instrument,
RecordRef,ChoiceList,,LBUT_STATUS SB,LBUT_STATUS SB,Instrument,
RecordRef,ChoiceList,,LBUT_FITUR TAMBAHAN,LBUT_FITUR TAMBAHAN,Instrument,
RecordRef,ChoiceList,,LBUT_JENISPENAWARAN,LBUT_JENISPENAWARAN,Instrument,
RecordRef,ChoiceList,,LISTING,LISTING,Instrument,
