INSTRUMENT,,,,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,/LEG,LEG,,,,,,,,,,,,,,/LEG,/INSTRUMENT
SETTLE_CALNBR.CALID,PRODUCT_CHLNBR.ENTRY,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,MTM_FROM_FEED,GENERIC,INSID,OTC,PRODUCT_CHLNBR.LIST,CONTR_SIZE,CURR.INSID,SPOT_BANKING_DAYS_OFFSET,INSTYPE,ROUNDING,DECIMALS,PAY2_CALNBR.CALID,DAYCOUNT_METHOD,RESET_DAY_METHOD,ROLLING_PERIOD,CURR.INSID,END_PERIOD,PAY_DAY_METHOD,FLOAT_RATE.INSID,TYPE,NOMINAL_FACTOR,END_DATE_METHOD,FLOAT_RATE_FACTOR,START_PERIOD,RESET_CALNBR.CALID,FLOAT_RATE.EXTERN_ID1,PAY_CALNBR.CALID,INTEREST_PAYMENT_TIME,PAYLEG,RESET_TYPE,RESET_DAY_OFFSET,ROLLING_CONVENTION,,PAY_CALNBR.CALID,END_DATE_METHOD,TYPE,PAY2_CALNBR.CALID,INTEREST_PAYMENT_TIME,DAYCOUNT_METHOD,PAYLEG,START_PERIOD,ROLLING_PERIOD,END_PERIOD,CURR.INSID,PAY_DAY_METHOD,NOMINAL_FACTOR,ROLLING_CONVENTION,,
London,Swap,Business Days,Coupon,Yes,Yes,USD/IRS/LI3M-F/40Y,Yes,ValGroup,1000000,USD,0,Swap,Normal,5,London,Act/360,Mod. Following,3m,USD,40y,Mod. Following,USD/LIBOR/3M,Float,1,Relative Start,1,0y,London,US0003M,New York,In Arrears,Yes,Single,-2,EOM Cal Days,,New York,Relative Start,Fixed,London,In Arrears,30/360,No,0y,6m,40y,USD,Mod. Following,1,EOM Cal Days,,
London,Swap,Business Days,Coupon,Yes,Yes,USD/IRS/LI3M-F/50Y,Yes,ValGroup,1000000,USD,0,Swap,Normal,5,London,Act/360,Mod. Following,3m,USD,50y,Mod. Following,USD/LIBOR/3M,Float,1,Relative Start,1,0y,London,US0003M,New York,In Arrears,Yes,Single,-2,EOM Cal Days,,New York,Relative Start,Fixed,London,In Arrears,30/360,No,0y,6m,50y,USD,Mod. Following,1,EOM Cal Days,,
