INSTRUMENT,,,,,,,,,,,,,,,,INSTRUMENTALIAS,,/INSTRUMENTALIAS,LEG,,,,,,,,,,,,,,,/LEG,/INSTRUMENT
SETTLE_CALNBR.CALID,PAY_OFFSET_METHOD,MTM_FROM_FEED,QUOTATION_SEQNBR.NAME,FIXING_LAG_DATE_RULE.TYPE,PRODUCT_CHLNBR.ENTRY,GENERIC,INSID,OTC,PRODUCT_CHLNBR.LIST,FIXING_LAG_DATE_RULE.NAME,CONTR_SIZE,CURR.INSID,SPOT_BANKING_DAYS_OFFSET,EXTERN_ID1,INSTYPE,TYPE.ALIAS_TYPE_NAME,ALIAS,,PAY_CALNBR.CALID,RESET_CALNBR.CALID,END_DATE_METHOD,TYPE,PAY2_CALNBR.CALID,INTEREST_PAYMENT_TIME,DAYCOUNT_METHOD,PAYLEG,START_PERIOD,NOMINAL_AT_END,END_PERIOD,CURR.INSID,PAY_DAY_METHOD,NOMINAL_FACTOR,ROLLING_CONVENTION,,
,Business Days,Yes,Coupon,Fixing Lag,,Yes,USD/SOFR,Yes,,+2D New York,1000000,USD,2,SOFRRATE,RateIndex,BB_TICKER,SOFRRATE Index,,New York,New York,Relative Start,Fixed,,In Arrears,Act/360,No,0d,Yes,1d,USD,Following,1,None,,
New York,Business Days,Yes,Coupon,Fixing Lag,RateIndex,Yes,USD/TERMSOFR/12M,Yes,ValGroup,+2D New York,1,USD,0,TSFR12M,RateIndex,BB_TICKER,TSFR12M Index,,New York,New York,Relative Start,Fixed,New York,In Arrears,Act/360,No,0d,Yes,12m,USD,Mod. Following,1,EOM Cal Days,,
New York,Business Days,Yes,Coupon,Fixing Lag,RateIndex,Yes,USD/TERMSOFR/1M,Yes,ValGroup,+2D New York,1,USD,0,TSFR1M,RateIndex,BB_TICKER,TSFR1M Index,,New York,New York,Relative Start,Fixed,New York,In Arrears,Act/360,No,0d,Yes,1m,USD,Mod. Following,1,EOM Cal Days,,
New York,Business Days,Yes,Coupon,Fixing Lag,RateIndex,Yes,USD/TERMSOFR/3M,Yes,ValGroup,+2D New York,1,USD,0,TSFR3M,RateIndex,BB_TICKER,TSFR3M Index,,New York,New York,Relative Start,Fixed,New York,In Arrears,Act/360,No,0d,Yes,3m,USD,Mod. Following,1,EOM Cal Days,,
New York,Business Days,Yes,Coupon,Fixing Lag,RateIndex,Yes,USD/TERMSOFR/6M,Yes,ValGroup,+2D New York,1,USD,0,TSFR6M,RateIndex,BB_TICKER,TSFR6M Index,,New York,New York,Relative Start,Fixed,New York,In Arrears,Act/360,No,0d,Yes,6m,USD,Mod. Following,1,EOM Cal Days,,
