YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/60Y,0.000155711068927,,Up,End Date,,EUR/IRS/ES1D-F/60Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/3W,-0.00577364280301,,Up,End Date,,EUR/IRS/ES1D-F/3W,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/33M,-0.00449776289696,,Up,End Date,,EUR/IRS/ES1D-F/33M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/30M,-0.00467725927105,,Up,End Date,,EUR/IRS/ES1D-F/30M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/27M,-0.00487734041161,,Up,End Date,,EUR/IRS/ES1D-F/27M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/24Y,0.00211338076561,,Up,End Date,,EUR/IRS/ES1D-F/24Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/23Y,0.00216644575354,,Up,End Date,,EUR/IRS/ES1D-F/23Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/22Y,0.00220934489333,,Up,End Date,,EUR/IRS/ES1D-F/22Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/21Y,0.00221086435157,,Up,End Date,,EUR/IRS/ES1D-F/21Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/21M,-0.00524629332897,,Up,End Date,,EUR/IRS/ES1D-F/21M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/19Y,0.00214162668671,,Up,End Date,,EUR/IRS/ES1D-F/19Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/18Y,0.00206055553389,,Up,End Date,,EUR/IRS/ES1D-F/18Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/17Y,0.00193826915209,,Up,End Date,,EUR/IRS/ES1D-F/17Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/16Y,0.00176461221889,,Up,End Date,,EUR/IRS/ES1D-F/16Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/15M,-0.00560473377404,,Up,End Date,,EUR/IRS/ES1D-F/15M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/14Y,0.0012335567218,,Up,End Date,,EUR/IRS/ES1D-F/14Y,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/13Y,0.000866800079392,,Up,End Date,,EUR/IRS/ES1D-F/13Y,No,,
