CONTEXTLINK,,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,CURR.EXTERN_ID1,CURR.INSID,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,GROUP_CHLNBR.LIST,INSADDR.INSID,MAPPING_TYPE,NAME,TYPE,
Global,,EUR,,,RateIndex,ValGroup,,Val Group,EUR-CAP-B&S-DISP,Volatility,
Global,,EUR,,,,,,Instrument,EUR-SWTN-B&S-DISP,Volatility,
