VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/-1.00,0.215999483358,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/-1.25,0.228368973736,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/-1.50,0.240963550464,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/0.00,0.190322899018,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/0.25,0.184396816693,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/0.50,0.184540961316,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/1.00,0.17926572779,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/10.00,0.216274130112,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/2.00,0.177325046342,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/3.00,0.177106780964,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/5.00,0.181989554562,,
