VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/10.00,0.326980133769,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/2.00,0.232825078883,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/3.00,0.243837778879,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/5.00,0.270136853629,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/ATM,0.211288169844,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/-0.25,0.207309750454,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/-0.50,0.215288941435,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/-1.00,0.228387170756,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/-1.25,0.243747857751,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/-1.50,0.264919159589,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/0.00,0.203683104369,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/0.25,0.205169569948,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/0.50,0.201695058501,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/1.00,0.202260467333,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/10.00,0.26744824126,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/2.00,0.203404703747,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/3.00,0.213132357331,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/5.00,0.229211151536,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/8Y/ATM,0.204655616264,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/-0.25,0.202999885944,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/-0.50,0.206001682237,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/-1.00,0.224655295816,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/-1.25,0.234000024878,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/-1.50,0.249544439616,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/0.00,0.200279899387,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/0.25,0.192853799383,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/0.50,0.190216241539,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/1.00,0.189936949542,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/10.00,0.230216045934,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/2.00,0.190516924614,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/3.00,0.191424824892,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/5.00,0.199401204983,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/9Y/ATM,0.195632002196,,
