,,,,,Four Eyes Control,Application,,,
,,,,,Rounding,Application,,,
,,,,,Explorer,Application,,,
,,,,,Trading Manager,Application,,,
,,,,,Risk Matrix EQ,Application,,,
,,,,,Order Entry,Application,,,
,,,,,Calculator,Application,,,
,,,,,News Ticker,Application,,,
,,,,,Trade Ticker,Application,,,
,,,,,Order Ticker,Application,,,
,,,,,Extension Manager,Application,,,
,,,,,Agent Studio,Application,,,
,,,,,AEF Browser,Application,,,
,,,,,Valuation Viewer,Application,,,
,,,,,Manage Market Passwords,Application,,,
,,,,,Addressed Offer,Application,,,
,,,,,Compact Trade Entry,Application,,,
,,,,,Trade Report,Application,,,
,,,,,User Preferences,Application,,,
,,,,,Volatility Manager,Application,,,
,,,,,Insert Items,Application,,,
,,,,,Limit Monitor Definition,Application,,,
,,,,,Monitoring Console,Application,,,
,,,,,Administration Console,Application,,,
,,,,,Receive Message,Application,,,
,,,,,Run Query,Application,,,
,,,,,FX Cash,Application,Trading/&FX,,
,,,,,Run Script,Application,,,
,,,,,Manage Ael Task Schedule,Application,,,
,,,,,FX Option,Application,Trading/&FX,,
,,,,,NDF,Application,Trading/&FX,,
,,,,,Log Categories,Application,,,
,,,,,Monitor Client Database Cache,Application,,,
,,,,,Monitor Threads,Application,,,
,,,,,Monitor Performance,Application,,,
,,,,,Basket Repo/Reverse,Application,Trading/&IR,,
,,,,,Basket Security Loan,Application,Trading/&IR,,
,,,,,Make Replica,Application,,,
,,,,,CFD,Application,"Trading/E&quity,Trading/&FX",,
,,,,,Variance Swap,Application,Trading/E&quity,,
,,,,,Basket CDS,Application,Trading/&Credit,,
,,,,,Make Basket CDS,Application,,,
,,,,,Basket CLN,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Operations Manager,Application,,,
,,,,,Confirmation Instruction,Application,,,
,,,,,Funding Parameters,Application,,,
,,,,,Quotation Definition,Application,,,
,,,,,Prepayment Definition,Application,,,
,,,,,Call Deposit/Loan,Application,"Trading/&FX,Trading/&IR",,
,,,,,Fund,Application,,,
,,,,,Charges,Application,,,
,,,,,Fill Fees,Application,,,
,,,,,Commissions,Application,,,
,,,,,Allocation Fees,Application,,,
,,,,,Party Groups,Application,,,
,,,,,Remote Valuation Viewer,Application,,,
,,,,,Sheet File Viewer,Application,,,
,,,,,Quote Monitor,Application,,,
,,,,,Depositary Receipt,Application,Trading/E&quity,,
,,,,,Spread Table Definition,Application,,,
,,,,,FX Option Dated Forward,Application,Trading/&FX,,
,,,,,Business Data Processing,Application,,,
,,,,,Post Trade Report Entry,Application,,,
,,,,,Portfolio Swap,Application,"Trading/E&quity,Trading/&IR,Trading/&Credit",,
,,,,,ETF,Application,Trading/E&quity,,
,,,,,Transaction History,Application,,,
,,,,,Task Management,Application,,,
,,,,,Arena Extract,Application,,,
,,,,,Price Swap,Application,Trading/C&ommodity,,
,,,,,Commodity Index,Application,Trading/C&ommodity,,
,,,,,Commodity Variant,Application,Trading/C&ommodity,,
,,,,,Cash Payment,Application,Trading/&FX,,
,,,,,Accounting,Application,,,
,,,,,Collateral Agreements,Application,,,
,,,,,Allocation,Application,,,
,,,,,Algo Server Monitor,Application,,,
,,,,,Routing,Application,,,
,,,,,Certificate,Application,Trading/E&quity,,
,,,,,Send As Message...,Application,,,
,,,,,FX Rate,Application,Trading/&FX,,
,,,,,External Applications,Application,,,
,,,,,Connected Trades Viewer,Application,,,
,,,,,Volatility Swap,Application,Trading/E&quity,,
,,,,,State Chart,Application,,,
