USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
,,Yes,Yes,Yes,NettingRule,DBObject,,
,,Yes,Yes,Yes,OperationsDocument,DBObject,,
,,Yes,Yes,Yes,Party,DBObject,,
,,Yes,Yes,Yes,PartyGroup,DBObject,,
,,Yes,Yes,Yes,Person,DBObject,,
,,Yes,Yes,Yes,Portfolio,DBObject,,
,,Yes,Yes,Yes,PositionSpecification,DBObject,,
,,,,,PriceDefinition,DBObject,,
,,,,,PriceDistributor,DBObject,,
,,,,,PriceFinding,DBObject,,
,,,,,PriceLinkDefinition,DBObject,,
,,Yes,Yes,Yes,PriceSemantic,DBObject,,
,,Yes,Yes,Yes,Quotation,DBObject,,
,,Yes,Yes,Yes,RateIndex,DBObject,,
,,Yes,Yes,Yes,ReconciliationDocument,DBObject,,
,,Yes,Yes,Yes,Remote Sheet Collection,DBObject,,
,,Yes,Yes,Yes,Remote Sheet Definition,DBObject,,
,,Yes,Yes,Yes,RollbackSpec,DBObject,,
,,Yes,Yes,Yes,RoundingSpec,DBObject,,
,,Yes,Yes,Yes,RoutingInstrMapping,DBObject,,
,,Yes,Yes,Yes,RoutingInstruction,DBObject,,
,,Yes,Yes,Yes,RoutingRedirection,DBObject,,
,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,Yes,Yes,Yes,Swap,DBObject,,
,,Yes,Yes,Yes,Settlement,DBObject,,
,,Yes,Yes,Yes,SQL Query,DBObject,,
,,Yes,Yes,Yes,SQL Report,DBObject,,
,,Yes,Yes,Yes,StateChart,DBObject,,
,,Yes,Yes,Yes,StateChartMapping,DBObject,,
,,Yes,Yes,Yes,Task,DBObject,,
,,Yes,Yes,Yes,TaskGroup,DBObject,,
,,Yes,Yes,Yes,TaskHistory,DBObject,,
,,Yes,Yes,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,TieringCategory,DBObject,,
,,Yes,Yes,Yes,TieringCategoryLink,DBObject,,
,,Yes,Yes,Yes,TimeSeries,DBObject,,
,,Yes,Yes,Yes,TimeSeriesDv,DBObject,,
,,Yes,Yes,Yes,TimeSeriesDvSpec,DBObject,,
,,Yes,Yes,Yes,TimeSeriesSpec,DBObject,,
,,Yes,,Yes,Trade,DBObject,,
,,,,,Accept Settlement Updates,Operation,,
