VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,DISPLACED_BLACK_SCHOLES_SHIFT,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/4Y/30Y/ATM,0.262,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/4Y/3Y/ATM,0.214,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/4Y/4Y/ATM,0.239,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/4Y/5Y/ATM,0.27,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/4Y/6Y/ATM,0.269,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/4Y/7Y/ATM,0.268,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/4Y/8Y/ATM,0.268,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/4Y/9Y/ATM,0.268,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/5Y/10Y/ATM,0.261,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/5Y/15Y/ATM,0.249,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/5Y/1Y/ATM,0.187,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/5Y/20Y/ATM,0.247,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/5Y/25Y/ATM,0.249,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/5Y/2Y/ATM,0.192,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/5Y/30Y/ATM,0.252,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/5Y/3Y/ATM,0.21,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/5Y/4Y/ATM,0.232,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/5Y/5Y/ATM,0.261,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/5Y/6Y/ATM,0.259,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/5Y/7Y/ATM,0.258,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/5Y/8Y/ATM,0.258,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/5Y/9Y/ATM,0.259,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/6M/10Y/ATM,0.281,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/6M/15Y/ATM,0.274,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/6M/1Y/ATM,0.074,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/6M/20Y/ATM,0.279,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/6M/25Y/ATM,0.282,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/6M/2Y/ATM,0.098,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/6M/30Y/ATM,0.288,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/6M/3Y/ATM,0.136,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/6M/4Y/ATM,0.186,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/6M/5Y/ATM,0.244,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/6M/6Y/ATM,0.256,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/6M/7Y/ATM,0.267,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/6M/8Y/ATM,0.275,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/6M/9Y/ATM,0.28,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/7Y/10Y/ATM,0.248,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/7Y/15Y/ATM,0.235,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/7Y/1Y/ATM,0.173,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/7Y/20Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/7Y/25Y/ATM,0.234,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/7Y/2Y/ATM,0.18,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/7Y/30Y/ATM,0.237,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/7Y/3Y/ATM,0.197,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/7Y/4Y/ATM,0.217,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/7Y/5Y/ATM,0.242,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/7Y/6Y/ATM,0.241,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/7Y/7Y/ATM,0.242,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/7Y/8Y/ATM,0.244,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/7Y/9Y/ATM,0.246,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/9M/10Y/ATM,0.287,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/9M/15Y/ATM,0.279,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/9M/1Y/ATM,0.085,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/9M/20Y/ATM,0.282,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/9M/25Y/ATM,0.285,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/9M/2Y/ATM,0.108,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/9M/30Y/ATM,0.289,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/9M/3Y/ATM,0.149,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/9M/4Y/ATM,0.196,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/9M/5Y/ATM,0.252,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/9M/6Y/ATM,0.259,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/9M/7Y/ATM,0.272,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/9M/8Y/ATM,0.276,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/9M/9Y/ATM,0.285,,
