ACCINSTRUCTIONMAPPING,,,,,,,,/ACCINSTRUCTIONMAPPING
TREATMENT_LINK.ID,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,079d2af0-4c6a-46d9-9692-05415aa579d4,A_AI_MF_Redemption,1052fdb6-5bd8-4f65-9438-33c77ba0783c,FASQL Query,Treasury_SH_ACU|Bond Amortised Cost,,Money Flow,
Treasury_SH_ACU|Bond FVOCI|Bond_MF_Pay Date Interest,9b9ea9be-c75e-42b9-8253-b0477b7f69cf,A_AI_MF_Coupon,d486ca25-a7bf-461d-8a69-f4dab01e6a79,FASQL Query,Treasury_SH_ACU|Bond FVOCI,5b10ef91-1d1d-426c-88b0-66d9f1c988ba,Money Flow,
Treasury_SH_ACU|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,5b10ef91-1d1d-426c-88b0-66d9f1c988ba,A_AI_MF_Redemption,9b9ea9be-c75e-42b9-8253-b0477b7f69cf,FASQL Query,Treasury_SH_ACU|Bond FVOCI,,Money Flow,
Treasury_SH_ACU|FX Spot|FX_TD_Daily Mark-to-Market,6bd8e18a-0168-4dd3-8890-8715957cb6d7,A_AI_TD_All,,FASQL Query,Treasury_SH_ACU|FX Spot,,Trade,
Treasury_SH_ACU|IRS|CCS/IRS_MF_Pay Date Termination Fee,f8de56df-6ed6-4914-bb85-b987b8a71ba1,A_AI_MF_TerminationFee,9d25e591-373e-4c42-92f4-ca29fb98535c,FASQL Query,Treasury_SH_ACU|IRS,,Money Flow,
Treasury_SH_ACU|IRS|CCS/IRS_TD_Daily Mark to Market,6222138b-f754-467b-941c-1d9c8df80864,A_AI_TD_All,,FASQL Query,Treasury_SH_ACU|IRS,,Trade,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Maturity Date Principal,624566f0-cb8a-4e23-a1c5-2a3903ccc144,A_AI_MF_FixedAmount,99e5d370-9b03-4c85-82a6-a46e0fda8cf7,FASQL Query,Treasury_SH_ACU|Borrowing,5f5cfe4e-ffb4-4cec-84d5-895f37b8df87,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Value Date Principal,5f5cfe4e-ffb4-4cec-84d5-895f37b8df87,A_AI_MF_Premium,624566f0-cb8a-4e23-a1c5-2a3903ccc144,FASQL Query,Treasury_SH_ACU|Borrowing,1f646537-d765-4772-89fe-e41c56f91386,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL,1f646537-d765-4772-89fe-e41c56f91386,A_AI_MF_Interest,5f5cfe4e-ffb4-4cec-84d5-895f37b8df87,FASQL Query,Treasury_SH_ACU|Borrowing,c037495a-a2ac-4bd0-b277-e8a58aaea71a,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Trade Date Offbalance Principal,c037495a-a2ac-4bd0-b277-e8a58aaea71a,A_AI_MF_Premium_CallMoney,1f646537-d765-4772-89fe-e41c56f91386,FASQL Query,Treasury_SH_ACU|Borrowing,7a145eca-e25c-4399-824a-fd1a3914ec30,Money Flow,
