TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury_SH_ACU,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury_SH_ACU,Placement,DepoLoan_MF_Value Date Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Value Date Principal,
Treasury_SH_ACU,Placement,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_SH_ACU,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_SH_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual,Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual,
Treasury_SH_ACU,Placement,DepoLoan_TD_Daily Interest Accrual,Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual,
Treasury_SH_ACU,Repo,Repo_MF_Value Date Principal,Treasury_SH_ACU|Repo|Repo_MF_Value Date Principal,
Treasury_SH_ACU,Repo,Repo_MF_Maturity Date Principal,Treasury_SH_ACU|Repo|Repo_MF_Maturity Date Principal,
Treasury_SH_ACU,Repo,Repo_MF_Pay Date Interest PL,Treasury_SH_ACU|Repo|Repo_MF_Pay Date Interest PL,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Maturity Date Principal,Treasury_SH_ACU|Reverse Repo|Repo_MF_Maturity Date Principal,
Treasury_SH_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual,Treasury_SH_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual,
Treasury_SH_ACU,Repo,Repo_TD_Daily Interest Accrual,Treasury_SH_ACU|Repo|Repo_TD_Daily Interest Accrual,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL,Treasury_SH_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Value Date Principal,Treasury_SH_ACU|Reverse Repo|Repo_MF_Value Date Principal,
Treasury_SH_ACU,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury_SH_ACU|Bond Forward|Bond Forward_TD_Daily MtM Contract,
