TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_SH_ACU|P/L DUMMY,P/L DUMMY,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Treasury_SH_ACU,Treasury_SH_ACU|P/L DUMMY|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit|Placement,Placement,
Treasury_SH_ACU|P/L DUMMY,P/L DUMMY,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,Treasury_SH_ACU,Treasury_SH_ACU|P/L DUMMY|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit|Placement,Placement,
Treasury_SH_ACU|41021102,41021102,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,Treasury_SH_ACU,Treasury_SH_ACU|41021102|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit|Placement,Placement,
Treasury_SH_ACU|51021101,51021101,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Treasury_SH_ACU,Treasury_SH_ACU|51021101|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit|Borrowing,Borrowing,
Treasury_SH_ACU|P/L DUMMY,P/L DUMMY,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Treasury_SH_ACU,Treasury_SH_ACU|P/L DUMMY|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit|Borrowing,Borrowing,
Treasury_SH_ACU|51021101,51021101,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,Treasury_SH_ACU,Treasury_SH_ACU|51021101|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit|Borrowing,Borrowing,
Treasury_SH_ACU|P/L DUMMY,P/L DUMMY,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,Treasury_SH_ACU,Treasury_SH_ACU|P/L DUMMY|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit|Borrowing,Borrowing,
Treasury_SH_ACU|19511601,19511601,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury_SH_ACU,Treasury_SH_ACU|19511601|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_SH_ACU|24511901,24511901,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit,Treasury_SH_ACU,Treasury_SH_ACU|24511901|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury_SH_ACU|61512201,61512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_SH_ACU,Treasury_SH_ACU|61512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_SH_ACU|71512201,71512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_SH_ACU,Treasury_SH_ACU|71512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_SH_ACU|81512201,81512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_SH_ACU,Treasury_SH_ACU|81512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_SH_ACU|91512201,91512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_SH_ACU,Treasury_SH_ACU|91512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_SH_ACU|81512201,81512201,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_SH_ACU,Treasury_SH_ACU|81512201|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
