YIELDCURVE,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,HKD,,Boot Strap,Default,Default,Linear,Spot Rate,Zero Coupon Curve,Spot Rate,Act/365,Annual Comp,1,HKD-SWAP,Benchmark,,HKD/HIBOR/ON,0,,Up,End Date,,HKD/HIBOR/ON,No,,
,,,,,,,,,,,,,,,,HKD/HIBOR/6M,0,,Up,End Date,,HKD/HIBOR/6M,No,,
,,,,,,,,,,,,,,,HIHD03M,HKD/HIBOR/3M,0,,Up,End Date,HIHD03M,HKD/HIBOR/3M,No,,
,,,,,,,,,,,,,,,,HKD/HIBOR/1Y,0,,Up,End Date,,HKD/HIBOR/1Y,No,,
,,,,,,,,,,,,,,,,HKD/HIBOR/1W,0,,Up,End Date,,HKD/HIBOR/1W,No,,
,,,,,,,,,,,,,,,,HKD/HIBOR/1M,0,,Up,End Date,,HKD/HIBOR/1M,No,,
