CHOICELIST,,,/CHOICELIST
Branch,007015-KC JAKARTA PUSAT GROSIR CILILITA,JAKARTAPSG,
Branch,007017-KCP JAKARTA MEGA KUNINGAN,JKTMEGAKUN,
Branch,007018-KCP JAKARTA WARUNG BUNCIT RAYA,KCPJKTWBR,
Branch,007019-KK JAKARTA MAMPANG IMIGRASI,JKTMPGIDR,
Branch,007020-KCP JAKARTA WISMA MULIA,KCPJKTWMLI,
Branch,007021-KCP JAKARTA OAKWOOD,KCPJAKAOAK,
Branch,010100-KC JAKARTA PONDOK INDAH,JKTPIIDR,
Branch,010101-(DO NOT USE XXX),TANGSER,
Branch,010102-KCP JAKARTA PLAZA PONDOK INDAH,JKTPLPIIDR,
Branch,010103-KCP JAKARTA RADIO DALAM,JKTRADIDR,
Branch,010104-KCP CINERE,JKTCINERE,
Branch,010105-KCP JAKARTA MAL PONDOK INDAH,JKTMPIIDR,
Branch,010106-KCP JAKARTA LEBAK BULUS,JKTEBLIDR,
Branch,010107-KCP JAKARTA AMINTA PLAZA,JKTAMINTA,
Branch,010108-KCP JAKARTA GANDARIA,JKTGANDIDR,
Branch,010109-KCP JAKARTA CIRENDEU - DO NOT US,JKTCIRENDE,
Branch,010110-KCP JAKARTA PONDOK PINANG CENTER,JKTPPINIDR,
Branch,010111-KK JAKARTA ARTERI PONDOK INDAH,JKTPDINDAH,
Branch,010112-(DO NOT USE XXX),DPKLIMO,
Branch,010113-KK JAKARTA LEBAK BULUS POINS SQU,JKTLBKPOIN,
Branch,010115-KK JAKARTA MAL PONDOK INDAH 2,JKTMALPNDK,
Branch,010116-KCP JAKARTA KEBAYORAN LAMA,JKTKEBLIDR,
Branch,010117-(DO NOT USE XXX),TGRGRKIDR,
Branch,010118-KCP JAKARTA CIPUTAT CENTER,JKTCIPCENT,
Branch,010119-KCP JAKARTA BINTARO JAYA,KCPJKTBINJ,
Branch,010121-KCP JAKARTA GEDUNG LEMIGAS,KCPJKTLMGS,
Branch,010122-KCP JAKARTA BINTARO VETERAN,KCPJKTBNVE,
Branch,010123-KK JAKARTA PETUKANGAN,KKJKTTKG,
Branch,010124-KK JAKARTA GANDARIA CITY,KKJKTGCITY,
Branch,010125-KK JAKARTA PONDOK INDAH OFFICE 3,KKJAKARPON,
Branch,010126-KCP JAKARTA PALMA TOWER,KCPJAKPATO,
Branch,010175-KCP JAKARTA PETUKANGAN UTARA,KCPJAKAPET,
Branch,010176-KCP JAKARTA REMPOA,KCPREMPOA,
Branch,010200-KC JAKARTA SUDIRMAN,JKTSUDIIDR,
Branch,010201-KCP JAKARTA DPR RI,JKTDPRIDR,
Branch,010202-KCP JAKARTA SIMPRUG,JKTSIMPIDR,
